Bezirk;Bezeichnung;Teilplanzeile;Ergebnis 2010;Plan 2011;Plan 2012;Plan 2013;Plan 2014;Plan 2015
1;Innenstadt;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
1;Innenstadt;02 - Zuwendungen und allg. Umlagen;7.515.056;3.929.526;5.699.552;5.977.127;6.115.031;6.128.325
1;Innenstadt;03 - sonstige Transfererträge;0;49;193;193;193;193
1;Innenstadt;04 - öffentl.rechtl. Leistungsentgelte;6.040.698;6.266.367;6.295.395;6.388.374;6.393.157;6.400.030
1;Innenstadt;05 - privatrechtl. Leistungsentgelte;606.813;448.221;633.116;633.116;633.116;633.116
1;Innenstadt;06 - Kostenerstattungen und Umlagen;292.645;118.103;133.197;141.791;141.950;141.950
1;Innenstadt;07 - sonstige ordentliche Erträge;110.122;42.324;42.555;42.572;42.588;42.605
1;Innenstadt;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
1;Innenstadt;09 - Bestandsveränderungen;0;0;0;0;0;0
1;Innenstadt;10 = ordentliche Erträge;14.565.334;10.804.590;12.804.008;13.183.172;13.326.035;13.346.219
1;Innenstadt;11 - Personalaufwendungen;18.923.434;20.281.996;19.583.372;22.088.153;23.008.088;23.801.087
1;Innenstadt;12 - Versorgungsaufwendungen;0;0;0;0;0;0
1;Innenstadt;13 - Aufwendungen für Sach- und Dienstleistungen;5.957.464;4.976.835;5.703.343;5.492.590;5.492.795;5.492.795
1;Innenstadt;14 - Bilanzielle Abschreibungen;6.213.697;6.330.302;6.549.270;6.565.881;6.569.518;6.573.508
1;Innenstadt;15 - Transferaufwendungen;6.625.115;6.449.268;7.965.849;8.301.173;8.715.737;9.151.029
1;Innenstadt;16 - sonstige ordentl. Aufwendungen;6.645.467;5.988.715;5.089.555;5.096.672;5.097.183;5.097.093
1;Innenstadt;17 = ordentliche Aufwendungen;44.365.178;44.027.116;44.891.391;47.544.469;48.883.321;50.115.512
1;Innenstadt;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-29.799.844;-33.222.526;-32.087.383;-34.361.296;-35.557.286;-36.769.293
1;Innenstadt;19 - Finanzerträge;0;0;0;0;0;0
1;Innenstadt;20 - Zinsen und sonst. Finanzaufwendungen;30.878;0;0;0;0;0
1;Innenstadt;21 = Finanzergebnis (19 und 20);-30.878;0;0;0;0;0
1;Innenstadt;22 = ordentliches Jahresergebnis (18 und 21);-29.830.722;-33.222.526;-32.087.383;-34.361.296;-35.557.286;-36.769.293
1;Innenstadt;23 - außerordentliche Erträge;0;0;0;0;0;0
1;Innenstadt;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
1;Innenstadt;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
1;Innenstadt;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-29.830.722;-33.222.526;-32.087.383;-34.361.296;-35.557.286;-36.769.293
1;Innenstadt;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);817.281;751.088;911.174;934.858;953.056;965.961
1;Innenstadt;28 = Jahresergebnis;-30.648.003;-33.973.614;-32.998.557;-35.296.154;-36.510.341;-37.735.254
2;Rodenkirchen;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
2;Rodenkirchen;02 - Zuwendungen und allg. Umlagen;4.664.590;3.973.538;5.793.791;6.107.190;6.262.859;6.277.807
2;Rodenkirchen;03 - sonstige Transfererträge;0;220;217;217;217;217
2;Rodenkirchen;04 - öffentl.rechtl. Leistungsentgelte;4.924.578;5.137.194;5.334.850;5.427.440;5.433.382;5.441.297
2;Rodenkirchen;05 - privatrechtl. Leistungsentgelte;33.776;26.100;42.017;42.017;42.017;42.017
2;Rodenkirchen;06 - Kostenerstattungen und Umlagen;949.870;683.006;732.685;782.364;783.286;783.286
2;Rodenkirchen;07 - sonstige ordentliche Erträge;71.587;35.749;33.170;33.189;33.206;33.226
2;Rodenkirchen;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
2;Rodenkirchen;09 - Bestandsveränderungen;0;0;0;0;0;0
2;Rodenkirchen;10 = ordentliche Erträge;10.644.400;9.855.805;11.936.730;12.392.416;12.554.967;12.577.850
2;Rodenkirchen;11 - Personalaufwendungen;14.287.262;16.091.087;15.389.184;17.665.260;18.399.078;19.045.273
2;Rodenkirchen;12 - Versorgungsaufwendungen;0;0;0;0;0;0
2;Rodenkirchen;13 - Aufwendungen für Sach- und Dienstleistungen;2.365.065;2.225.150;2.459.981;2.319.051;2.320.350;2.319.776
2;Rodenkirchen;14 - Bilanzielle Abschreibungen;5.820.878;6.121.629;6.328.304;6.351.153;6.354.804;6.358.530
2;Rodenkirchen;15 - Transferaufwendungen;9.552.591;8.864.922;11.444.362;11.962.090;12.559.883;13.187.567
2;Rodenkirchen;16 - sonstige ordentl. Aufwendungen;3.700.329;3.993.735;4.275.545;4.280.118;4.279.453;4.279.482
2;Rodenkirchen;17 = ordentliche Aufwendungen;35.726.125;37.296.523;39.897.377;42.577.672;43.913.568;45.190.628
2;Rodenkirchen;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-25.081.724;-27.440.718;-27.960.647;-30.185.256;-31.358.601;-32.612.777
2;Rodenkirchen;19 - Finanzerträge;0;0;0;0;0;0
2;Rodenkirchen;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
2;Rodenkirchen;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
2;Rodenkirchen;22 = ordentliches Jahresergebnis (18 und 21);-25.081.724;-27.440.718;-27.960.647;-30.185.256;-31.358.601;-32.612.777
2;Rodenkirchen;23 - außerordentliche Erträge;0;0;0;0;0;0
2;Rodenkirchen;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
2;Rodenkirchen;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
2;Rodenkirchen;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-25.081.724;-27.440.718;-27.960.647;-30.185.256;-31.358.601;-32.612.777
2;Rodenkirchen;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);541.251;508.127;598.418;623.785;642.781;656.253
2;Rodenkirchen;28 = Jahresergebnis;-25.622.975;-27.948.844;-28.559.064;-30.809.041;-32.001.382;-33.269.030
3;Lindenthal;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
3;Lindenthal;02 - Zuwendungen und allg. Umlagen;6.774.292;5.984.825;8.091.756;8.839.013;8.694.177;8.713.204
3;Lindenthal;03 - sonstige Transfererträge;2.120;220;278;278;278;278
3;Lindenthal;04 - öffentl.rechtl. Leistungsentgelte;6.072.033;6.232.262;6.324.908;6.447.151;6.454.653;6.462.241
3;Lindenthal;05 - privatrechtl. Leistungsentgelte;73.559;26.100;58.022;58.022;58.022;58.022
3;Lindenthal;06 - Kostenerstattungen und Umlagen;962.444;697.412;829.011;2.404.411;797.531;797.531
3;Lindenthal;07 - sonstige ordentliche Erträge;159.643;53.461;54.170;54.194;54.216;54.242
3;Lindenthal;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
3;Lindenthal;09 - Bestandsveränderungen;0;0;0;0;0;0
3;Lindenthal;10 = ordentliche Erträge;14.044.090;12.994.279;15.358.145;17.803.069;16.058.879;16.085.519
3;Lindenthal;11 - Personalaufwendungen;17.828.044;20.362.540;19.480.508;22.220.889;23.142.216;23.958.380
3;Lindenthal;12 - Versorgungsaufwendungen;0;0;0;0;0;0
3;Lindenthal;13 - Aufwendungen für Sach- und Dienstleistungen;2.879.058;2.194.177;2.841.618;2.740.263;2.741.182;2.741.182
3;Lindenthal;14 - Bilanzielle Abschreibungen;6.954.007;6.958.300;7.257.759;7.272.317;7.278.080;7.283.959
3;Lindenthal;15 - Transferaufwendungen;7.638.247;13.152.751;9.157.198;9.547.071;10.023.952;10.524.677
3;Lindenthal;16 - sonstige ordentl. Aufwendungen;4.531.782;4.728.406;4.928.108;7.422.244;4.932.989;4.933.049
3;Lindenthal;17 = ordentliche Aufwendungen;39.831.137;47.396.174;43.665.190;49.202.784;48.118.418;49.441.245
3;Lindenthal;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-25.787.046;-34.401.895;-28.307.045;-31.399.716;-32.059.540;-33.355.727
3;Lindenthal;19 - Finanzerträge;0;0;0;0;0;0
3;Lindenthal;20 - Zinsen und sonst. Finanzaufwendungen;908;0;0;0;0;0
3;Lindenthal;21 = Finanzergebnis (19 und 20);-908;0;0;0;0;0
3;Lindenthal;22 = ordentliches Jahresergebnis (18 und 21);-25.787.955;-34.401.895;-28.307.045;-31.399.716;-32.059.540;-33.355.727
3;Lindenthal;23 - außerordentliche Erträge;0;0;0;0;0;0
3;Lindenthal;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
3;Lindenthal;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
3;Lindenthal;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-25.787.955;-34.401.895;-28.307.045;-31.399.716;-32.059.540;-33.355.727
3;Lindenthal;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);659.228;618.383;713.152;742.668;764.860;780.597
3;Lindenthal;28 = Jahresergebnis;-26.447.183;-35.020.278;-29.020.197;-32.142.384;-32.824.399;-34.136.324
4;Ehrenfeld;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
4;Ehrenfeld;02 - Zuwendungen und allg. Umlagen;4.286.773;4.129.500;6.032.638;6.351.122;6.509.296;6.524.446
4;Ehrenfeld;03 - sonstige Transfererträge;0;176;222;222;222;222
4;Ehrenfeld;04 - öffentl.rechtl. Leistungsentgelte;5.105.370;4.510.082;4.837.475;4.940.690;4.945.916;4.950.372
4;Ehrenfeld;05 - privatrechtl. Leistungsentgelte;21.673;36.100;25.018;25.018;25.018;25.018
4;Ehrenfeld;06 - Kostenerstattungen und Umlagen;563.914;423.269;453.108;482.948;483.502;483.502
4;Ehrenfeld;07 - sonstige ordentliche Erträge;60.074;45.846;46.169;46.189;46.207;46.227
4;Ehrenfeld;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
4;Ehrenfeld;09 - Bestandsveränderungen;0;0;0;0;0;0
4;Ehrenfeld;10 = ordentliche Erträge;10.037.804;9.144.971;11.394.630;11.846.189;12.010.160;12.029.786
4;Ehrenfeld;11 - Personalaufwendungen;16.478.323;18.225.382;17.619.161;20.008.313;20.852.972;21.598.482
4;Ehrenfeld;12 - Versorgungsaufwendungen;0;0;0;0;0;0
4;Ehrenfeld;13 - Aufwendungen für Sach- und Dienstleistungen;2.589.119;2.374.867;2.962.621;2.859.753;2.860.570;2.860.570
