Bezirk,Bezeichnung,Teilplanzeile,Ergebnis 2011,Plan 2012,Plan 2013,Plan 2014,Plan 2015,Plan 2016,Plan 2017
1,Innenstadt,01 - Steuern und ähnliche Abgaben,0,0,0,0,0,0,0
1,Innenstadt,02 - Zuwendungen und allg. Umlagen,9577207,5699552,16271952,17661525,18107958,18338476,18572505
1,Innenstadt,03 - sonstige Transfererträge,-35,193,193,193,193,193,193
1,Innenstadt,04 - öffentl.rechtl. Leistungsentgelte,6099999,6295395,8990805,9194187,9261217,9262086,9262956
1,Innenstadt,05 - privatrechtl. Leistungsentgelte,510285,633116,652702,691502,239584,239584,239584
1,Innenstadt,06 - Kostenerstattungen und Umlagen,251260,133197,124948,125107,122048,122048,122048
1,Innenstadt,07 - sonstige ordentliche Erträge,100216,42555,453628,518571,465163,369299,240490
1,Innenstadt,08 - aktivierte Eigenleistungen,0,0,0,0,0,0,0
1,Innenstadt,09 - Bestandsveränderungen,0,0,0,0,0,0,0
1,Innenstadt,10 = Ordentliche Erträge,16538933,12804008,26494228,28191086,28196162,28331685,28437775
1,Innenstadt,11 - Personalaufwendungen,18506322,19583372,20127816,20645171,20434649,20908749,21402980
1,Innenstadt,12 - Versorgungsaufwendungen,0,0,0,0,0,0,0
1,Innenstadt,13 - Aufwendungen für Sach- und Dienstleistungen,7088756,5703343,6027216,4877503,3551077,3407919,3545236
1,Innenstadt,14 - Bilanzielle Abschreibungen,6294192,6549270,6572987,6534928,6346463,6349463,6359883
1,Innenstadt,15 - Transferaufwendungen,7349740,7965849,31272424,33545734,34972228,35653852,36354424
1,Innenstadt,16 - sonstige ordentl. Aufwendungen,7590301,5089555,5518848,5672813,5533614,5347455,5202757
1,Innenstadt,17 = Ordentliche Aufwendungen,46829312,44891391,69519291,71276149,70838031,71667437,72865280
1,Innenstadt,18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17),-30290379,-32087383,-43025063,-43085063,-42641869,-43335752,-44427505
1,Innenstadt,19 - Finanzerträge,0,0,0,0,0,0,0
1,Innenstadt,20 - Zinsen und sonst. Finanzaufwendungen,1059,0,0,0,0,0,0
1,Innenstadt,21 = Finanzergebnis (19 und 20),-1059,0,0,0,0,0,0
1,Innenstadt,22 = ordentliches Jahresergebnis (18 und 21),-30291438,-32087383,-43025063,-43085063,-42641869,-43335752,-44427505
1,Innenstadt,23 - außerordentliche Erträge,0,0,0,0,0,0,0
1,Innenstadt,24 - außerordentliche Aufwendungen,0,0,0,0,0,0,0
1,Innenstadt,25 = außerordentliches Ergebnis (23 und 24),0,0,0,0,0,0,0
1,Innenstadt,26 = Jahresergebnis vor interner Leistungsver. (22 und 25),-30291438,-32087383,-43025063,-43085063,-42641869,-43335752,-44427505
1,Innenstadt,27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag),768182,911174,999931,1014130,939211,932221,932221
1,Innenstadt,28 = Jahresergebnis,-31059620,-32998557,-44024994,-44099193,-43581080,-44267973,-45359726
2,Rodenkirchen,01 - Steuern und ähnliche Abgaben,0,0,0,0,0,0,0
2,Rodenkirchen,02 - Zuwendungen und allg. Umlagen,4652598,5793791,13373067,14345345,14864124,15056748,15252252
2,Rodenkirchen,03 - sonstige Transfererträge,109,217,217,217,217,217,217
2,Rodenkirchen,04 - öffentl.rechtl. Leistungsentgelte,5108527,5334850,6820668,6951932,7062316,7063144,7063969
2,Rodenkirchen,05 - privatrechtl. Leistungsentgelte,24633,42017,75318,75318,75318,75318,75318
2,Rodenkirchen,06 - Kostenerstattungen und Umlagen,964153,732685,525110,526032,526032,526032,526032
2,Rodenkirchen,07 - sonstige ordentliche Erträge,35179,33170,261715,297320,268038,215481,144856
2,Rodenkirchen,08 - aktivierte Eigenleistungen,0,0,0,0,0,0,0
2,Rodenkirchen,09 - Bestandsveränderungen,0,0,0,0,0,0,0
2,Rodenkirchen,10 = Ordentliche Erträge,10785200,11936730,21056094,22196164,22796046,22936939,23062644
2,Rodenkirchen,11 - Personalaufwendungen,14549647,15389184,15937938,16350953,16758539,17150367,17558165
