Produktbereich;PB_BEZ;Teilplan;PG_BEZ;Bezirk;Bezeichnung;Teilplanzeile;Ergebnis 2010;Plan 2011;Plan 2012;Plan 2013;Plan 2014;Plan 2015
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;1;Innenstadt;13 - Aufwendungen für Sach- und Dienstleistungen;2.952;3.500;3.500;3.500;3.500;3.500
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;1;Innenstadt;16 - sonstige ordentl. Aufwendungen;1.875;1.750;1.750;1.750;1.750;1.750
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;1;Innenstadt;17 = ordentliche Aufwendungen;4.826;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;1;Innenstadt;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);4.826;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;1;Innenstadt;22 = ordentliches Jahresergebnis (18 und 21);4.826;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;1;Innenstadt;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);4.826;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;1;Innenstadt;28 = Jahresergebnis;4.826;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;2;Rodenkirchen;13 - Aufwendungen für Sach- und Dienstleistungen;3.814;3.500;3.500;3.500;3.500;3.500
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;2;Rodenkirchen;16 - sonstige ordentl. Aufwendungen;1.234;1.750;1.750;1.750;1.750;1.750
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;2;Rodenkirchen;17 = ordentliche Aufwendungen;5.048;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;2;Rodenkirchen;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);5.048;5.250;5.250;5.250;5.250;5.250
