Produktbereich,PB_BEZ,Teilplan,PG_BEZ,Bezirk,Bezeichnung,Teilplanzeile,Ergebnis 2010,Plan 2011,Plan 2012,Plan 2013,Plan 2014,Plan 2015
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",1,Innenstadt,13 - Aufwendungen für Sach- und Dienstleistungen,2952,3500,3500,3500,3500,3500
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",1,Innenstadt,16 - sonstige ordentl. Aufwendungen,1875,1750,1750,1750,1750,1750
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",1,Innenstadt,17 = ordentliche Aufwendungen,4826,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",1,Innenstadt,18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17),4826,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",1,Innenstadt,22 = ordentliches Jahresergebnis (18 und 21),4826,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",1,Innenstadt,26 = Jahresergebnis vor interner Leistungsver. (22 und 25),4826,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",1,Innenstadt,28 = Jahresergebnis,4826,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",2,Rodenkirchen,13 - Aufwendungen für Sach- und Dienstleistungen,3814,3500,3500,3500,3500,3500
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",2,Rodenkirchen,16 - sonstige ordentl. Aufwendungen,1234,1750,1750,1750,1750,1750
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",2,Rodenkirchen,17 = ordentliche Aufwendungen,5048,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",2,Rodenkirchen,18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17),5048,5250,5250,5250,5250,5250
