Produktbereich;PB_BEZ;Teilplanzeile;Ergebnis 2010;Plan 2011;Plan 2012;Plan 2013;Plan 2014;Plan 2015
01;Innere Verwaltung;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
01;Innere Verwaltung;02 - Zuwendungen und allg. Umlagen;14.132.602;204.500;255.818;155.818;155.818;155.818
01;Innere Verwaltung;03 - sonstige Transfererträge;3.236;0;0;0;0;0
01;Innere Verwaltung;04 - öffentl.rechtl. Leistungsentgelte;3.964.170;3.737.500;1.917.760;1.917.760;1.917.760;1.917.760
01;Innere Verwaltung;05 - privatrechtl. Leistungsentgelte;34.508.728;29.777.709;30.862.114;30.661.114;30.661.114;30.661.114
01;Innere Verwaltung;06 - Kostenerstattungen und Umlagen;18.205.686;14.688.099;15.555.566;15.692.433;20.783.694;20.876.717
01;Innere Verwaltung;07 - sonstige ordentliche Erträge;30.383.414;17.983.969;22.408.753;22.560.353;22.785.353;23.010.353
01;Innere Verwaltung;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
01;Innere Verwaltung;09 - Bestandsveränderungen;0;0;0;0;0;0
01;Innere Verwaltung;10 = ordentliche Erträge;101.197.836;66.391.777;71.000.011;70.987.477;76.303.739;76.621.762
01;Innere Verwaltung;11 - Personalaufwendungen;136.778.788;128.566.773;140.745.296;155.155.668;157.694.452;165.871.347
01;Innere Verwaltung;12 - Versorgungsaufwendungen;51.828.305;55.262.800;53.703.800;55.919.800;57.830.600;59.781.800
01;Innere Verwaltung;13 - Aufwendungen für Sach- und Dienstleistungen;39.385.036;36.918.647;43.521.759;43.453.338;43.436.001;44.091.925
01;Innere Verwaltung;14 - Bilanzielle Abschreibungen;11.243.711;5.875.534;6.026.138;5.685.021;5.486.056;5.302.516
01;Innere Verwaltung;15 - Transferaufwendungen;11.847.117;1.991.175;3.032.285;1.759.285;1.746.285;1.746.285
01;Innere Verwaltung;16 - sonstige ordentl. Aufwendungen;60.763.367;59.653.469;65.228.790;65.858.389;64.313.897;63.872.393
01;Innere Verwaltung;17 = ordentliche Aufwendungen;311.846.323;288.268.398;312.258.068;327.831.500;330.507.291;340.666.265
01;Innere Verwaltung;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-210.648.487;-221.876.621;-241.258.057;-256.844.023;-254.203.552;-264.044.503
01;Innere Verwaltung;19 - Finanzerträge;45.282.536;45.642.050;45.634.650;45.731.100;45.765.070;45.763.405
01;Innere Verwaltung;20 - Zinsen und sonst. Finanzaufwendungen;264.098;28.000;94.000;94.000;94.000;94.000
01;Innere Verwaltung;21 = Finanzergebnis (19 und 20);45.018.438;45.614.050;45.540.650;45.637.100;45.671.070;45.669.405
01;Innere Verwaltung;22 = ordentliches Jahresergebnis (18 und 21);-165.630.049;-176.262.571;-195.717.407;-211.206.923;-208.532.482;-218.375.098
01;Innere Verwaltung;23 - außerordentliche Erträge;0;0;0;0;0;0
01;Innere Verwaltung;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
01;Innere Verwaltung;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-165.630.049;-176.262.571;-195.717.407;-211.206.923;-208.532.482;-218.375.098
01;Innere Verwaltung;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);-41.271.395;-39.823.064;-43.615.308;-45.063.370;-46.132.150;-46.890.074
01;Innere Verwaltung;28 = Jahresergebnis;-124.358.655;-136.439.506;-152.102.099;-166.143.553;-162.400.332;-171.485.024
02;Sicherheit und Ordnung;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
02;Sicherheit und Ordnung;02 - Zuwendungen und allg. Umlagen;1.388.165;1.092.300;1.725.300;1.030.300;1.030.300;1.050.300
02;Sicherheit und Ordnung;03 - sonstige Transfererträge;0;4.000;4.000;4.000;4.000;4.000
02;Sicherheit und Ordnung;04 - öffentl.rechtl. Leistungsentgelte;65.206.487;68.909.602;71.312.724;71.314.878;71.314.878;71.314.878
02;Sicherheit und Ordnung;05 - privatrechtl. Leistungsentgelte;3.092.022;3.591.532;3.770.766;3.770.766;3.770.766;3.770.766
02;Sicherheit und Ordnung;06 - Kostenerstattungen und Umlagen;4.808.033;3.490.000;4.537.000;4.587.000;4.587.000;3.787.000
02;Sicherheit und Ordnung;07 - sonstige ordentliche Erträge;32.335.676;31.171.913;33.430.757;33.827.412;33.848.753;33.869.837
02;Sicherheit und Ordnung;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
02;Sicherheit und Ordnung;09 - Bestandsveränderungen;0;0;0;0;0;0
02;Sicherheit und Ordnung;10 = ordentliche Erträge;106.830.383;108.259.347;114.780.548;114.534.357;114.555.697;113.796.781
02;Sicherheit und Ordnung;11 - Personalaufwendungen;142.605.245;131.294.474;159.841.436;173.306.327;184.678.506;194.370.079
02;Sicherheit und Ordnung;12 - Versorgungsaufwendungen;512;0;0;0;0;0
02;Sicherheit und Ordnung;13 - Aufwendungen für Sach- und Dienstleistungen;22.738.404;26.170.954;29.458.259;26.246.830;26.141.830;25.066.830
02;Sicherheit und Ordnung;14 - Bilanzielle Abschreibungen;6.305.912;6.857.709;8.155.086;8.734.273;8.921.442;9.701.194
02;Sicherheit und Ordnung;15 - Transferaufwendungen;92.068;1.704.508;1.784.409;1.809.440;1.861.906;1.861.906
02;Sicherheit und Ordnung;16 - sonstige ordentl. Aufwendungen;21.967.319;21.566.867;25.209.117;24.733.491;24.890.557;24.498.957
02;Sicherheit und Ordnung;17 = ordentliche Aufwendungen;193.709.461;187.594.512;224.448.307;234.830.362;246.494.242;255.498.967
02;Sicherheit und Ordnung;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-86.879.078;-79.335.165;-109.667.759;-120.296.005;-131.938.545;-141.702.186
02;Sicherheit und Ordnung;19 - Finanzerträge;0;0;0;0;0;0
02;Sicherheit und Ordnung;20 - Zinsen und sonst. Finanzaufwendungen;0;20.000;20.000;20.000;20.000;20.000
02;Sicherheit und Ordnung;21 = Finanzergebnis (19 und 20);0;-20.000;-20.000;-20.000;-20.000;-20.000
02;Sicherheit und Ordnung;22 = ordentliches Jahresergebnis (18 und 21);-86.879.078;-79.355.165;-109.687.759;-120.316.005;-131.958.545;-141.722.186
02;Sicherheit und Ordnung;23 - außerordentliche Erträge;0;0;0;0;0;0
02;Sicherheit und Ordnung;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
02;Sicherheit und Ordnung;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
02;Sicherheit und Ordnung;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-86.879.078;-79.355.165;-109.687.759;-120.316.005;-131.958.545;-141.722.186
02;Sicherheit und Ordnung;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);6.884.800;6.925.595;7.038.391;7.003.228;7.003.228;7.003.228
02;Sicherheit und Ordnung;28 = Jahresergebnis;-93.763.878;-86.280.761;-116.726.150;-127.319.232;-138.961.772;-148.725.414
03;Schulträgeraufgaben;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
03;Schulträgeraufgaben;02 - Zuwendungen und allg. Umlagen;88.629.030;47.894.169;60.350.509;64.192.663;63.546.329;63.208.999
03;Schulträgeraufgaben;03 - sonstige Transfererträge;3.012;100;100;100;100;100
03;Schulträgeraufgaben;04 - öffentl.rechtl. Leistungsentgelte;8.847.763;9.362.200;10.829.828;11.637.380;11.637.380;11.637.380
03;Schulträgeraufgaben;05 - privatrechtl. Leistungsentgelte;3.518.843;210.100;1.887.700;1.937.700;1.937.700;1.837.700
03;Schulträgeraufgaben;06 - Kostenerstattungen und Umlagen;97.840;111.200;111.200;111.200;111.200;111.200
03;Schulträgeraufgaben;07 - sonstige ordentliche Erträge;7.132.644;9.892.132;9.072.032;9.072.032;9.072.032;9.072.032
03;Schulträgeraufgaben;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
03;Schulträgeraufgaben;09 - Bestandsveränderungen;0;0;0;0;0;0
03;Schulträgeraufgaben;10 = ordentliche Erträge;108.229.133;67.469.901;82.251.369;86.951.075;86.304.741;85.867.411
03;Schulträgeraufgaben;11 - Personalaufwendungen;34.449.583;34.790.362;34.920.541;38.418.465;40.199.349;41.705.509
03;Schulträgeraufgaben;12 - Versorgungsaufwendungen;0;0;0;0;0;0
03;Schulträgeraufgaben;13 - Aufwendungen für Sach- und Dienstleistungen;86.749.196;84.654.166;95.821.450;102.376.910;95.536.910;95.828.910
03;Schulträgeraufgaben;14 - Bilanzielle Abschreibungen;11.517.157;10.760.917;11.706.163;12.765.156;13.828.578;15.297.470
03;Schulträgeraufgaben;15 - Transferaufwendungen;529.550;26.200;30.100;0;0;0
03;Schulträgeraufgaben;16 - sonstige ordentl. Aufwendungen;178.481.882;172.994.033;208.535.880;215.310.480;216.106.880;223.824.780
03;Schulträgeraufgaben;17 = ordentliche Aufwendungen;311.727.367;303.225.678;351.014.135;368.871.011;365.671.717;376.656.669
03;Schulträgeraufgaben;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-203.498.234;-235.755.777;-268.762.766;-281.919.936;-279.366.976;-290.789.258
03;Schulträgeraufgaben;19 - Finanzerträge;0;0;0;0;0;0
03;Schulträgeraufgaben;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
03;Schulträgeraufgaben;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
03;Schulträgeraufgaben;22 = ordentliches Jahresergebnis (18 und 21);-203.498.234;-235.755.777;-268.762.766;-281.919.936;-279.366.976;-290.789.258
03;Schulträgeraufgaben;23 - außerordentliche Erträge;0;0;0;0;0;0
03;Schulträgeraufgaben;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
03;Schulträgeraufgaben;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
03;Schulträgeraufgaben;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-203.498.234;-235.755.777;-268.762.766;-281.919.936;-279.366.976;-290.789.258
03;Schulträgeraufgaben;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);17.540.734;17.557.007;18.363.525;19.531.701;20.386.725;20.993.064
03;Schulträgeraufgaben;28 = Jahresergebnis;-221.038.968;-253.312.784;-287.126.291;-301.451.638;-299.753.702;-311.782.323
04;Kultur und Wissenschaft;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
04;Kultur und Wissenschaft;02 - Zuwendungen und allg. Umlagen;9.626.496;6.936.137;7.867.562;7.686.577;5.853.982;5.767.310
04;Kultur und Wissenschaft;03 - sonstige Transfererträge;40.461;13.020;3.220;3.220;3.220;3.220
04;Kultur und Wissenschaft;04 - öffentl.rechtl. Leistungsentgelte;3.024.385;2.889.369;3.077.881;3.077.881;3.077.881;3.077.881
04;Kultur und Wissenschaft;05 - privatrechtl. Leistungsentgelte;13.175.171;12.486.365;13.621.307;13.203.239;13.239.939;13.211.239
04;Kultur und Wissenschaft;06 - Kostenerstattungen und Umlagen;174.194;138.000;353.100;318.100;309.700;309.700
04;Kultur und Wissenschaft;07 - sonstige ordentliche Erträge;778.559;402.000;445.016;445.516;445.883;445.483
04;Kultur und Wissenschaft;08 - aktivierte Eigenleistungen;0;400.000;300.000;0;0;0
04;Kultur und Wissenschaft;09 - Bestandsveränderungen;0;0;0;0;0;0
04;Kultur und Wissenschaft;10 = ordentliche Erträge;26.819.266;23.264.891;25.668.086;24.734.533;22.930.604;22.814.833
04;Kultur und Wissenschaft;11 - Personalaufwendungen;38.860.162;38.451.293;40.604.429;44.810.186;45.987.042;47.566.852
04;Kultur und Wissenschaft;12 - Versorgungsaufwendungen;0;0;0;0;0;0
04;Kultur und Wissenschaft;13 - Aufwendungen für Sach- und Dienstleistungen;25.079.454;24.471.682;23.722.327;19.294.795;29.514.634;30.479.163
04;Kultur und Wissenschaft;14 - Bilanzielle Abschreibungen;5.786.860;6.614.244;6.881.521;6.933.481;6.886.818;6.941.058
04;Kultur und Wissenschaft;15 - Transferaufwendungen;91.524.358;80.982.614;91.991.577;89.337.747;84.008.065;91.499.443
04;Kultur und Wissenschaft;16 - sonstige ordentl. Aufwendungen;32.914.612;16.202.957;16.696.097;16.304.418;18.809.202;18.867.264
04;Kultur und Wissenschaft;17 = ordentliche Aufwendungen;194.165.445;166.722.791;179.895.951;176.680.627;185.205.760;195.353.779
04;Kultur und Wissenschaft;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-167.346.179;-143.457.899;-154.227.865;-151.946.094;-162.275.156;-172.538.946
04;Kultur und Wissenschaft;19 - Finanzerträge;0;0;0;0;0;0
04;Kultur und Wissenschaft;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
04;Kultur und Wissenschaft;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
