Produktbereich;Produktbereichsbezeichnung;Teilplan;Teilplanbezeichnung;Teilplanzeile;Ergebnis 2010;Plan 2011;Plan 2012;Plan 2013;Plan 2014;Plan 2015
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;02 - Zuwendungen und allg. Umlagen;203.726;164.000;213.318;113.318;113.318;113.318
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;03 - sonstige Transfererträge;0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;04 - öffentl.rechtl. Leistungsentgelte;10.000;35.000;35.000;35.000;35.000;35.000
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;05 - privatrechtl. Leistungsentgelte;10.000;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;06 - Kostenerstattungen und Umlagen;0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;07 - sonstige ordentliche Erträge;2.660;31.200;27.731;27.731;27.731;27.731
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;09 - Bestandsveränderungen;0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;10 = ordentliche Erträge;226.386;230.200;276.049;176.049;176.049;176.049
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;11 - Personalaufwendungen;7.035.442;6.608.397;7.387.526;8.072.823;8.496.339;8.952.705
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;12 - Versorgungsaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;13 - Aufwendungen für Sach- und Dienstleistungen;485.100;800.482;564.150;582.650;582.650;582.650
