Produktbereich,Produktbereichsbezeichnung,Teilplan,Teilplanbezeichnung,Teilpanzeile,Ist 2010,Plan 2011,Plan 2012,Plan 2013,Plan 2014,Plan 2015
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",16 - Rückflüsse von Darlehen,0,0,0,0,0,0
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",18 - Tilgung von Darlehen,0,0,0,0,0,0
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",19 - Gewährung von Darlehen,0,0,0,0,0,0
01,Innere Verwaltung,0102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen",01 - Einzahlung aus Zuwendungen für Investitionsmaßnahmen,0,0,0,0,0,0
01,Innere Verwaltung,0102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen",02 - Einzahlung aus der Veräußerung von Sachanlagen,0,0,0,0,0,0
01,Innere Verwaltung,0102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen",03 - Einzahlung aus Veräußerung Finanzanlagen,0,0,0,0,0,0
01,Innere Verwaltung,0102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen",04 - Einzahlung aus Beiträgen nd ähnl. Entgelten,0,0,0,0,0,0
01,Innere Verwaltung,0102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen",05 - Einzahlung sonstige Investitionseinzahlung,0,0,0,0,0,0
01,Innere Verwaltung,0102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen",06 - Summe investive Einzahlungen,0,0,0,0,0,0
01,Innere Verwaltung,0102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen",07 - Auszahlungen für Erwerb v. Grundstücken und Gebäuden,0,0,0,0,0,0
01,Innere Verwaltung,0102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen",08 - Auszahlungen für Baumaßnahmen,0,0,0,0,0,0
01,Innere Verwaltung,0102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen",09 - Auszahlung für den Erwerb von bewegl. Anlagevermögen,8133,45000,45000,45000,45000,45000
01,Innere Verwaltung,0102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen",10 - Auszahlung für den Erwerb von Finanzanlagen,0,0,0,0,0,0
01,Innere Verwaltung,0102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen",11 - Auszahlung von aktivierbaren Zuwendungen,0,0,0,0,0,0
01,Innere Verwaltung,0102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen",12 - Auszahlung für sonst. Investitionsauszahlungen,0,0,0,0,0,0
01,Innere Verwaltung,0102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen",13 - Summe investive Auszahlungen,8133,45000,45000,45000,45000,45000
01,Innere Verwaltung,0102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen",14 - Saldo Investitionstätigkeit,-8133,-45000,-45000,-45000,-45000,-45000
01,Innere Verwaltung,0102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen",15 - Aufnahme von Darlehen,0,0,0,0,0,0
01,Innere Verwaltung,0102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen",16 - Rückflüsse von Darlehen,0,0,0,0,0,0
01,Innere Verwaltung,0102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen",18 - Tilgung von Darlehen,0,0,0,0,0,0
