fid,standortbescheinigung_nr,lon,lat,type,hdistance,vdistance,direction,height
118,491053,7.105277,50.947221,Mobilfunk,5.8,1.77,90.0,37.82
118,491053,7.105277,50.947221,Mobilfunk,5.8,1.77,210.0,37.82
118,491053,7.105277,50.947221,Mobilfunk,5.67,1.73,330.0,37.82
118,491053,7.105277,50.947221,Mobilfunk,4.44,0.66,210.0,37.82
118,491053,7.105277,50.947221,Mobilfunk,4.39,0.65,330.0,37.82
118,491053,7.105277,50.947221,Mobilfunk,4.49,0.66,90.0,37.82
118,491053,7.105277,50.947221,Mobilfunk,8.42,1.82,90.0,37.82
118,491053,7.105277,50.947221,Mobilfunk,8.42,1.82,190.0,37.82
118,491053,7.105277,50.947221,Mobilfunk,8.42,1.82,300.0,37.82
118,491053,7.105277,50.947221,Mobilfunk,8.34,1.8,90.0,37.82
118,491053,7.105277,50.947221,Mobilfunk,8.34,1.8,190.0,37.82
118,491053,7.105277,50.947221,Mobilfunk,8.34,1.8,300.0,37.82
118,491053,7.105277,50.947221,Mobilfunk,5.03,1.59,160.0,33.8
118,491053,7.105277,50.947221,Mobilfunk,5.37,1.07,70.0,33.8
118,491053,7.105277,50.947221,Mobilfunk,5.37,1.07,320.0,33.8
118,491053,7.105277,50.947221,Mobilfunk,4.06,0.65,70.0,33.8
118,491053,7.105277,50.947221,Mobilfunk,3.71,0.81,160.0,33.8
118,491053,7.105277,50.947221,Mobilfunk,4.06,0.65,320.0,33.8
118,491053,7.105277,50.947221,Mobilfunk,5.3,1.15,20.0,30.5
118,491053,7.105277,50.947221,Mobilfunk,5.3,1.15,100.0,30.5
118,491053,7.105277,50.947221,Mobilfunk,5.3,1.15,290.0,30.5
118,491053,7.105277,50.947221,Mobilfunk,5.69,1.1,20.0,30.5
118,491053,7.105277,50.947221,Mobilfunk,5.69,1.1,100.0,30.5
118,491053,7.105277,50.947221,Mobilfunk,5.69,1.1,290.0,30.5
118,491053,7.105277,50.947221,Mobilfunk,4.98,0.61,20.0,30.5
118,491053,7.105277,50.947221,Mobilfunk,4.98,0.61,100.0,30.5
118,491053,7.105277,50.947221,Mobilfunk,4.98,0.61,290.0,30.5
118,491053,7.105277,50.947221,Mobilfunk,2.96,0.54,20.0,27.7
118,491053,7.105277,50.947221,Mobilfunk,2.96,0.59,100.0,27.7
118,491053,7.105277,50.947221,Mobilfunk,2.96,0.54,290.0,27.7
118,491053,7.105277,50.947221,Mobilfunk,6.22,1.27,20.0,40.15
118,491053,7.105277,50.947221,Mobilfunk,6.22,1.27,110.0,40.15
118,491053,7.105277,50.947221,Mobilfunk,6.22,1.27,290.0,40.15
118,491053,7.105277,50.947221,Mobilfunk,5.4,1.14,20.0,40.15
118,491053,7.105277,50.947221,Mobilfunk,6.44,0.91,110.0,40.15
118,491053,7.105277,50.947221,Mobilfunk,6.36,1.17,290.0,40.15
118,491053,7.105277,50.947221,Mobilfunk,5.69,0.7,20.0,40.15
118,491053,7.105277,50.947221,Mobilfunk,5.69,0.7,110.0,40.15
118,491053,7.105277,50.947221,Mobilfunk,5.69,0.7,290.0,40.15
118,491053,7.105277,50.947221,Mobilfunk,4.21,0.77,20.0,40.15
118,491053,7.105277,50.947221,Mobilfunk,4.23,0.77,110.0,40.15
118,491053,7.105277,50.947221,Mobilfunk,4.16,0.76,290.0,40.15
142,490062,6.979443,50.850555,Mobilfunk,8.23,1.78,90.0,27.2
142,490062,6.979443,50.850555,Mobilfunk,8.23,1.78,210.0,27.2
142,490062,6.979443,50.850555,Mobilfunk,8.23,1.78,330.0,27.2
142,490062,6.979443,50.850555,Mobilfunk,8.15,1.76,90.0,27.2
142,490062,6.979443,50.850555,Mobilfunk,8.15,1.76,210.0,27.2
142,490062,6.979443,50.850555,Mobilfunk,8.15,1.76,330.0,27.2
142,490062,6.979443,50.850555,Sonstige Funkanlage,3.46,0.57,0.0,34.7
142,490062,6.979443,50.850555,Mobilfunk,3.31,0.54,0.0,28.85
142,490062,6.979443,50.850555,Mobilfunk,4.73,1.3,0.0,28.9
142,490062,6.979443,50.850555,Mobilfunk,4.73,1.3,90.0,18.75
142,490062,6.979443,50.850555,Mobilfunk,4.73,1.3,240.0,18.75
142,490062,6.979443,50.850555,Mobilfunk,4.27,1.15,0.0,28.9
142,490062,6.979443,50.850555,Mobilfunk,4.47,1.2,90.0,18.75
142,490062,6.979443,50.850555,Mobilfunk,4.47,1.2,240.0,18.75
