Nr;Name;MaxSchnellmeldungen;AnzSchnellmeldungen;Wahlberechtigte;abgegeben;Wahlbeteiligung;gültigeStimmzettel;gültig;ungültigeStimmzettel;ungültig;gültig2;ungültig2;CDU;CDU_Proz;Z_CDU;Z_CDU_Proz;SPD;SPD_Proz;Z_SPD;Z_SPD_Proz;FDP;FDP_Proz;Z_FDP;Z_FDP_Proz;GRÜNE;GRÜNE_Proz;Z_GRÜNE;Z_GRÜNE_Proz;DIE LINKE;DIE LINKE_Proz;Z_DIE LINKE;Z_DIE LINKE_Proz;PIRATEN;PIRATEN_Proz;Z_PIRATEN;Z_PIRATEN_Proz;NPD;NPD_Proz;Z_NPD;Z_NPD_Proz;REP;REP_Proz;Z_REP;Z_REP_Proz;Bündnis 21/RRP;Bündnis 21/RRP_Proz;Z_Bündnis 21/RRP;Z_Bündnis 21/RRP_Proz;Volksabstimmung;Volksabstimmung_Proz;Z_Volksabstimmung;Z_Volksabstimmung_Proz;ÖDP;ÖDP_Proz;Z_ÖDP;Z_ÖDP_Proz;MLPD;MLPD_Proz;Z_MLPD;Z_MLPD_Proz;BüSo;BüSo_Proz;Z_BüSo;Z_BüSo_Proz;PSG;PSG_Proz;Z_PSG;Z_PSG_Proz;AfD;AfD_Proz;Z_AfD;Z_AfD_Proz;BIG;BIG_Proz;Z_BIG;Z_BIG_Proz;pro Deutschland;pro Deutschland_Proz;Z_pro Deutschland;Z_pro Deutschland_Proz;DIE RECHTE;DIE RECHTE_Proz;Z_DIE RECHTE;Z_DIE RECHTE_Proz;FREIE WÄHLER;FREIE WÄHLER_Proz;Z_FREIE WÄHLER;Z_FREIE WÄHLER_Proz;Partei der Nichtwähler;Partei der Nichtwähler_Proz;Z_Partei der Nichtwähler;Z_Partei der Nichtwähler_Proz;Partei der Vernunft;Partei der Vernunft_Proz;Z_Partei der Vernunft;Z_Partei der Vernunft_Proz;Die PARTEI;Die PARTEI_Proz;Z_Die PARTEI;Z_Die PARTEI_Proz;
10101;10101;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10102;10102;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10103;10103;1;1;763;398;52,16;;392;;6;393;5;116;29,59;99;25,19;157;40,05;118;30,03;8;2,04;25;6,36;72;18,37;84;21,37;18;4,59;35;8,91;9;2,30;8;2,04;2;0,51;3;0,76;0;0,00;0;0,00;0;0,00;1;0,25;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;10;2,55;17;4,33;0;0,00;0;0,00;0;0,00;1;0,25;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,51;
10104;10104;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10105;10105;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10106;10106;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10107;10107;1;1;1499;669;44,63;;667;;2;667;2;185;27,74;175;26,24;255;38,23;204;30,58;12;1,80;33;4,95;123;18,44;132;19,79;54;8,10;76;11,39;18;2,70;21;3,15;1;0,15;1;0,15;0;0,00;1;0,15;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,15;1;0,15;0;0,00;0;0,00;0;0,00;15;2,25;14;2,10;0;0,00;0;0,00;0;0,00;2;0,30;0;0,00;0;0,00;3;0,45;1;0,15;0;0,00;3;0,45;0;0,00;2;0,30;0;0,00;1;0,15;
10108;10108;1;1;1235;564;45,67;;562;;2;563;1;150;26,69;129;22,91;229;40,75;184;32,68;13;2,31;30;5,33;101;17,97;110;19,54;40;7,12;48;8,53;18;3,20;30;5,33;2;0,36;1;0,18;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;3;0,53;0;0,00;1;0,18;0;0,00;0;0,00;0;0,00;0;0,00;9;1,60;17;3,02;0;0,00;1;0,18;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,18;0;0,00;0;0,00;0;0,00;8;1,42;
10109;10109;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10110;10110;1;1;1132;563;49,73;;560;;3;560;3;114;20,36;104;18,57;201;35,89;169;30,18;9;1,61;24;4,29;128;22,86;132;23,57;70;12,50;81;14,46;22;3,93;23;4,11;3;0,54;4;0,71;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,36;0;0,00;0;0,00;0;0,00;9;1,61;15;2,68;0;0,00;1;0,18;0;0,00;0;0,00;0;0,00;0;0,00;2;0,36;3;0,54;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;4;0,71;
10111;10111;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10112;10112;1;1;936;401;42,84;;399;;2;400;1;83;20,80;80;20,00;166;41,60;118;29,50;4;1,00;13;3,25;66;16,54;88;22,00;60;15,04;71;17,75;12;3,01;7;1,75;4;1,00;2;0,50;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,25;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;3;0,75;9;2,25;0;0,00;0;0,00;0;0,00;2;0,50;0;0,00;0;0,00;1;0,25;1;0,25;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;8;2,00;
10113;10113;1;1;652;305;46,78;;302;;3;302;3;59;19,54;63;20,86;158;52,32;122;40,40;7;2,32;11;3,64;45;14,90;46;15,23;24;7,95;43;14,24;4;1,32;4;1,32;1;0,33;2;0,66;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,33;0;0,00;0;0,00;0;0,00;2;0,66;5;1,66;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,33;2;0,66;0;0,00;2;0,66;0;0,00;0;0,00;0;0,00;2;0,66;
10114;10114;1;1;1029;523;50,83;;520;;3;521;2;137;26,35;125;23,99;199;38,27;165;31,67;10;1,92;31;5,95;99;19,04;96;18,43;46;8,85;54;10,36;16;3,08;23;4,41;4;0,77;1;0,19;0;0,00;0;0,00;0;0,00;1;0,19;0;0,00;1;0,19;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;9;1,73;19;3,65;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,38;0;0,00;0;0,00;0;0,00;3;0,58;
10115;10115;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10116;10116;1;1;892;449;50,34;;448;;1;447;2;131;29,24;102;22,82;179;39,96;140;31,32;4;0,89;26;5,82;75;16,74;89;19,91;32;7,14;41;9,17;14;3,13;19;4,25;1;0,22;2;0,45;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,22;0;0,00;0;0,00;0;0,00;1;0,22;0;0,00;0;0,00;11;2,46;15;3,36;0;0,00;1;0,22;0;0,00;3;0,67;0;0,00;0;0,00;1;0,22;2;0,45;0;0,00;1;0,22;0;0,00;1;0,22;0;0,00;3;0,67;
10117;10117;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10118;10118;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10119;10119;1;1;857;389;45,39;;389;;0;389;0;143;36,76;133;34,19;140;35,99;124;31,88;10;2,57;23;5,91;47;12,08;48;12,34;28;7,20;37;9,51;5;1,29;5;1,29;2;0,51;1;0,26;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;3;0,77;0;0,00;0;0,00;0;0,00;0;0,00;2;0,51;0;0,00;0;0,00;0;0,00;12;3,08;14;3,60;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,26;
10120;10120;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10201;10201;1;1;775;421;54,32;;418;;3;418;3;84;20,10;91;21,77;194;46,41;132;31,58;12;2,87;20;4,78;84;20,10;107;25,60;29;6,94;42;10,05;8;1,91;9;2,15;1;0,24;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;6;1,44;15;3,59;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,24;0;0,00;1;0,24;
10202;10202;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
