date,time_from,time_to,demand
2013-12-01,00:00,00:15,18282
2013-12-01,00:15,00:30,17911
2013-12-01,00:30,00:45,17681
2013-12-01,00:45,01:00,17432
2013-12-01,01:00,01:15,17333
2013-12-01,01:15,01:30,17263
2013-12-01,01:30,01:45,17143
2013-12-01,01:45,02:00,17057
2013-12-01,02:00,02:15,16915
2013-12-01,02:15,02:30,16859
2013-12-01,02:30,02:45,16839
2013-12-01,02:45,03:00,16875
2013-12-01,03:00,03:15,16746
2013-12-01,03:15,03:30,16786
2013-12-01,03:30,03:45,16867
2013-12-01,03:45,04:00,16780
2013-12-01,04:00,04:15,16819
2013-12-01,04:15,04:30,16881
2013-12-01,04:30,04:45,16900
2013-12-01,04:45,05:00,16920
2013-12-01,05:00,05:15,16731
2013-12-01,05:15,05:30,16644
2013-12-01,05:30,05:45,16566
2013-12-01,05:45,06:00,16407
2013-12-01,06:00,06:15,16221
2013-12-01,06:15,06:30,16316
2013-12-01,06:30,06:45,16337
2013-12-01,06:45,07:00,16272
2013-12-01,07:00,07:15,16275
2013-12-01,07:15,07:30,16467
2013-12-01,07:30,07:45,16940
2013-12-01,07:45,08:00,17064
2013-12-01,08:00,08:15,17435
2013-12-01,08:15,08:30,17776
2013-12-01,08:30,08:45,18051
2013-12-01,08:45,09:00,18300
2013-12-01,09:00,09:15,18754
2013-12-01,09:15,09:30,18956
2013-12-01,09:30,09:45,19323
2013-12-01,09:45,10:00,19526
2013-12-01,10:00,10:15,19809
2013-12-01,10:15,10:30,20071
2013-12-01,10:30,10:45,20201
2013-12-01,10:45,11:00,20437
2013-12-01,11:00,11:15,20828
2013-12-01,11:15,11:30,21234
2013-12-01,11:30,11:45,21347
2013-12-01,11:45,12:00,21403
2013-12-01,12:00,12:15,21658
2013-12-01,12:15,12:30,21719
2013-12-01,12:30,12:45,21714
2013-12-01,12:45,13:00,21532
2013-12-01,13:00,13:15,21464
2013-12-01,13:15,13:30,21302
2013-12-01,13:30,13:45,21054
2013-12-01,13:45,14:00,21019
2013-12-01,14:00,14:15,20966
2013-12-01,14:15,14:30,21097
2013-12-01,14:30,14:45,21000
2013-12-01,14:45,15:00,21028
2013-12-01,15:00,15:15,20944
2013-12-01,15:15,15:30,20864
2013-12-01,15:30,15:45,21037
2013-12-01,15:45,16:00,21003
2013-12-01,16:00,16:15,21072
2013-12-01,16:15,16:30,20912
2013-12-01,16:30,16:45,21274
2013-12-01,16:45,17:00,21698
2013-12-01,17:00,17:15,22063
2013-12-01,17:15,17:30,22266
2013-12-01,17:30,17:45,22206
2013-12-01,17:45,18:00,22212
2013-12-01,18:00,18:15,22250
2013-12-01,18:15,18:30,22381
2013-12-01,18:30,18:45,22457
2013-12-01,18:45,19:00,22519
2013-12-01,19:00,19:15,22398
2013-12-01,19:15,19:30,22212
2013-12-01,19:30,19:45,22019
2013-12-01,19:45,20:00,21907
