date,time_from,time_to,forecast,actual_feedin
2010-07-01,00:00,00:15,0,0
2010-07-01,00:15,00:30,0,0
2010-07-01,00:30,00:45,0,0
2010-07-01,00:45,01:00,0,0
2010-07-01,01:00,01:15,0,0
2010-07-01,01:15,01:30,0,0
2010-07-01,01:30,01:45,0,0
2010-07-01,01:45,02:00,0,0
2010-07-01,02:00,02:15,0,0
2010-07-01,02:15,02:30,0,0
2010-07-01,02:30,02:45,0,0
2010-07-01,02:45,03:00,0,0
2010-07-01,03:00,03:15,0,0
2010-07-01,03:15,03:30,0,0
2010-07-01,03:30,03:45,0,0
2010-07-01,03:45,04:00,0,0
2010-07-01,04:00,04:15,0,0
2010-07-01,04:15,04:30,0,0
2010-07-01,04:30,04:45,0,0
2010-07-01,04:45,05:00,0,0
2010-07-01,05:00,05:15,0,0
2010-07-01,05:15,05:30,0,0
2010-07-01,05:30,05:45,0,5
2010-07-01,05:45,06:00,0,23
2010-07-01,06:00,06:15,0,45
2010-07-01,06:15,06:30,0,71
2010-07-01,06:30,06:45,0,121
2010-07-01,06:45,07:00,186,169
2010-07-01,07:00,07:15,373,213
2010-07-01,07:15,07:30,442,338
2010-07-01,07:30,07:45,511,423
2010-07-01,07:45,08:00,582,479
2010-07-01,08:00,08:15,653,585
2010-07-01,08:15,08:30,724,683
2010-07-01,08:30,08:45,795,730
2010-07-01,08:45,09:00,861,891
2010-07-01,09:00,09:15,927,949
2010-07-01,09:15,09:30,986,955
2010-07-01,09:30,09:45,1045,1083
2010-07-01,09:45,10:00,1095,1115
2010-07-01,10:00,10:15,1144,1279
2010-07-01,10:15,10:30,1186,1345
2010-07-01,10:30,10:45,1227,1490
2010-07-01,10:45,11:00,1264,1596
2010-07-01,11:00,11:15,1302,1640
2010-07-01,11:15,11:30,1337,1701
2010-07-01,11:30,11:45,1372,1781
2010-07-01,11:45,12:00,1404,1766
2010-07-01,12:00,12:15,1436,1774
2010-07-01,12:15,12:30,1463,1783
2010-07-01,12:30,12:45,1491,1702
2010-07-01,12:45,13:00,1512,1674
2010-07-01,13:00,13:15,1534,1601
2010-07-01,13:15,13:30,1548,1586
2010-07-01,13:30,13:45,1562,1650
2010-07-01,13:45,14:00,1568,1640
2010-07-01,14:00,14:15,1573,1663
2010-07-01,14:15,14:30,1568,1506
2010-07-01,14:30,14:45,1563,1567
2010-07-01,14:45,15:00,1546,1525
2010-07-01,15:00,15:15,1529,1434
2010-07-01,15:15,15:30,1499,1251
2010-07-01,15:30,15:45,1469,1411
2010-07-01,15:45,16:00,1425,1393
2010-07-01,16:00,16:15,1381,1307
2010-07-01,16:15,16:30,1325,1241
2010-07-01,16:30,16:45,1268,1221
2010-07-01,16:45,17:00,1202,1119
2010-07-01,17:00,17:15,1136,1051
2010-07-01,17:15,17:30,1063,1005
2010-07-01,17:30,17:45,990,884
2010-07-01,17:45,18:00,913,803
2010-07-01,18:00,18:15,836,685
2010-07-01,18:15,18:30,758,611
2010-07-01,18:30,18:45,679,530
2010-07-01,18:45,19:00,602,464
2010-07-01,19:00,19:15,525,372
2010-07-01,19:15,19:30,452,322
2010-07-01,19:30,19:45,380,283
2010-07-01,19:45,20:00,314,229
2010-07-01,20:00,20:15,249,167
2010-07-01,20:15,20:30,124,116
2010-07-01,20:30,20:45,0,60
2010-07-01,20:45,21:00,0,22
2010-07-01,21:00,21:15,0,9
2010-07-01,21:15,21:30,0,3
2010-07-01,21:30,21:45,0,0
2010-07-01,21:45,22:00,0,0
2010-07-01,22:00,22:15,0,0
2010-07-01,22:15,22:30,0,0
2010-07-01,22:30,22:45,0,0
2010-07-01,22:45,23:00,0,0
2010-07-01,23:00,23:15,0,0
2010-07-01,23:15,23:30,0,0
2010-07-01,23:30,23:45,0,0
2010-07-01,23:45,00:00,0,0
2010-07-02,00:00,00:15,0,0
2010-07-02,00:15,00:30,0,0
2010-07-02,00:30,00:45,0,0
2010-07-02,00:45,01:00,0,0
2010-07-02,01:00,01:15,0,0
2010-07-02,01:15,01:30,0,0
2010-07-02,01:30,01:45,0,0
2010-07-02,01:45,02:00,0,0
2010-07-02,02:00,02:15,0,0
2010-07-02,02:15,02:30,0,0
2010-07-02,02:30,02:45,0,0
2010-07-02,02:45,03:00,0,0
2010-07-02,03:00,03:15,0,0
2010-07-02,03:15,03:30,0,0
2010-07-02,03:30,03:45,0,0
2010-07-02,03:45,04:00,0,0
2010-07-02,04:00,04:15,0,0
2010-07-02,04:15,04:30,0,0
2010-07-02,04:30,04:45,0,0
2010-07-02,04:45,05:00,0,0
2010-07-02,05:00,05:15,0,0
2010-07-02,05:15,05:30,0,0
2010-07-02,05:30,05:45,0,5
2010-07-02,05:45,06:00,0,20
2010-07-02,06:00,06:15,0,44
2010-07-02,06:15,06:30,0,94
2010-07-02,06:30,06:45,0,151
2010-07-02,06:45,07:00,185,208
2010-07-02,07:00,07:15,369,292
2010-07-02,07:15,07:30,437,381
2010-07-02,07:30,07:45,506,477
2010-07-02,07:45,08:00,576,547
2010-07-02,08:00,08:15,647,648
2010-07-02,08:15,08:30,717,731
2010-07-02,08:30,08:45,787,817
2010-07-02,08:45,09:00,853,933
2010-07-02,09:00,09:15,919,1066
2010-07-02,09:15,09:30,977,1137
2010-07-02,09:30,09:45,1036,1160
2010-07-02,09:45,10:00,1085,1293
2010-07-02,10:00,10:15,1135,1436
