date,time_from,time_to,feedin
2009-06-01,00:00,00:15,295
2009-06-01,00:15,00:30,297
2009-06-01,00:30,00:45,300
2009-06-01,00:45,01:00,313
2009-06-01,01:00,01:15,316
2009-06-01,01:15,01:30,321
2009-06-01,01:30,01:45,331
2009-06-01,01:45,02:00,334
2009-06-01,02:00,02:15,340
2009-06-01,02:15,02:30,342
2009-06-01,02:30,02:45,344
2009-06-01,02:45,03:00,347
2009-06-01,03:00,03:15,349
2009-06-01,03:15,03:30,355
2009-06-01,03:30,03:45,361
2009-06-01,03:45,04:00,354
2009-06-01,04:00,04:15,360
2009-06-01,04:15,04:30,365
2009-06-01,04:30,04:45,382
2009-06-01,04:45,05:00,391
2009-06-01,05:00,05:15,396
2009-06-01,05:15,05:30,396
2009-06-01,05:30,05:45,397
2009-06-01,05:45,06:00,396
2009-06-01,06:00,06:15,398
2009-06-01,06:15,06:30,388
2009-06-01,06:30,06:45,374
2009-06-01,06:45,07:00,367
2009-06-01,07:00,07:15,362
2009-06-01,07:15,07:30,355
2009-06-01,07:30,07:45,340
2009-06-01,07:45,08:00,333
2009-06-01,08:00,08:15,327
2009-06-01,08:15,08:30,320
2009-06-01,08:30,08:45,327
2009-06-01,08:45,09:00,321
2009-06-01,09:00,09:15,316
2009-06-01,09:15,09:30,331
2009-06-01,09:30,09:45,346
2009-06-01,09:45,10:00,362
2009-06-01,10:00,10:15,380
2009-06-01,10:15,10:30,399
2009-06-01,10:30,10:45,417
2009-06-01,10:45,11:00,438
2009-06-01,11:00,11:15,461
2009-06-01,11:15,11:30,489
2009-06-01,11:30,11:45,517
2009-06-01,11:45,12:00,547
2009-06-01,12:00,12:15,579
2009-06-01,12:15,12:30,603
2009-06-01,12:30,12:45,627
2009-06-01,12:45,13:00,656
2009-06-01,13:00,13:15,683
2009-06-01,13:15,13:30,698
2009-06-01,13:30,13:45,712
2009-06-01,13:45,14:00,703
2009-06-01,14:00,14:15,720
2009-06-01,14:15,14:30,735
2009-06-01,14:30,14:45,751
2009-06-01,14:45,15:00,760
2009-06-01,15:00,15:15,777
2009-06-01,15:15,15:30,799
2009-06-01,15:30,15:45,821
2009-06-01,15:45,16:00,874
2009-06-01,16:00,16:15,899
2009-06-01,16:15,16:30,910
2009-06-01,16:30,16:45,922
2009-06-01,16:45,17:00,910
2009-06-01,17:00,17:15,923
2009-06-01,17:15,17:30,899
2009-06-01,17:30,17:45,877
2009-06-01,17:45,18:00,832
2009-06-01,18:00,18:15,811
2009-06-01,18:15,18:30,786
2009-06-01,18:30,18:45,762
2009-06-01,18:45,19:00,736
2009-06-01,19:00,19:15,714
2009-06-01,19:15,19:30,695
2009-06-01,19:30,19:45,677
2009-06-01,19:45,20:00,651
2009-06-01,20:00,20:15,637
2009-06-01,20:15,20:30,637
2009-06-01,20:30,20:45,642
2009-06-01,20:45,21:00,639
2009-06-01,21:00,21:15,642
2009-06-01,21:15,21:30,629
2009-06-01,21:30,21:45,619
2009-06-01,21:45,22:00,601
2009-06-01,22:00,22:15,590
2009-06-01,22:15,22:30,581
2009-06-01,22:30,22:45,576
2009-06-01,22:45,23:00,570
2009-06-01,23:00,23:15,564
2009-06-01,23:15,23:30,554
2009-06-01,23:30,23:45,553
2009-06-01,23:45,00:00,546
2009-06-02,00:00,00:15,412
2009-06-02,00:15,00:30,399
2009-06-02,00:30,00:45,377
2009-06-02,00:45,01:00,377
2009-06-02,01:00,01:15,383
2009-06-02,01:15,01:30,376
2009-06-02,01:30,01:45,363
2009-06-02,01:45,02:00,376
2009-06-02,02:00,02:15,383
2009-06-02,02:15,02:30,399
2009-06-02,02:30,02:45,400
2009-06-02,02:45,03:00,371
2009-06-02,03:00,03:15,351
2009-06-02,03:15,03:30,417
2009-06-02,03:30,03:45,362
2009-06-02,03:45,04:00,361
2009-06-02,04:00,04:15,351
2009-06-02,04:15,04:30,346
2009-06-02,04:30,04:45,422
2009-06-02,04:45,05:00,371
2009-06-02,05:00,05:15,354
2009-06-02,05:15,05:30,363
2009-06-02,05:30,05:45,353
2009-06-02,05:45,06:00,344
2009-06-02,06:00,06:15,333
2009-06-02,06:15,06:30,327
2009-06-02,06:30,06:45,311
2009-06-02,06:45,07:00,294
2009-06-02,07:00,07:15,277
2009-06-02,07:15,07:30,268
2009-06-02,07:30,07:45,273
2009-06-02,07:45,08:00,255
2009-06-02,08:00,08:15,240
2009-06-02,08:15,08:30,241
2009-06-02,08:30,08:45,240
2009-06-02,08:45,09:00,231
2009-06-02,09:00,09:15,211
2009-06-02,09:15,09:30,225
2009-06-02,09:30,09:45,230
2009-06-02,09:45,10:00,239
2009-06-02,10:00,10:15,246
2009-06-02,10:15,10:30,263
2009-06-02,10:30,10:45,281
2009-06-02,10:45,11:00,295
2009-06-02,11:00,11:15,303
2009-06-02,11:15,11:30,323
2009-06-02,11:30,11:45,351
2009-06-02,11:45,12:00,377
2009-06-02,12:00,12:15,391
2009-06-02,12:15,12:30,416
2009-06-02,12:30,12:45,446
2009-06-02,12:45,13:00,482
2009-06-02,13:00,13:15,497
2009-06-02,13:15,13:30,508
2009-06-02,13:30,13:45,533
2009-06-02,13:45,14:00,566
2009-06-02,14:00,14:15,610
2009-06-02,14:15,14:30,733
2009-06-02,14:30,14:45,845
2009-06-02,14:45,15:00,722
2009-06-02,15:00,15:15,728
2009-06-02,15:15,15:30,732
2009-06-02,15:30,15:45,776
2009-06-02,15:45,16:00,857
2009-06-02,16:00,16:15,863
2009-06-02,16:15,16:30,907
2009-06-02,16:30,16:45,960
2009-06-02,16:45,17:00,976
2009-06-02,17:00,17:15,989
2009-06-02,17:15,17:30,1014
2009-06-02,17:30,17:45,1016
2009-06-02,17:45,18:00,1050
2009-06-02,18:00,18:15,1082
2009-06-02,18:15,18:30,1115
2009-06-02,18:30,18:45,1152
2009-06-02,18:45,19:00,1135
2009-06-02,19:00,19:15,1128
2009-06-02,19:15,19:30,1150
2009-06-02,19:30,19:45,1127
2009-06-02,19:45,20:00,1128
2009-06-02,20:00,20:15,1106
2009-06-02,20:15,20:30,1187
2009-06-02,20:30,20:45,1128
2009-06-02,20:45,21:00,1078
2009-06-02,21:00,21:15,1093
2009-06-02,21:15,21:30,1119
2009-06-02,21:30,21:45,1164
2009-06-02,21:45,22:00,1150
2009-06-02,22:00,22:15,1084
2009-06-02,22:15,22:30,1060
2009-06-02,22:30,22:45,987
2009-06-02,22:45,23:00,972
2009-06-02,23:00,23:15,1010
2009-06-02,23:15,23:30,1009
2009-06-02,23:30,23:45,966
2009-06-02,23:45,00:00,960
2009-06-03,00:00,00:15,863
2009-06-03,00:15,00:30,852
2009-06-03,00:30,00:45,844
2009-06-03,00:45,01:00,834
2009-06-03,01:00,01:15,819
2009-06-03,01:15,01:30,780
2009-06-03,01:30,01:45,787
2009-06-03,01:45,02:00,800
2009-06-03,02:00,02:15,799
2009-06-03,02:15,02:30,789
2009-06-03,02:30,02:45,824
2009-06-03,02:45,03:00,821
2009-06-03,03:00,03:15,803
2009-06-03,03:15,03:30,805
2009-06-03,03:30,03:45,796
2009-06-03,03:45,04:00,799
2009-06-03,04:00,04:15,801
2009-06-03,04:15,04:30,795
2009-06-03,04:30,04:45,794
2009-06-03,04:45,05:00,804
2009-06-03,05:00,05:15,809
2009-06-03,05:15,05:30,827
2009-06-03,05:30,05:45,771
2009-06-03,05:45,06:00,762
2009-06-03,06:00,06:15,742
2009-06-03,06:15,06:30,752
2009-06-03,06:30,06:45,734
2009-06-03,06:45,07:00,744
2009-06-03,07:00,07:15,770
2009-06-03,07:15,07:30,766
2009-06-03,07:30,07:45,737
2009-06-03,07:45,08:00,750
2009-06-03,08:00,08:15,791
2009-06-03,08:15,08:30,821
2009-06-03,08:30,08:45,878
2009-06-03,08:45,09:00,922
2009-06-03,09:00,09:15,940
2009-06-03,09:15,09:30,1009
2009-06-03,09:30,09:45,994
2009-06-03,09:45,10:00,990
2009-06-03,10:00,10:15,1016
2009-06-03,10:15,10:30,1014
2009-06-03,10:30,10:45,1040
2009-06-03,10:45,11:00,1053
2009-06-03,11:00,11:15,1076
2009-06-03,11:15,11:30,1101
2009-06-03,11:30,11:45,1222
2009-06-03,11:45,12:00,1243
2009-06-03,12:00,12:15,1139
2009-06-03,12:15,12:30,1138
2009-06-03,12:30,12:45,1164
2009-06-03,12:45,13:00,1179
2009-06-03,13:00,13:15,1202
2009-06-03,13:15,13:30,1185
2009-06-03,13:30,13:45,1172
2009-06-03,13:45,14:00,1193
2009-06-03,14:00,14:15,1209
2009-06-03,14:15,14:30,1211
2009-06-03,14:30,14:45,1212
2009-06-03,14:45,15:00,1215
2009-06-03,15:00,15:15,1217
2009-06-03,15:15,15:30,1287
2009-06-03,15:30,15:45,1298
2009-06-03,15:45,16:00,1311
2009-06-03,16:00,16:15,1194
2009-06-03,16:15,16:30,1199
2009-06-03,16:30,16:45,1196
2009-06-03,16:45,17:00,1151
2009-06-03,17:00,17:15,1146
2009-06-03,17:15,17:30,1152
2009-06-03,17:30,17:45,1166
2009-06-03,17:45,18:00,1136
2009-06-03,18:00,18:15,1113
2009-06-03,18:15,18:30,1095
2009-06-03,18:30,18:45,1055
2009-06-03,18:45,19:00,1031
2009-06-03,19:00,19:15,1008
2009-06-03,19:15,19:30,973
2009-06-03,19:30,19:45,923
2009-06-03,19:45,20:00,921
2009-06-03,20:00,20:15,892
2009-06-03,20:15,20:30,845
2009-06-03,20:30,20:45,806
2009-06-03,20:45,21:00,776
2009-06-03,21:00,21:15,760
2009-06-03,21:15,21:30,732
2009-06-03,21:30,21:45,706
2009-06-03,21:45,22:00,681
2009-06-03,22:00,22:15,655
2009-06-03,22:15,22:30,637
2009-06-03,22:30,22:45,593
2009-06-03,22:45,23:00,612
