date,time_from,time_to,feedin
2006-08-01,00:00,00:15,18962
2006-08-01,00:15,00:30,18736
2006-08-01,00:30,00:45,18989
2006-08-01,00:45,01:00,19270
2006-08-01,01:00,01:15,19145
2006-08-01,01:15,01:30,19017
2006-08-01,01:30,01:45,18942
2006-08-01,01:45,02:00,18883
2006-08-01,02:00,02:15,18941
2006-08-01,02:15,02:30,18927
2006-08-01,02:30,02:45,18933
2006-08-01,02:45,03:00,18969
2006-08-01,03:00,03:15,18990
2006-08-01,03:15,03:30,18989
2006-08-01,03:30,03:45,19145
2006-08-01,03:45,04:00,19227
2006-08-01,04:00,04:15,19196
2006-08-01,04:15,04:30,19227
2006-08-01,04:30,04:45,19626
2006-08-01,04:45,05:00,19570
2006-08-01,05:00,05:15,19532
2006-08-01,05:15,05:30,19403
2006-08-01,05:30,05:45,19894
2006-08-01,05:45,06:00,20144
2006-08-01,06:00,06:15,20369
2006-08-01,06:15,06:30,21110
2006-08-01,06:30,06:45,21441
2006-08-01,06:45,07:00,21656
2006-08-01,07:00,07:15,21918
2006-08-01,07:15,07:30,22055
2006-08-01,07:30,07:45,22293
2006-08-01,07:45,08:00,22646
2006-08-01,08:00,08:15,22801
2006-08-01,08:15,08:30,23046
2006-08-01,08:30,08:45,23430
2006-08-01,08:45,09:00,23336
2006-08-01,09:00,09:15,23171
2006-08-01,09:15,09:30,23005
2006-08-01,09:30,09:45,23313
2006-08-01,09:45,10:00,23085
2006-08-01,10:00,10:15,23219
2006-08-01,10:15,10:30,23286
2006-08-01,10:30,10:45,23453
2006-08-01,10:45,11:00,23355
2006-08-01,11:00,11:15,23402
2006-08-01,11:15,11:30,23450
2006-08-01,11:30,11:45,23741
2006-08-01,11:45,12:00,23746
2006-08-01,12:00,12:15,23436
2006-08-01,12:15,12:30,23625
2006-08-01,12:30,12:45,23373
2006-08-01,12:45,13:00,23435
2006-08-01,13:00,13:15,23254
2006-08-01,13:15,13:30,23284
2006-08-01,13:30,13:45,23232
2006-08-01,13:45,14:00,22978
2006-08-01,14:00,14:15,22947
2006-08-01,14:15,14:30,22745
2006-08-01,14:30,14:45,22721
2006-08-01,14:45,15:00,22819
2006-08-01,15:00,15:15,22677
2006-08-01,15:15,15:30,22590
2006-08-01,15:30,15:45,22437
2006-08-01,15:45,16:00,21950
2006-08-01,16:00,16:15,21921
2006-08-01,16:15,16:30,22004
2006-08-01,16:30,16:45,21805
2006-08-01,16:45,17:00,21797
2006-08-01,17:00,17:15,21766
2006-08-01,17:15,17:30,21753
2006-08-01,17:30,17:45,21674
2006-08-01,17:45,18:00,21682
2006-08-01,18:00,18:15,21875
2006-08-01,18:15,18:30,21898
2006-08-01,18:30,18:45,21781
2006-08-01,18:45,19:00,21716
2006-08-01,19:00,19:15,22021
2006-08-01,19:15,19:30,22124
2006-08-01,19:30,19:45,22154
2006-08-01,19:45,20:00,21957
2006-08-01,20:00,20:15,21726
2006-08-01,20:15,20:30,21265
2006-08-01,20:30,20:45,21007
2006-08-01,20:45,21:00,20789
2006-08-01,21:00,21:15,20821
2006-08-01,21:15,21:30,20847
2006-08-01,21:30,21:45,20970
2006-08-01,21:45,22:00,20602
2006-08-01,22:00,22:15,20458
2006-08-01,22:15,22:30,20141
2006-08-01,22:30,22:45,19927
2006-08-01,22:45,23:00,19600
2006-08-01,23:00,23:15,19564
2006-08-01,23:15,23:30,19086
2006-08-01,23:30,23:45,18679
2006-08-01,23:45,00:00,18266
2006-08-02,00:00,00:15,18236
2006-08-02,00:15,00:30,18206
2006-08-02,00:30,00:45,18116
2006-08-02,00:45,01:00,18033
2006-08-02,01:00,01:15,17688
2006-08-02,01:15,01:30,17458
2006-08-02,01:30,01:45,17286
2006-08-02,01:45,02:00,17215
2006-08-02,02:00,02:15,16988
2006-08-02,02:15,02:30,17034
2006-08-02,02:30,02:45,16707
2006-08-02,02:45,03:00,16844
2006-08-02,03:00,03:15,17018
2006-08-02,03:15,03:30,16753
2006-08-02,03:30,03:45,16896
2006-08-02,03:45,04:00,16950
2006-08-02,04:00,04:15,17100
2006-08-02,04:15,04:30,17126
2006-08-02,04:30,04:45,16869
2006-08-02,04:45,05:00,17193
2006-08-02,05:00,05:15,17364
2006-08-02,05:15,05:30,17706
2006-08-02,05:30,05:45,18436
2006-08-02,05:45,06:00,18963
2006-08-02,06:00,06:15,19693
2006-08-02,06:15,06:30,20357
2006-08-02,06:30,06:45,20888
2006-08-02,06:45,07:00,21209
2006-08-02,07:00,07:15,21627
2006-08-02,07:15,07:30,21536
2006-08-02,07:30,07:45,21690
2006-08-02,07:45,08:00,21829
2006-08-02,08:00,08:15,21843
2006-08-02,08:15,08:30,22269
2006-08-02,08:30,08:45,22473
2006-08-02,08:45,09:00,22468
2006-08-02,09:00,09:15,22132
2006-08-02,09:15,09:30,22711
2006-08-02,09:30,09:45,22780
2006-08-02,09:45,10:00,22794
2006-08-02,10:00,10:15,22675
2006-08-02,10:15,10:30,22711
2006-08-02,10:30,10:45,22698
2006-08-02,10:45,11:00,22893
2006-08-02,11:00,11:15,22851
2006-08-02,11:15,11:30,22813
2006-08-02,11:30,11:45,22912
2006-08-02,11:45,12:00,22836
2006-08-02,12:00,12:15,22614
2006-08-02,12:15,12:30,22440
2006-08-02,12:30,12:45,22672
2006-08-02,12:45,13:00,22485
2006-08-02,13:00,13:15,22496
2006-08-02,13:15,13:30,22344
2006-08-02,13:30,13:45,22404
2006-08-02,13:45,14:00,22244
2006-08-02,14:00,14:15,22253
2006-08-02,14:15,14:30,22314
2006-08-02,14:30,14:45,22293
2006-08-02,14:45,15:00,22236
2006-08-02,15:00,15:15,22179
2006-08-02,15:15,15:30,22233
2006-08-02,15:30,15:45,22290
