date,time_from,time_to,production
2015-02-01,00:00,00:15,22867
2015-02-01,00:15,00:30,22671
2015-02-01,00:30,00:45,22503
2015-02-01,00:45,01:00,22378
2015-02-01,01:00,01:15,22119
2015-02-01,01:15,01:30,21971
2015-02-01,01:30,01:45,21841
2015-02-01,01:45,02:00,21740
2015-02-01,02:00,02:15,21920
2015-02-01,02:15,02:30,21754
2015-02-01,02:30,02:45,21734
2015-02-01,02:45,03:00,21759
2015-02-01,03:00,03:15,21741
2015-02-01,03:15,03:30,21714
2015-02-01,03:30,03:45,21723
2015-02-01,03:45,04:00,21712
2015-02-01,04:00,04:15,21166
2015-02-01,04:15,04:30,21113
2015-02-01,04:30,04:45,21059
2015-02-01,04:45,05:00,20996
2015-02-01,05:00,05:15,21181
2015-02-01,05:15,05:30,21060
2015-02-01,05:30,05:45,20933
2015-02-01,05:45,06:00,20744
2015-02-01,06:00,06:15,20940
2015-02-01,06:15,06:30,20899
2015-02-01,06:30,06:45,20976
2015-02-01,06:45,07:00,21040
2015-02-01,07:00,07:15,21277
2015-02-01,07:15,07:30,21349
2015-02-01,07:30,07:45,21543
2015-02-01,07:45,08:00,21748
2015-02-01,08:00,08:15,21740
2015-02-01,08:15,08:30,21897
2015-02-01,08:30,08:45,22185
2015-02-01,08:45,09:00,22487
2015-02-01,09:00,09:15,23871
2015-02-01,09:15,09:30,24112
2015-02-01,09:30,09:45,24505
2015-02-01,09:45,10:00,24905
2015-02-01,10:00,10:15,26095
2015-02-01,10:15,10:30,26373
2015-02-01,10:30,10:45,26651
2015-02-01,10:45,11:00,26841
2015-02-01,11:00,11:15,27393
2015-02-01,11:15,11:30,27610
2015-02-01,11:30,11:45,27704
2015-02-01,11:45,12:00,27680
2015-02-01,12:00,12:15,27873
2015-02-01,12:15,12:30,27851
2015-02-01,12:30,12:45,27748
2015-02-01,12:45,13:00,27642
2015-02-01,13:00,13:15,26973
2015-02-01,13:15,13:30,26799
2015-02-01,13:30,13:45,26635
2015-02-01,13:45,14:00,26498
2015-02-01,14:00,14:15,25583
2015-02-01,14:15,14:30,25324
2015-02-01,14:30,14:45,25245
2015-02-01,14:45,15:00,25194
2015-02-01,15:00,15:15,24216
2015-02-01,15:15,15:30,24034
2015-02-01,15:30,15:45,24042
2015-02-01,15:45,16:00,24015
2015-02-01,16:00,16:15,22073
2015-02-01,16:15,16:30,22095
2015-02-01,16:30,16:45,22259
2015-02-01,16:45,17:00,22493
2015-02-01,17:00,17:15,24004
2015-02-01,17:15,17:30,24331
2015-02-01,17:30,17:45,24645
2015-02-01,17:45,18:00,24889
2015-02-01,18:00,18:15,25954
2015-02-01,18:15,18:30,25954
2015-02-01,18:30,18:45,25852
2015-02-01,18:45,19:00,25819
2015-02-01,19:00,19:15,25047
2015-02-01,19:15,19:30,25012
2015-02-01,19:30,19:45,24875
2015-02-01,19:45,20:00,24761
2015-02-01,20:00,20:15,25092
2015-02-01,20:15,20:30,24817
2015-02-01,20:30,20:45,24644
2015-02-01,20:45,21:00,24606
2015-02-01,21:00,21:15,23795
2015-02-01,21:15,21:30,23769
2015-02-01,21:30,21:45,23792
2015-02-01,21:45,22:00,23908
2015-02-01,22:00,22:15,24073
2015-02-01,22:15,22:30,23899
2015-02-01,22:30,22:45,23630
2015-02-01,22:45,23:00,23491
2015-02-01,23:00,23:15,22851
2015-02-01,23:15,23:30,22563
2015-02-01,23:30,23:45,22337
2015-02-01,23:45,00:00,22228
2015-02-02,00:00,00:15,27397
2015-02-02,00:15,00:30,27285
2015-02-02,00:30,00:45,27197
2015-02-02,00:45,01:00,27196
2015-02-02,01:00,01:15,27194
2015-02-02,01:15,01:30,27152
2015-02-02,01:30,01:45,27167
2015-02-02,01:45,02:00,27205
2015-02-02,02:00,02:15,27112
2015-02-02,02:15,02:30,27134
2015-02-02,02:30,02:45,27220
2015-02-02,02:45,03:00,27332
2015-02-02,03:00,03:15,27118
2015-02-02,03:15,03:30,27126
2015-02-02,03:30,03:45,27157
