date,time_from,time_to,vertical_load
2015-04-01,00:00,00:15,11604
2015-04-01,00:15,00:30,11624
2015-04-01,00:30,00:45,11430
2015-04-01,00:45,01:00,11486
2015-04-01,01:00,01:15,11377
2015-04-01,01:15,01:30,11318
2015-04-01,01:30,01:45,11172
2015-04-01,01:45,02:00,11148
2015-04-01,02:00,02:15,11209
2015-04-01,02:15,02:30,11265
2015-04-01,02:30,02:45,11198
2015-04-01,02:45,03:00,11135
2015-04-01,03:00,03:15,11173
2015-04-01,03:15,03:30,11281
2015-04-01,03:30,03:45,11178
2015-04-01,03:45,04:00,11252
2015-04-01,04:00,04:15,11494
2015-04-01,04:15,04:30,11539
2015-04-01,04:30,04:45,11476
2015-04-01,04:45,05:00,11569
2015-04-01,05:00,05:15,11847
2015-04-01,05:15,05:30,12043
2015-04-01,05:30,05:45,12336
2015-04-01,05:45,06:00,12638
2015-04-01,06:00,06:15,13145
2015-04-01,06:15,06:30,13556
2015-04-01,06:30,06:45,14056
2015-04-01,06:45,07:00,14309
2015-04-01,07:00,07:15,14568
2015-04-01,07:15,07:30,14882
2015-04-01,07:30,07:45,15140
2015-04-01,07:45,08:00,15375
2015-04-01,08:00,08:15,15426
2015-04-01,08:15,08:30,15405
2015-04-01,08:30,08:45,15333
2015-04-01,08:45,09:00,15277
2015-04-01,09:00,09:15,15212
2015-04-01,09:15,09:30,15304
2015-04-01,09:30,09:45,15294
2015-04-01,09:45,10:00,15179
2015-04-01,10:00,10:15,15145
2015-04-01,10:15,10:30,15140
2015-04-01,10:30,10:45,15273
2015-04-01,10:45,11:00,15281
2015-04-01,11:00,11:15,15319
2015-04-01,11:15,11:30,15287
2015-04-01,11:30,11:45,15502
2015-04-01,11:45,12:00,15504
2015-04-01,12:00,12:15,15244
2015-04-01,12:15,12:30,15384
2015-04-01,12:30,12:45,15379
2015-04-01,12:45,13:00,15209
2015-04-01,13:00,13:15,15271
2015-04-01,13:15,13:30,15266
2015-04-01,13:30,13:45,15181
2015-04-01,13:45,14:00,14891
