station_european_code,component_code,component_name,component_caption,measurement_unit,measurement_european_group_code,statistics_period,statistics_year,statistics_average_group,statistic_shortname,statistic_name,statistic_value,statistics_percentage_valid,statistics_number_valid,statistics_calculated
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1987,day,P50,50 percentile,28.0,71.781,262,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1987,day,Mean,annual mean,44.313,71.781,262,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1987,day,P95,95 percentile,147.0,71.781,262,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1987,day,P98,98 percentile,232.0,71.781,262,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1987,day,Max,maximum,414.0,71.781,262,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1987,day,Max4,4th highest value,244.0,71.781,262,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1987,day,Days(c > 125),days with c > 125 ug/m3,16.0,71.781,262,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1988,day,P50,50 percentile,20.0,73.224,268,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1988,day,Mean,annual mean,26.022,73.224,268,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1988,day,P95,95 percentile,55.0,73.224,268,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1988,day,P98,98 percentile,58.0,73.224,268,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1988,day,Max,maximum,81.0,73.224,268,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1988,day,Max4,4th highest value,60.0,73.224,268,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1988,day,Days(c > 125),days with c > 125 ug/m3,0.0,73.224,268,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1989,day,P50,50 percentile,18.0,78.904,288,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1989,day,Mean,annual mean,20.712,78.904,288,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1989,day,P95,95 percentile,42.0,78.904,288,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1989,day,P98,98 percentile,48.0,78.904,288,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1989,day,Max,maximum,84.0,78.904,288,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1989,day,Max4,4th highest value,50.0,78.904,288,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1989,day,Days(c > 125),days with c > 125 ug/m3,0.0,78.904,288,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1990,day,P50,50 percentile,20.435,97.26,355,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1990,day,Mean,annual mean,21.906,97.26,355,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1990,day,P95,95 percentile,40.083,97.26,355,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1990,day,P98,98 percentile,48.75,97.26,355,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1990,day,Max,maximum,70.304,97.26,355,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1990,day,Max4,4th highest value,58.833,97.26,355,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1990,day,Days(c > 125),days with c > 125 ug/m3,0.0,97.26,355,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1990,hour,P50,50 percentile,20.0,97.705,8559,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1990,hour,Mean,annual mean,21.943,97.705,8559,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1990,hour,P95,95 percentile,54.0,97.705,8559,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1990,hour,P98,98 percentile,70.0,97.705,8559,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1990,hour,P99_9,99.9 percentile,112.0,97.705,8559,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1990,hour,Max,maximum,143.0,97.705,8559,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1990,hour,Max25,25th highest value,100.0,97.705,8559,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1990,hour,Hours(c > 350),hours with c > 350 ug/m3,0.0,97.705,8559,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1991,day,P50,50 percentile,17.167,88.493,323,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1991,day,Mean,annual mean,20.947,88.493,323,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1991,day,P95,95 percentile,47.333,88.493,323,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1991,day,P98,98 percentile,67.391,88.493,323,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1991,day,Max,maximum,178.0,88.493,323,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1991,day,Max4,4th highest value,75.833,88.493,323,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1991,day,Days(c > 125),days with c > 125 ug/m3,1.0,88.493,323,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1991,hour,P50,50 percentile,16.0,90.205,7902,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1991,hour,Mean,annual mean,21.127,90.205,7902,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1991,hour,P95,95 percentile,55.0,90.205,7902,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1991,hour,P98,98 percentile,78.0,90.205,7902,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1991,hour,P99_9,99.9 percentile,194.0,90.205,7902,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1991,hour,Max,maximum,210.0,90.205,7902,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1991,hour,Max25,25th highest value,158.0,90.205,7902,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1991,hour,Hours(c > 350),hours with c > 350 ug/m3,0.0,90.205,7902,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1992,day,P50,50 percentile,18.333,98.361,360,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1992,day,Mean,annual mean,21.044,98.361,360,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1992,day,P95,95 percentile,41.292,98.361,360,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1992,day,P98,98 percentile,57.292,98.361,360,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1992,day,Max,maximum,122.25,98.361,360,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1992,day,Max4,4th highest value,77.958,98.361,360,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1992,day,Days(c > 125),days with c > 125 ug/m3,0.0,98.361,360,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1992,hour,P50,50 percentile,17.0,97.974,8606,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1992,hour,Mean,annual mean,21.001,97.974,8606,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1992,hour,P95,95 percentile,52.0,97.974,8606,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1992,hour,P98,98 percentile,70.0,97.974,8606,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1992,hour,P99_9,99.9 percentile,192.0,97.974,8606,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1992,hour,Max,maximum,244.0,97.974,8606,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1992,hour,Max25,25th highest value,132.0,97.974,8606,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1992,hour,Hours(c > 350),hours with c > 350 ug/m3,0.0,97.974,8606,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1993,day,P50,50 percentile,15.042,89.041,325,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1993,day,Mean,annual mean,19.063,89.041,325,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1993,day,P95,95 percentile,51.708,89.041,325,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1993,day,P98,98 percentile,59.208,89.041,325,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1993,day,Max,maximum,103.458,89.041,325,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1993,day,Max4,4th highest value,72.083,89.041,325,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1993,day,Days(c > 125),days with c > 125 ug/m3,0.0,89.041,325,True
DENW059,1,Sulphur dioxide (air),SO2,µg/m3,100,Calendar year,1993,hour,P50,50 percentile,15.0,90.114,7894,True
