lanuv_id,uba_id
VACW,DENW178
AABU,DENW094
VBIS,"DENW186,DENW228"
BIEL,DENW067
BONN,DENW062
BORG,DENW081
VBOT,DENW201
BOTT,DENW021
DATT,DENW002
VDOM,DENW136
VDOR,DENW101
DMD2,DENW008
VDUI,DENW112
DUB2,DENW338
BUCH,DENW040
WALS,DENW034
DDCS,DENW082
DLOH,DENW330
LOER,DENW071
VEAE,"DENW169,DENW134"
VESN,DENW043
ELAN,DENW0247
EVOG,DENW0247
VGES,DENW208
GELS,DENW022
VHAM,DENW133
HATT,DENW029
VHER,DENW203
HUE2,DENW058
JACK,DENW329
JHNK,DENW337
VKCL,DENW211
VKTU,DENW212
CHOR,DENW053
RODE,DENW059
KRHA,DENW116
KREF,DENW042
LEV2,DENW079
NIED,DENW006
SICK,DENW015
VMGR,DENW100
VMGF,DENW259
MGRH,DENW096
STYR,DENW038
VMS2,DENW260
MSGE,DENW095
ROTH,DENW065
NETT,DENW066
NIZI,DENW074
VOBM,"DENW209,DENW188"
RAT2,DENW078
SHW2,DENW179
VSCH,DENW292
EIFE,DENW064
SOES,DENW068
SOLI,DENW080
UNNA,DENW010
WAST,DENW181
WESE,DENW030
VWEL,DENW189
WULA,DENW114
