Name;Gewaesser;MNW;MHW;Mittel;Informationsstufe 1;Informationsstufe 2;Informationsstufe 3;Einzugsgebiet;east;north
Ahlen;Werse;10.00;182.00;32.00;170.00;200.00;250.00;Ems;425346;5733207
Ahmsen;Werre;32.00;207.00;55.00;;;;Weser;479549;5771202
Albersloh;Werse;11.00;215.00;45.00;190.00;250.00;300.00;Ems;412451;5748891
Altena;Lenne;30.00;303.00;68.00;190.00;235.00;430.00;Ruhr;407683;5682847
Altena_Rahmedestrasse;Rahmede;23.00;104.00;36.00;;;;Ruhr;407743;5682486
Altenbeken2;Beke;25.00;60.00;30.00;;;;Lippe;494359;5734474
Altenburg_1;Rur;13.00;118.00;32.00;105.00;135.00;170.00;Rur;315307;5641723
Appelhuelsen;Stever;8.00;126.00;20.00;140.00;165.00;195.00;Lippe;393018;5749442
Arloff;Erft;23.00;84.00;33.00;100.00;115.00;130.00;Erft;343747;5607174
Bachum;Ruhr;72.00;292.00;102.00;210.00;400.00;440.00;Ruhr;426625;5702609
Baltes;Beeckbach;12.00;63.00;20.00;;;;Schwalm;310529;5668410
Balve-Garbeck;Hönne;37.00;128.00;55.00;;;;Ruhr;419268;5684936
Balve_Helle;Hönne;7.00;112.00;23.00;;;;Ruhr;421898;5688764
Bamenohl;Lenne;102.00;347.00;140.00;;;;Ruhr;428894;5668403
Beddelhausen;Eder;30.00;202.00;60.00;;;;Weser;464054;5649880
Belecke_1;Möhne;29.00;185.00;51.00;;;;Ruhr;453263;5704350
Bentfeld;Lippe;100.00;287.00;140.00;270.00;350.00;370.00;Lippe;474494;5733168
Bessenich;Neffelbach;38.00;107.00;45.00;110.00;125.00;145.00;Erft;334494;5621078
Bettrather_Dyck;Niers;45.00;156.00;69.00;;;;Niers;322861;5680207
Betzdorf (Rheinland-Pfalz);Sieg;;;;;;;Sieg;419897;5627509
Bierde;Gehle;58.00;263.00;79.00;;;;Weser;502826;5802228
Bilk;Vechte;18.00;196.00;45.00;200.00;224.00;243.00;Ijssel;383438;5789039
Birgelen;Birgelener Bach;;;;;;;Rur;300815;5666314
Bliesheim;Erft;13.00;151.00;31.00;110.00;200.00;230.00;Erft;346719;5627516
Blomberg;Diestelbach;15.00;245.00;27.00;;;;Weser;507275;5752683
Boekenfoerde_2;Gieseler;40.00;156.00;62.00;;;;Lippe;457651;5720667
Brake;Aa;40.00;265.00;65.00;;;;Weser;473858;5769014
Brakel;Brucht;110.00;320.00;130.00;;;;Weser;513177;5729211
Bredelar;Hoppecke;28.00;124.00;47.00;;;;Weser;483678;5695421
Broel;Bröl;;;;;;;Sieg;381573;5627378
Broeleck;Bröl;12.00;130.00;28.00;;;;Sieg;388477;5633370
Buchenhofen;Wupper;53.00;241.00;74.00;;;;Wupper;367679;5675964
Bueren;Afte;16.00;78.00;28.00;;;;Lippe;469795;5711023
Burg_Veynau;Veybach;39.00;86.00;45.00;80.00;100.00;150.00;Erft;338642;5612063
Cappel;Glenne;;;;;;;Lippe;451415;5727373
Daemmerwald;Issel (Ijssel);7.00;133.00;21.00;165.00;195.00;205.00;Ijssel;345695;5734302
Darfeld;Vechte;;;;198.00;255.00;315.00;Ijssel;381182;5768742
Dedenborn;Rur;7.00;147.00;33.00;;;;Rur;313248;5607027
Einen;Ems;59.00;365.00;115.00;355.00;450.00;490.00;Ems;424327;5758567
Einruhr;Erkensruhr;4.00;118.50;23.50;;;;Rur;314684;5606138
Eitorf;Sieg;15.00;348.00;64.00;250.00;410.00;460.00;Sieg;390204;5626181
Erkrath;Düssel;94.00;191.00;104.00;;;;Rhein;354585;5677049
Eschweiler;Inde;17.00;179.00;37.00;190.00;230.00;260.00;Rur;309047;5632749
Essen-Hespertal;Hesperbach;22.00;119.00;34.00;;;;Ruhr;364183;5695688
Feudingen;Lahn;24.00;116.00;39.00;;;;Rhein;452579;5643232
Fiestel;Große Aue (Aue);100.00;232.00;120.00;;;;Weser;469939;5800421
Friesheim;Rotbach;18.00;118.00;28.00;110.00;150.00;180.00;Erft;342918;5624969
Geisbach;Hanfbach;;;;;;;Sieg;380119;5625180
Geldern;Gelderner Fleuth;66.00;166.00;90.00;;;;Niers;314732;5711446
Gemuend;Urft;24.00;191.00;45.00;200.00;215.00;265.00;Rur;322378;5605842
Glesch;Erft;93.00;173.00;120.00;170.00;180.00;195.00;Erft;331215;5649732
Gloertalsperre_Zulauf;Glör;5.00;47.00;11.00;;;;Ruhr;395348;5676989
Glueder;Wupper;45.00;222.00;66.00;;;;Wupper;368578;5666371
Goch;Niers;33.00;169.00;71.00;;;;Niers;303033;5729732
Greven;Ems;108.00;682.00;241.00;610.00;810.00;870.00;Ems;404285;5772452
Gronau;Dinkel;6.00;158.00;27.00;153.00;177.00;198.00;Ijssel;365058;5787119
Haaren;Haarbach;8.00;85.00;14.00;;;;Rur;297694;5630948
Hagen-Ambrock;Volme;32.00;207.00;58.00;;;;Ruhr;396657;5686836
Hagen-Eckesey;Volme;62.00;242.00;89.00;170.00;340.00;380.00;Ruhr;392131;5693803
Hagen-Haspe;Ennepe;22.00;137.00;38.00;;;;Ruhr;389873;5689714
Hagen-Maecking;Maeckinger-bach;6.00;65.00;22.00;;;;Ruhr;394572;5686440
Hagen-Maecking2;Hombecke;2.00;59.00;12.00;;;;Ruhr;394199;5686636
Hagen-Selbecke;Maeckinger-bach;3.00;53.00;15.00;;;;Ruhr;393968;5688086
Haltern;Lippe;144.00;538.00;216.00;546.00;606.00;664.00;Lippe;374767;5732686
Haus_Langenfeld;Nette;32.00;102.00;50.00;;;;Niers;314686;5696635
Havert;Saeffeler Bach;;;;;;;Rur;283328;5658342
Heek;Dinkel;11.00;152.00;25.00;147.00;183.00;193.00;Ijssel;371080;5775723
Heilenbecke_Ablauf;Heilenbecke;8.00;73.00;20.00;;;;Ruhr;386451;5679649
Hemer-Becke;Oese;6.00;113.00;16.00;;;;Ruhr;415719;5695082
Hemer_Hessufer;Westiger Bach;7.00;111.00;18.00;;;;Ruhr;414047;5692793
Hemer_Uhlenhof;Sundwiger Bach;16.00;83.00;28.00;;;;Ruhr;414377;5692886
Herbram_W;Glasebach;30.00;75.00;53.00;;;;Lippe;494176;5724383
Herford_2;Werre;55.00;396.00;124.00;400.00;460.00;530.00;Weser;477476;5775929
Herrntrop;Hundem;4.00;93.00;17.00;;;;Ruhr;437350;5659931
Herzogenrath_1;Wurm;47.00;205.00;61.00;190.00;210.00;240.00;Rur;295569;5639002
Herzogenrath_2;Broicher Bach;40.00;104.00;49.00;;;;Rur;296768;5638996
Hilden_1;Itterbach;30.00;148.00;43.00;;;;Rhein;354916;5669701
Hoerstel;Hörsteler Aa;17.00;87.00;25.00;;;;Ems;403766;5797602
Hoffnungsthal;Sülz;43.00;262.00;74.00;240.00;300.00;325.00;Sieg;373021;5641467
Hommerich;Kürtener Sülz;20.00;108.00;32.00;;;;Sieg;379352;5652210
Honsdorf;Beeckflies;15.00;99.00;25.00;;;;Rur;302276;5654136
Hopsten;Hopstener Aa;11.00;120.00;23.00;;;;Ems;404646;5803509
Iserlohn;Baarbach;8.00;129.00;15.00;;;;Ruhr;409613;5695212
Iserlohn-Hennen;Baarbach;23.00;137.00;34.00;;;;Ruhr;407033;5700490
Isselburg;Issel (Ijssel);6.00;126.00;28.00;141.00;189.00;199.00;Ijssel;325838;5745438
Jubachtalsperre_Zulauf;Jubach;8.00;66.00;28.00;;;;Ruhr;403265;5669382
Juelich-Stadion;Rur;103.00;211.00;119.00;205.00;250.00;290.00;Rur;313710;5644820
Kall-Sportplatz;Urft;19.00;157.00;36.00;155.00;180.00;230.00;Rur;326687;5602029
Kapellen;Issumer Fleuth;15.00;72.00;26.00;;;;Niers;317013;5716527
Kesseler_3;Lippe;30.00;413.00;120.00;439.00;461.00;473.00;Lippe;437018;5723947
Kickenbach;Lenne;60.00;239.00;94.00;220.00;270.00;290.00;Ruhr;437024;5662317
Kierspe;Volme;7.00;88.00;19.00;;;;Ruhr;403104;5666294
Kirchberg1;Inde;;;;170.00;195.00;215.00;Rur;314239;5641161
Kirchberg2;Mühlenteich;;;;;;;Rur;314335;5641157
