Name;Datum;Minimum;Maximum;Mittelwert
Ahlen;2013-01-01;52.000;62.000;55.530
Ahlen;2013-01-02;53.000;60.000;54.890
Ahlen;2013-01-03;52.000;54.000;52.760
Ahlen;2013-01-04;50.000;52.000;50.310
Ahlen;2013-01-05;47.000;50.000;48.810
Ahlen;2013-01-06;45.000;47.000;46.300
Ahlen;2013-01-07;42.000;45.000;42.580
Ahlen;2013-01-08;40.000;42.000;41.250
Ahlen;2013-01-09;40.000;76.000;49.420
Ahlen;2013-01-10;60.000;76.000;66.850
Ahlen;2013-01-11;57.000;74.000;66.020
Ahlen;2013-01-12;49.000;57.000;52.110
Ahlen;2013-01-13;43.000;48.000;44.850
Ahlen;2013-01-14;40.000;43.000;41.250
Ahlen;2013-01-15;38.000;40.000;39.070
Ahlen;2013-01-16;36.000;39.000;36.610
Ahlen;2013-01-17;33.000;36.000;34.080
Ahlen;2013-01-18;32.000;34.000;32.980
Ahlen;2013-01-19;31.000;33.000;32.040
Ahlen;2013-01-20;29.000;32.000;30.000
Ahlen;2013-01-21;29.000;30.000;29.600
Ahlen;2013-01-22;27.000;30.000;28.120
Ahlen;2013-01-23;27.000;28.000;27.200
Ahlen;2013-01-24;26.000;27.000;26.220
Ahlen;2013-01-25;25.000;26.000;25.240
Ahlen;2013-01-26;26.000;27.000;26.430
Ahlen;2013-01-27;26.000;44.000;30.990
Ahlen;2013-01-28;40.000;64.000;46.960
Ahlen;2013-01-29;64.000;119.000;98.970
Ahlen;2013-01-30;88.000;118.000;100.190
Ahlen;2013-01-31;69.000;88.000;75.580
Ahlen;2013-02-01;61.000;80.000;66.740
Ahlen;2013-02-02;66.000;86.000;77.540
Ahlen;2013-02-03;57.000;65.000;59.530
Ahlen;2013-02-04;59.000;97.000;79.970
Ahlen;2013-02-05;67.000;86.000;73.390
Ahlen;2013-02-06;55.000;66.000;59.770
Ahlen;2013-02-07;51.000;55.000;52.820
Ahlen;2013-02-08;47.000;51.000;49.020
Ahlen;2013-02-09;44.000;47.000;44.480
Ahlen;2013-02-10;41.000;44.000;41.920
Ahlen;2013-02-11;38.000;41.000;39.300
Ahlen;2013-02-12;36.000;38.000;36.400
Ahlen;2013-02-13;34.000;36.000;34.250
Ahlen;2013-02-14;32.000;34.000;32.830
Ahlen;2013-02-15;32.000;37.000;33.300
Ahlen;2013-02-16;32.000;37.000;33.840
Ahlen;2013-02-17;32.000;33.000;32.660
Ahlen;2013-02-18;32.000;33.000;32.480
Ahlen;2013-02-19;31.000;39.000;33.980
Ahlen;2013-02-20;31.000;35.000;32.100
Ahlen;2013-02-21;30.000;32.000;30.340
Ahlen;2013-02-22;29.000;30.000;29.250
Ahlen;2013-02-23;28.000;29.000;28.210
Ahlen;2013-02-24;27.000;32.000;28.710
Ahlen;2013-02-25;26.000;41.000;31.230
Ahlen;2013-02-26;29.000;38.000;31.500
Ahlen;2013-02-27;38.000;39.000;38.510
Ahlen;2013-02-28;36.000;38.000;36.310
Ahlen;2013-03-01;34.000;36.000;34.480
Ahlen;2013-03-02;32.000;34.000;32.560
Ahlen;2013-03-03;31.000;32.000;31.440
Ahlen;2013-03-04;29.000;31.000;30.000
Ahlen;2013-03-05;29.000;30.000;29.520
Ahlen;2013-03-06;27.000;29.000;27.660
Ahlen;2013-03-07;25.000;27.000;26.020
Ahlen;2013-03-08;26.000;36.000;29.400
Ahlen;2013-03-09;27.000;40.000;33.690
Ahlen;2013-03-10;41.000;71.000;65.620
