Einzugsgebiet,Gewaesser,Informationsstufe 1,Informationsstufe 2,Informationsstufe 3,MHW,MNW,Mittel,Name,X,Y
Ems,Werse,170.0,200.0,250.0,182.0,10.0,32.0,Ahlen,7.9186738,51.7447912
Weser,Werre,,,,207.0,32.0,55.0,Ahmsen,8.701494,52.0910036
Ems,Werse,190.0,250.0,300.0,215.0,11.0,45.0,Albersloh,7.7279781,51.8839087
Ruhr,Lenne,190.0,235.0,430.0,303.0,30.0,68.0,Altena,7.6760934,51.2894595
Ruhr,Rahmede,,,,104.0,23.0,36.0,Altena_Rahmedestrasse,7.6770468,51.2862239
Lippe,Beke,,,,60.0,25.0,30.0,Altenbeken2,8.9182645,51.761129
Rur,Rur,105.0,135.0,170.0,118.0,13.0,32.0,Altenburg_1,6.3734955,50.8975923
Lippe,Stever,140.0,165.0,195.0,126.0,8.0,20.0,Appelhuelsen,7.4455622,51.885471
Erft,Erft,100.0,115.0,130.0,84.0,23.0,33.0,Arloff,6.7922425,50.5955256
Ruhr,Ruhr,210.0,400.0,440.0,292.0,72.0,102.0,Bachum,7.9436002,51.4698835
Schwalm,Beeckbach,,,,63.0,12.0,20.0,Baltes,6.2916893,51.1357598
Ruhr,Hönne,,,,128.0,37.0,55.0,Balve-Garbeck,7.8417208,51.3100003
Ruhr,Hönne,,,,112.0,7.0,23.0,Balve_Helle,7.8786069,51.3447822
Ruhr,Lenne,,,,347.0,102.0,140.0,Bamenohl,7.9830845,51.1626412
Weser,Eder,,,,202.0,30.0,60.0,Beddelhausen,8.4877324,50.9993726
Ruhr,Möhne,,,,185.0,29.0,51.0,Belecke_1,8.3268477,51.4883647
Lippe,Lippe,270.0,350.0,370.0,287.0,100.0,140.0,Bentfeld,8.6305297,51.748834
Erft,Neffelbach,110.0,125.0,145.0,107.0,38.0,45.0,Bessenich,6.6554014,50.7179101
Niers,Niers,,,,156.0,45.0,69.0,Bettrather_Dyck,6.4619539,51.2456844
Sieg,Sieg,,,,,,,Betzdorf (Rheinland-Pfalz),7.8634529,50.7937844
Weser,Gehle,,,,263.0,58.0,79.0,Bierde,9.0415084,52.3703167
Ijssel,Vechte,200.0,224.0,243.0,196.0,18.0,45.0,Bilk,7.2929124,52.2394047
Rur,Birgelener Bach,,,,,,,Birgelen,6.1541738,51.1136393
Erft,Erft,110.0,200.0,230.0,151.0,13.0,31.0,Bliesheim,6.8257663,50.7791176
Weser,Diestelbach,,,,245.0,15.0,27.0,Blomberg,9.1057944,51.9248306
