Name,Datum,Minimum,Maximum,Mittelwert
Ahlen,2013-01-01,52.0,62.0,55.53
Ahlen,2013-01-02,53.0,60.0,54.89
Ahlen,2013-01-03,52.0,54.0,52.76
Ahlen,2013-01-04,50.0,52.0,50.31
Ahlen,2013-01-05,47.0,50.0,48.81
Ahlen,2013-01-06,45.0,47.0,46.3
Ahlen,2013-01-07,42.0,45.0,42.58
Ahlen,2013-01-08,40.0,42.0,41.25
Ahlen,2013-01-09,40.0,76.0,49.42
Ahlen,2013-01-10,60.0,76.0,66.85
Ahlen,2013-01-11,57.0,74.0,66.02
Ahlen,2013-01-12,49.0,57.0,52.11
Ahlen,2013-01-13,43.0,48.0,44.85
Ahlen,2013-01-14,40.0,43.0,41.25
Ahlen,2013-01-15,38.0,40.0,39.07
Ahlen,2013-01-16,36.0,39.0,36.61
Ahlen,2013-01-17,33.0,36.0,34.08
Ahlen,2013-01-18,32.0,34.0,32.98
Ahlen,2013-01-19,31.0,33.0,32.04
Ahlen,2013-01-20,29.0,32.0,30.0
Ahlen,2013-01-21,29.0,30.0,29.6
Ahlen,2013-01-22,27.0,30.0,28.12
Ahlen,2013-01-23,27.0,28.0,27.2
Ahlen,2013-01-24,26.0,27.0,26.22
Ahlen,2013-01-25,25.0,26.0,25.24
Ahlen,2013-01-26,26.0,27.0,26.43
Ahlen,2013-01-27,26.0,44.0,30.99
Ahlen,2013-01-28,40.0,64.0,46.96
Ahlen,2013-01-29,64.0,119.0,98.97
Ahlen,2013-01-30,88.0,118.0,100.19
Ahlen,2013-01-31,69.0,88.0,75.58
Ahlen,2013-02-01,61.0,80.0,66.74
Ahlen,2013-02-02,66.0,86.0,77.54
Ahlen,2013-02-03,57.0,65.0,59.53
Ahlen,2013-02-04,59.0,97.0,79.97
Ahlen,2013-02-05,67.0,86.0,73.39
Ahlen,2013-02-06,55.0,66.0,59.77
Ahlen,2013-02-07,51.0,55.0,52.82
Ahlen,2013-02-08,47.0,51.0,49.02
Ahlen,2013-02-09,44.0,47.0,44.48
Ahlen,2013-02-10,41.0,44.0,41.92
Ahlen,2013-02-11,38.0,41.0,39.3
Ahlen,2013-02-12,36.0,38.0,36.4
Ahlen,2013-02-13,34.0,36.0,34.25
Ahlen,2013-02-14,32.0,34.0,32.83
Ahlen,2013-02-15,32.0,37.0,33.3
Ahlen,2013-02-16,32.0,37.0,33.84
Ahlen,2013-02-17,32.0,33.0,32.66
Ahlen,2013-02-18,32.0,33.0,32.48
Ahlen,2013-02-19,31.0,39.0,33.98
Ahlen,2013-02-20,31.0,35.0,32.1
Ahlen,2013-02-21,30.0,32.0,30.34
Ahlen,2013-02-22,29.0,30.0,29.25
Ahlen,2013-02-23,28.0,29.0,28.21
Ahlen,2013-02-24,27.0,32.0,28.71
Ahlen,2013-02-25,26.0,41.0,31.23
Ahlen,2013-02-26,29.0,38.0,31.5
Ahlen,2013-02-27,38.0,39.0,38.51
Ahlen,2013-02-28,36.0,38.0,36.31
Ahlen,2013-03-01,34.0,36.0,34.48
Ahlen,2013-03-02,32.0,34.0,32.56
Ahlen,2013-03-03,31.0,32.0,31.44
Ahlen,2013-03-04,29.0,31.0,30.0
Ahlen,2013-03-05,29.0,30.0,29.52
Ahlen,2013-03-06,27.0,29.0,27.66
Ahlen,2013-03-07,25.0,27.0,26.02
Ahlen,2013-03-08,26.0,36.0,29.4
Ahlen,2013-03-09,27.0,40.0,33.69
Ahlen,2013-03-10,41.0,71.0,65.62
Ahlen,2013-03-11,47.0,66.0,53.35
Ahlen,2013-03-12,40.0,46.0,42.52
Ahlen,2013-03-13,36.0,40.0,37.51
Ahlen,2013-03-14,34.0,36.0,34.46
Ahlen,2013-03-15,31.0,34.0,32.01
Ahlen,2013-03-16,30.0,33.0,31.19
Ahlen,2013-03-17,29.0,33.0,30.46
