station_code,station_local_code,station_name,station_start_date,station_end_date,station_latitude_d,station_latitude_dms,station_longitude_d,station_longitude_dms,station_altitude,type_of_station,station_type_of_area,station_ozone_classification,station_subcat_rural_background,network_code
DEBB007,DEBB007,Elsterwerda,19920901,,51.462734,+051.27.45,13.526796,+013.31.36,89,background,suburban,suburban,unknown,DE014A
DEBB021,DEBB021,Potsdam-Zentrum,19910201,,52.401352,+052.24.4,13.059945,+013.3.35,31,background,urban,urban,unknown,DE014A
DEBB029,DEBB029,Schwedt (Oder),19930406,,53.064262,+053.3.51,14.285139,+014.17.6,5,industrial,suburban,suburban,unknown,DE014A
DEBB032,DEBB032,Eisenhüttenstadt,19930420,,52.146264,+052.8.46,14.638166,+014.38.17,40,industrial,suburban,suburban,unknown,DE014A
DEBB042,DEBB042,Frankfurt (Oder),19970421,,52.339953,+052.20.23,14.531918,+014.31.54,58,background,suburban,suburban,unknown,DE014A
DEBB044,DEBB044,"Cottbus, Bahnhofstr.",20120925,,51.756476,+051.45.23,14.327998,+014.19.40,70,traffic,urban,urban,unknown,DE014A
DEBB045,DEBB045,"Frankfurt (Oder), Leipziger Str.",19950801,,52.337336,+052.20.14,14.538595,+014.32.18,56,traffic,urban,urban,unknown,DE014A
DEBB048,DEBB048,Neuruppin,19980611,,52.93189,+052.55.54,12.809481,+012.48.34,43,background,suburban,suburban,unknown,DE014A
DEBB049,DEBB049,"Brandenburg, Neuendorfer Str.",20131015,,52.409309,+052.24.33,12.548376,+012.32.54,33,traffic,urban,urban,unknown,DE014A
DEBB053,DEBB053,Hasenholz,20001121,,52.563835,+052.33.49,14.015252,+014.0.54,88,background,rural,rural,regional,DE014A
DEBB054,DEBB054,Potsdam Zeppelinstr.,20010307,,52.393932,+052.23.38,13.037474,+013.2.14,31,traffic,urban,urban,unknown,DE014A
DEBB055,DEBB055,Brandenburg a.d. Havel,20011001,,52.420442,+052.25.13,12.552303,+012.33.8,33,background,suburban,suburban,unknown,DE014A
DEBB056,DEBB056,Paulinenaue,19990701,,52.689952,+052.41.23,12.734188,+012.44.3,29,background,rural,rural,regional,DE014A
DEBB060,DEBB060,Eberswalde Breite Straße,20010615,,52.832467,+052.49.56,13.822211,+013.49.19,20,traffic,urban,urban,unknown,DE014A
DEBB063,DEBB063,Wittenberge,20021203,,52.99875,+052.59.55,11.73846,+011.44.18,22,background,suburban,suburban,unknown,DE014A
DEBB064,DEBB064,Cottbus,20021210,,51.746344,+051.44.46,14.33455,+014.20.4,75,background,urban,urban,unknown,DE014A
DEBB065,DEBB065,Lütte (Belzig),20030214,,52.194225,+052.11.39,12.561389,+012.33.41,111,background,rural,rural,regional,DE014A
DEBB066,DEBB066,Spreewald,20030417,,51.897598,+051.53.51,14.057064,+014.3.25,52,background,rural,rural,regional,DE014A
DEBB067,DEBB067,Nauen,20030811,,52.608609,+052.36.30,12.885194,+012.53.6,31,background,suburban,suburban,unknown,DE014A
DEBB068,DEBB068,"Bernau, Lohmühlenstr.",20030109,,52.677651,+052.40.39,13.582269,+013.34.56,71,traffic,urban,urban,unknown,DE014A
DEBB073,DEBB073,"Potsdam, Großbeerenstr.",20060608,,52.388869,+052.23.19,13.094618,+013.5.40,32,traffic,urban,urban,unknown,DE014A
DEBB075,DEBB075,"Potsdam, Groß Glienicke",20070427,,52.484168,+052.29.3,13.123698,+013.7.25,39,background,suburban,suburban,unknown,DE014A
DEBB076,DEBB076,"Cottbus, Depo-Meisenweg",19910101,,51.776119,+051.46.34,14.31653,+014.18.59,68,background,suburban,suburban,unknown,DE014A
DEBB077,DEBB077,Neuglobsow,19990101,,53.142367,+053.8.32,13.03233,+013.1.56,65,background,rural,rural,regional,DE014A
DEBB078,DEBB078,"Neuruppin, Depo-Am See",19960101,,52.903756,+052.54.13,12.807049,+012.48.25,62,background,suburban,suburban,unknown,DE014A
DEBB083,DEBB083,Spremberg,20090506,,51.5645,+051.33.52,14.3764,+014.22.35,99,background,suburban,suburban,unknown,DE014A
DEBB086,DEBB086,Blankenfelde-Mahlow,20100525,,52.349703,+052.20.58,13.424304,+013.25.27,43,background,suburban,suburban,unknown,DE014A
DEBB087,DEBB087,"Cottbus, W.-Külz-Str.",20101201,,51.75413,+051.45.14,14.325549,+014.19.31,75,traffic,urban,urban,unknown,DE014A
DEBB088,DEBB088,"Premnitz, OT Döberitz",20130306,,52.52401,+052.31.26,12.370162,+012.22.12,30,industrial,suburban,suburban,unknown,DE014A
DEBB089,DEBB089,WMN_Kleinmachnow,19890101,,52.398502,+052.23.54,13.186497,+013.11.11,50,background,rural,rural,unknown,DE014A
