station_code,station_local_code,station_name,station_start_date,station_end_date,station_latitude_d,station_latitude_dms,station_longitude_d,station_longitude_dms,station_altitude,type_of_station,station_type_of_area,station_ozone_classification,station_subcat_rural_background,network_code
DEBB001,DEBB001,Burg (Spreewald),19930101,20030519,51.83759,+051.50.15,14.141703,+014.8.30,54,background,suburban,suburban,unknown,DE014A
DEBB002,DEBB002,Brandenburg-Nord,19910201,19940630,52.42096,+052.25.15,12.560379,+012.33.37,31,background,suburban,suburban,unknown,DE014A
DEBB003,DEBB003,Brandenburg a.d. Havel,19910301,20010607,52.412114,+052.24.43,12.544441,+012.32.39,33,traffic,urban,urban,unknown,DE014A
DEBB004,DEBB004,Cottbus-LUA,19910101,20031231,51.778045,+051.46.40,14.327692,+014.19.39,68,background,suburban,suburban,unknown,DE014A
DEBB005,DEBB005,Cottbus-City (-Mitte),19910101,19970331,51.7579,+051.45.28,14.331685,+014.19.54,74,background,urban,urban,unknown,DE014A
DEBB006,DEBB006,Cottbus-Süd,19921101,20021209,51.740765,+051.44.26,14.322828,+014.19.22,76,background,urban,urban,unknown,DE014A
DEBB007,DEBB007,Elsterwerda,19920901,,51.462734,+051.27.45,13.526796,+013.31.36,89,background,suburban,suburban,unknown,DE014A
DEBB008,DEBB008,Finsterwalde,19950901,20001010,51.636483,+051.38.11,13.710116,+013.42.36,110,traffic,urban,urban,unknown,DE014A
DEBB009,DEBB009,Forst,19920101,20021231,51.744028,+051.44.38,14.640592,+014.38.26,75,background,suburban,suburban,unknown,DE014A
DEBB010,DEBB010,Guben,19921001,20000410,51.948542,+051.56.54,14.712247,+014.42.44,46,background,suburban,suburban,unknown,DE014A
DEBB011,DEBB011,Hennigsdorf,19910201,19950504,52.63642,+052.38.11,13.203809,+013.12.13,32,background,suburban,suburban,unknown,DE014A
DEBB012,DEBB012,Herzberg,19920901,20011231,51.692932,+051.41.34,13.228909,+013.13.44,80,traffic,suburban,suburban,unknown,DE014A
