Stations_ID, Mess_Datum, Qualitaets_Niveau, BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE, WINDGESCHWINDIGKEIT, LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM, WINDSPITZE_MAXIMUM, NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER, SCHNEEHOEHE,eor
     2667,20130102,   3,   7.3,   82.63,   7.5,    5.5, 1010.84,   3.2,    1.7,    3.4,    8.0,   7.6,   6,   2.3,    0.400,   0,eor
     2667,20130103,   3,   8.0,   92.17,  10.3,    8.4, 1018.86,   2.9,    5.4,    6.1,   10.5,   8.8,   6,   3.2,    0.000,   0,eor
     2667,20130104,   3,   8.0,   93.79,  11.1,    9.4, 1022.80,   3.5,    7.3,    7.7,   10.3,  10.3,   6,   0.6,    0.000,   0,eor
     2667,20130105,   3,   8.0,   92.83,   9.6,    7.5, 1021.48,   2.6,    6.3,    6.9,    8.2,   7.3,   6,   0.2,    0.000,   0,eor
     2667,20130106,   3,   7.8,   92.42,   9.8,    7.8, 1018.40,   2.9,    6.1,    6.4,    8.9,   7.6,   6,   0.0,    0.000,   0,eor
     2667,20130107,   3,   7.9,   86.88,   9.2,    7.8, 1016.27,   1.5,    5.8,    6.0,    9.1,   3.8,   6,   0.0,    0.000,   0,eor
     2667,20130108,   3,   8.0,   86.63,   8.3,    6.3, 1013.71,   1.8,    4.4,    4.8,    7.6,   6.9,   6,   0.0,    0.000,   0,eor
     2667,20130109,   3,   8.0,   87.25,   7.9,    5.6, 1008.68,   2.0,    4.6,    4.7,    6.9,   8.5,   6,   4.6,    0.000,   0,eor
     2667,20130110,   3,   7.6,   86.92,   7.5,    4.9, 1001.33,   2.7,    2.4,    2.6,    6.1,   7.8,   8,   1.2,    0.000,   0,eor
     2667,20130111,   3,   3.8,   85.75,   4.8,   -1.0, 1004.60,   1.8,   -8.4,   -6.2,    2.6,   5.1,   0,   0.0,    3.567,   0,eor
     2667,20130112,   3,   1.7,   78.71,   3.8,   -2.9, 1005.85,   2.4,  -10.2,   -7.5,    1.5,   6.5,   0,   0.0,    4.967,   0,eor
     2667,20130113,   3,   2.3,   71.42,   3.5,   -2.7, 1004.71,   2.8,   -9.1,   -6.6,    0.8,   7.0,   0,   0.0,    6.867,   0,eor
     2667,20130114,   3,   5.7,   88.63,   4.0,   -4.0, 1001.52,   1.7,  -11.7,   -6.9,   -2.1,   6.7,   7,   0.5,    0.117,   0,eor
     2667,20130115,   3,   8.0,   88.08,   4.5,   -2.4,  993.55,   3.3,   -4.9,   -4.3,   -1.1,   9.8,   7,   3.6,    0.000,   1,eor
     2667,20130116,   3,   7.7,   96.25,   4.6,   -3.3,  997.55,   1.9,   -9.7,   -4.4,   -2.4,   4.2,   7,   0.0,    0.000,   8,eor
     2667,20130117,   3,   8.0,   92.04,   4.4,   -3.2, 1004.48,   2.6,   -4.7,   -4.0,   -2.6,   7.1,   7,   0.0,    0.000,   7,eor
     2667,20130118,   3,   7.2,   84.67,   4.2,   -2.6,  997.47,   2.5,  -12.1,   -6.7,   -0.4,  10.6,   0,   0.0,    0.883,   7,eor
     2667,20130119,   3,   7.4,   75.00,   3.6,   -3.4,  986.62,   4.9,  -10.3,   -6.6,   -1.9,  10.7,   0,   0.0,    0.117,   6,eor
     2667,20130120,   3,   7.5,   83.46,   4.1,   -3.2,  982.80,   3.9,  -10.8,   -7.1,   -0.7,   9.9,   8,   5.8,    0.017,   6,eor
     2667,20130121,   3,   8.0,   92.13,   5.2,   -1.0,  986.27,   2.9,   -2.6,   -1.8,   -0.2,   6.2,   7,   0.1,    0.000,  14,eor
     2667,20130122,   3,   7.8,   85.29,   4.8,   -1.0,  992.37,   1.5,   -5.4,   -2.2,    0.4,   4.1,   7,   0.0,    0.000,  12,eor
     2667,20130123,   3,   7.8,   87.25,   4.9,   -1.1,  996.27,   1.1,   -6.9,   -3.1,    0.8,   2.8,   7,   0.0,    0.000,  11,eor
     2667,20130124,   3,   7.3,   84.96,   4.2,   -2.9, 1001.95,   2.1,   -9.3,   -6.3,   -1.2,   6.0,   0,   0.0,    0.000,  10,eor
     2667,20130125,   3,   8.0,   79.04,   4.0,   -2.5, 1006.50,   2.5,   -3.6,   -3.4,   -2.1,   9.4,   7,   0.0,    0.000,   9,eor
     2667,20130126,   3,   7.4,   83.54,   4.3,   -2.4, 1000.39,   4.8,   -4.4,   -3.7,   -0.2,  10.3,   8,   0.1,    0.400,   8,eor
     2667,20130127,   3,   7.4,   86.92,   6.1,    1.9,  993.97,   3.7,   -2.1,   -0.8,    4.1,  10.6,   8,   4.1,    0.000,   8,eor
     2667,20130128,   3,   5.5,   83.88,   6.5,    3.3, 1000.19,   3.5,   -2.5,    0.1,    6.4,  10.4,   6,   0.8,    0.850,   2,eor
     2667,20130129,   3,   7.9,   86.50,  10.0,    9.1,  997.52,   4.2,    5.0,    6.1,   12.0,  10.3,   6,  11.5,    0.000,   0,eor
     2667,20130130,   3,   5.5,   76.17,  10.4,   11.5,  996.85,   6.7,    6.5,    7.9,   14.9,  16.6,   6,   8.7,    0.550,   0,eor
     2667,20130131,   3,   6.8,   71.50,   7.6,    7.8, 1002.20,   6.2,    4.3,    6.3,    9.2,  19.9,   6,   1.8,    0.100,   0,eor
     2667,20130201,   3,   7.8,   85.67,   7.9,    6.0,  990.12,   3.8,    2.8,    3.2,    8.2,  13.3,   8,   9.8,    0.000,   0,eor
     2667,20130202,   3,   6.9,   86.21,   6.5,    3.0,  992.87,   4.4,   -0.2,    1.9,    4.3,  13.3,   8,   1.2,    0.933,   0,eor
     2667,20130203,   3,   7.5,   84.75,   6.7,    3.6, 1003.93,   5.0,    0.7,    1.7,    5.7,  13.7,   8,   3.1,    0.017,   0,eor
     2667,20130204,   3,   7.4,   84.33,   8.4,    6.9,  998.05,   4.7,    3.1,    4.7,    9.8,  13.7,   6,   0.8,    0.117,   0,eor
     2667,20130205,   3,   6.0,   80.58,   6.2,    3.1,  989.23,   4.6,   -2.8,   -1.7,    6.6,  20.3,   8,   7.3,    1.250,   0,eor
     2667,20130206,   3,   7.2,   91.83,   6.0,    1.0,  986.66,   3.4,   -2.9,   -0.5,    2.7,   9.6,   8,   0.5,    0.700,   4,eor
     2667,20130207,   3,   6.8,   88.96,   6.3,    2.0,  997.83,   3.5,   -0.4,    0.6,    5.2,   8.9,   8,   4.0,    1.817,   0,eor
     2667,20130208,   3,   7.0,   92.08,   5.7,    0.3, 1001.58,   3.0,   -4.4,   -2.1,    1.5,   8.2,   7,   0.8,    0.433,   4,eor
     2667,20130209,   3,   5.0,   92.79,   4.9,   -2.0, 1006.54,   1.7,  -10.3,   -5.8,    2.9,   5.8,   7,   0.1,    1.967,   3,eor
     2667,20130210,   3,   4.8,   75.13,   3.9,   -1.9,  999.35,   4.9,   -5.9,   -4.6,    1.7,  13.1,   0,   0.0,    7.700,   2,eor
     2667,20130211,   3,   7.3,   58.79,   3.4,   -0.8,  990.95,   5.4,   -4.5,   -3.1,    1.3,  11.8,   0,   0.0,    0.017,   0,eor
     2667,20130212,   3,   6.5,   66.21,   3.5,   -1.7, 1000.85,   2.2,   -8.7,   -6.6,    0.1,   6.5,   0,   0.0,    0.000,   0,eor
     2667,20130213,   3,   5.9,   64.54,   3.6,   -1.3, 1011.62,   1.6,   -8.5,   -5.1,    2.3,   4.6,   0,   0.0,    2.217,   0,eor
     2667,20130214,   3,   6.4,   73.25,   4.0,   -1.7, 1007.35,   4.2,   -8.3,   -5.2,    1.2,  10.1,   8,   1.1,    0.500,   0,eor
     2667,20130215,   3,   7.9,   93.83,   6.4,    1.3, 1006.25,   1.7,   -1.1,   -1.0,    3.9,   4.2,   6,   1.1,    0.000,   2,eor
     2667,20130216,   3,   7.9,   96.38,   7.6,    3.5, 1011.42,   1.2,   -0.1,    1.0,    5.7,   3.9,   6,   2.9,    0.000,   0,eor
     2667,20130217,   3,   6.4,   84.25,   6.6,    3.6, 1011.42,   2.0,   -3.7,   -1.8,    7.0,   5.3,   0,   0.0,    4.333,   0,eor
     2667,20130218,   3,   3.7,   76.58,   4.9,    1.1, 1009.16,   1.3,   -7.7,   -4.8,    7.0,   4.0,   0,   0.0,    8.850,   0,eor
     2667,20130219,   3,   7.9,   92.54,   6.1,    1.0, 1005.68,   1.9,   -4.2,   -2.2,    2.7,   6.0,   8,   0.7,    0.000,   0,eor
     2667,20130220,   3,   4.3,   70.67,   4.2,   -0.2, 1010.80,   3.2,   -6.3,   -2.9,    2.7,   8.3,   7,   0.0,    4.683,   0,eor
     2667,20130221,   3,   4.5,   67.38,   3.7,   -1.3, 1009.89,   3.8,   -7.8,   -3.9,    2.1,   9.7,   7,   0.0,    3.767,   0,eor
     2667,20130222,   3,   6.4,   64.38,   3.2,   -2.6, 1004.80,   4.0,   -7.5,   -4.3,   -0.1,   9.6,   7,   0.0,    2.617,   0,eor
     2667,20130223,   3,   7.4,   80.50,   3.9,   -3.0, 1002.14,   3.5,   -8.5,   -5.6,   -1.5,   8.7,   7,   1.1,    0.000,   0,eor
     2667,20130224,   3,   7.9,   92.92,   5.6,   -0.2, 1002.55,   2.6,   -3.5,   -2.7,    1.9,   4.9,   7,   0.9,    0.000,   4,eor
     2667,20130225,   3,   8.0,   94.96,   6.4,    1.3, 1007.99,   2.4,    0.0,    0.3,    2.6,   5.2,   8,   2.4,    0.000,   0,eor
     2667,20130226,   3,   7.3,   83.50,   6.6,    3.6, 1016.81,   2.9,   -0.5,    0.9,    7.5,   7.1,   0,   0.0,    0.883,   0,eor
     2667,20130227,   3,   8.0,   82.42,   5.9,    2.1, 1018.45,   2.2,    0.7,    0.9,    3.3,   6.0,   0,   0.0,    0.000,   0,eor
     2667,20130228,   3,   7.6,   76.42,   5.6,    2.8, 1015.04,   1.7,    0.1,    0.3,    6.5,   6.0,   0,   0.0,    0.017,   0,eor
     2667,20130301,   3,   8.0,   77.46,   5.7,    2.6, 1013.13,   2.5,    0.9,    1.2,    4.1,   6.7,   6,   0.0,    0.000,   0,eor
     2667,20130302,   3,   5.1,   68.75,   4.8,    2.1, 1012.79,   1.9,   -4.4,   -1.7,    6.4,   6.4,   0,   0.0,    5.367,   0,eor
     2667,20130303,   3,   6.6,   76.71,   5.4,    2.1, 1011.44,   1.2,   -4.4,   -0.8,    5.2,   4.8,   6,   0.0,    0.000,   0,eor
     2667,20130304,   3,   0.2,   61.54,   5.0,    4.7, 1006.55,   4.3,   -5.4,   -1.6,   11.8,  11.2,   0,   0.0,   10.050,   0,eor
     2667,20130305,   3,   1.8,   51.71,   5.2,    7.5,  998.48,   3.7,   -4.2,    1.5,   14.5,   9.1,   0,   0.0,    9.533,   0,eor
     2667,20130306,   3,   5.6,   42.46,   4.9,   10.4,  991.22,   2.5,   -1.8,    1.5,   19.8,   6.4,   0,   0.0,    8.717,   0,eor
     2667,20130307,   3,   7.5,   59.46,   7.5,   10.3,  987.57,   2.4,    2.5,    4.2,   16.2,   6.0,   6,   3.9,    0.533,   0,eor
     2667,20130308,   3,   7.3,   75.00,  10.3,   12.0,  987.00,   4.1,    7.4,    8.2,   17.7,   9.0,   6,   1.0,    2.483,   0,eor
     2667,20130309,   3,   7.8,   87.46,  10.6,    9.8,  987.54,   3.5,    7.4,    8.4,   11.8,  11.8,   8,   5.5,    0.000,   0,eor
     2667,20130310,   3,   8.0,   91.21,   6.9,    2.8,  988.62,   4.0,   -1.5,   -1.1,    8.5,   8.4,   8,   3.4,    0.000,   0,eor
     2667,20130311,   3,   8.0,   81.25,   4.3,   -1.9,  992.54,   3.6,   -3.1,   -2.9,   -0.6,   6.9,   7,   2.8,    0.000,   0,eor
     2667,20130312,   3,   7.5,   88.21,   4.1,   -3.6,  991.03,   3.5,  -12.7,   -7.1,   -2.1,   8.9,   7,   3.9,    0.000,   5,eor
     2667,20130313,   3,   3.3,   80.25,   3.5,   -4.6,  994.31,   1.9,  -19.0,  -12.5,    0.8,   6.8,   7,   0.5,    9.217,  12,eor
     2667,20130314,   3,   6.0,   79.04,   4.4,   -1.5,  999.50,   2.3,   -9.8,   -6.4,    2.0,  10.5,   7,   0.3,    1.867,   6,eor
     2667,20130315,   3,   5.0,   70.46,   3.6,   -1.9, 1003.40,   2.2,  -13.1,  -10.4,    3.9,   6.6,   7,   0.0,    5.717,   4,eor
     2667,20130316,   3,   6.9,   44.96,   3.6,    4.1,  998.23,   5.6,   -0.9,    0.6,    7.5,  12.2,   8,   0.0,    2.650,   0,eor
     2667,20130317,   3,   7.7,   78.29,   6.3,    3.8,  987.35,   5.8,    1.8,    2.0,    5.7,  12.4,   6,   1.7,    0.283,   0,eor
     2667,20130318,   3,   5.1,   63.08,   5.6,    5.7,  982.27,   2.6,   -3.9,   -1.2,   10.9,   9.7,   0,   0.0,    7.317,   0,eor
     2667,20130319,   3,   6.6,   86.21,   6.5,    2.9,  986.38,   2.1,   -5.2,   -2.5,    8.7,   6.8,   6,   4.6,    1.067,   0,eor
     2667,20130320,   3,   7.6,   94.46,   6.6,    1.9,  991.68,   3.3,   -1.1,    0.2,    3.8,   9.0,   8,  11.4,    0.000,   0,eor
     2667,20130321,   3,   6.1,   88.08,   5.4,    0.0, 1005.86,   2.0,   -7.1,   -4.9,    2.3,   5.4,   7,   0.2,    0.017,   0,eor
