Mess_Datum,Qualitaets_Niveau,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
19570901,5,7.7,92.0,14.9,14.4,1008.3,2.1,10.0,11.9,16.8,5.6,1,7.1,-999.0,0
19570902,5,5.7,83.0,12.9,13.2,1007.1,3.2,8.0,10.5,17.9,14.2,1,3.7,-999.0,0
19570903,5,6.0,80.0,11.1,12.3,1009.5,1.6,3.8,5.7,16.9,4.1,1,0.0,-999.0,0
19570904,5,7.0,79.0,11.1,12.6,1013.1,1.6,3.6,6.0,19.7,4.0,1,0.0,-999.0,0
19570905,5,6.7,87.0,16.5,16.4,1007.6,2.8,9.1,11.0,20.3,8.9,1,8.7,-999.0,0
19570906,5,6.7,78.0,14.0,15.8,1007.6,1.7,11.4,13.0,20.7,5.3,0,0.0,-999.0,0
19570907,5,4.7,70.0,16.5,20.6,1003.9,3.4,10.0,12.0,27.2,9.1,1,0.0,-999.0,0
19570908,5,8.0,90.0,15.3,14.2,1008.7,2.4,14.0,12.3,20.2,9.3,1,10.0,-999.0,0
19570909,5,5.3,82.0,12.8,13.7,1014.3,1.9,11.1,11.6,18.0,5.8,0,0.0,-999.0,0
19570910,5,6.7,71.0,12.7,16.1,1008.7,2.8,7.0,9.3,20.8,8.6,1,1.9,-999.0,0
19570911,5,7.0,82.0,15.7,16.6,991.0,5.3,12.8,13.8,21.5,17.7,1,6.2,-999.0,0
19570912,5,6.3,69.0,10.1,12.4,993.1,7.7,9.4,10.4,16.5,25.2,1,3.9,-999.0,0
19570913,5,7.3,85.0,10.1,9.6,993.1,4.0,5.8,7.4,13.0,17.8,1,5.6,-999.0,0
19570914,5,7.7,84.0,10.7,10.3,996.3,3.7,5.8,7.9,13.2,11.0,1,7.9,-999.0,0
19570915,5,7.0,76.0,10.0,10.8,1004.6,4.4,7.6,8.8,13.4,14.2,1,0.1,-999.0,0
19570916,5,5.7,76.0,9.6,10.0,1008.6,3.9,6.5,8.3,14.6,18.0,1,7.5,-999.0,0
19570917,5,8.0,97.0,13.9,12.6,1009.1,2.8,6.2,7.6,13.9,8.9,1,24.9,-999.0,0
19570918,5,7.7,89.0,13.7,13.4,1007.8,2.1,11.8,12.2,14.6,7.0,1,0.6,-999.0,0
19570919,5,6.3,84.0,13.7,14.4,1002.7,2.1,10.6,12.0,19.4,9.2,0,0.0,-999.0,0
19570920,5,3.7,85.0,14.7,15.4,1001.8,1.8,10.5,10.5,20.6,4.9,0,0.0,-999.0,0
19570921,5,6.7,92.0,17.6,16.7,1000.7,2.8,10.7,11.4,22.8,12.1,1,32.3,-999.0,0
19570922,5,7.0,85.0,17.5,17.8,999.9,2.5,13.5,14.0,22.9,8.5,1,21.2,-999.0,0
19570923,5,6.3,84.0,15.7,16.4,995.5,4.0,15.2,15.2,19.6,17.8,1,11.8,-999.0,0
19570924,5,7.3,93.0,12.1,10.0,1003.1,2.2,12.2,7.8,15.4,9.9,1,4.9,-999.0,0
19570925,5,7.3,85.0,10.9,10.7,1007.8,4.0,5.2,5.4,13.2,8.7,1,10.3,-999.0,0
19570926,5,3.3,77.0,9.6,9.4,1007.1,3.7,5.2,5.9,15.5,11.2,1,0.2,-999.0,0
19570927,5,6.0,78.0,10.0,11.1,1013.1,3.6,1.4,1.8,15.6,13.6,1,0.2,-999.0,0
19570928,5,7.3,78.0,11.9,13.3,1008.3,5.4,10.4,10.4,15.4,13.2,1,3.5,-999.0,0
19570929,5,5.7,90.0,11.1,9.2,998.8,3.7,11.4,7.0,13.2,14.9,1,13.0,-999.0,0
19570930,5,4.7,84.0,8.7,7.7,1004.7,2.1,0.4,0.4,12.7,12.1,1,0.5,-999.0,0
19571001,5,3.3,81.0,7.6,5.6,1012.6,1.8,1.3,1.9,13.4,8.0,0,0.0,4.9,0
19571002,5,4.7,87.0,8.4,5.7,1014.8,1.5,0.1,1.4,12.3,4.2,0,0.0,3.0,0
19571003,5,6.3,89.0,9.6,8.3,1011.1,2.7,0.1,0.9,11.5,10.9,1,0.3,0.0,0
19571004,5,4.7,78.0,7.6,5.8,1017.4,2.1,1.7,2.3,11.7,8.6,0,0.0,5.6,0
19571005,5,6.3,79.0,8.8,9.3,1015.8,2.4,-1.8,-0.8,14.0,6.6,1,1.1,1.4,0
19571006,5,5.3,95.0,12.8,10.8,1017.2,1.2,10.2,9.2,14.0,4.1,1,0.1,0.0,0
19571007,5,2.0,86.0,11.5,10.6,1015.8,2.8,6.6,7.5,17.3,7.9,0,0.0,7.6,0
19571008,5,0.0,81.0,10.3,10.5,1013.5,1.6,1.8,2.4,20.5,3.9,0,0.0,9.2,0
19571009,5,0.0,81.0,10.5,11.0,1010.4,2.1,3.0,4.3,19.7,4.4,1,0.1,9.2,0
19571010,5,5.7,88.0,11.7,11.1,1011.1,1.3,7.0,9.4,15.5,5.3,1,0.0,4.4,0
19571011,5,6.0,85.0,12.8,13.2,1010.2,2.6,5.5,7.0,18.7,8.5,1,5.6,1.9,0
19571012,5,7.3,89.0,12.0,10.6,1017.5,1.8,10.4,6.4,15.1,7.2,0,0.0,0.0,0
19571013,5,5.3,94.0,11.3,9.7,1016.0,1.9,5.1,5.4,15.2,4.7,1,0.3,2.9,0
19571014,5,5.0,86.0,10.8,10.2,1017.4,1.3,7.8,7.6,14.9,4.2,0,0.0,4.6,0
19571015,5,4.3,82.0,10.9,10.8,1015.9,4.2,1.8,4.2,15.3,9.9,0,0.0,3.5,0
19571016,5,2.0,81.0,12.7,13.9,1008.7,5.1,5.2,6.9,18.6,22.3,1,7.9,7.9,0
19571017,5,7.7,78.0,12.3,13.9,1010.3,2.5,10.0,10.9,16.5,11.0,1,0.6,2.1,0
19571018,5,6.0,71.0,14.1,17.4,1000.6,5.0,12.7,12.5,20.1,15.0,1,2.1,4.7,0
19571019,5,8.0,91.0,11.9,10.5,1000.6,2.2,10.7,9.4,17.4,12.0,1,7.0,0.0,0
19571020,5,3.0,78.0,8.5,7.7,1007.9,1.5,5.0,4.4,13.4,3.2,0,0.0,7.5,0
19571021,5,7.0,79.0,9.5,10.0,1001.4,4.2,1.3,2.8,11.8,9.3,1,8.6,0.1,0
19571022,5,6.0,86.0,9.3,7.7,995.0,3.4,8.3,5.9,10.9,13.1,1,5.5,1.3,0
19571023,5,6.7,79.0,8.3,8.4,1005.8,2.7,1.6,3.0,12.2,11.2,1,0.0,2.9,0
19571024,5,8.0,87.0,11.6,11.3,1012.2,3.0,8.0,8.9,12.6,8.1,1,0.2,0.0,0
19571025,5,5.3,84.0,11.7,11.6,1013.2,2.8,9.6,8.6,16.0,7.6,0,0.0,4.0,0
19571026,5,3.0,81.0,8.9,8.4,1011.9,2.2,2.5,3.8,15.6,4.0,0,0.0,4.3,0
19571027,5,7.3,81.0,10.5,11.2,1009.5,2.2,3.9,5.6,14.9,6.6,0,0.0,3.8,0
19571028,5,7.0,76.0,9.9,10.7,1009.4,3.1,6.5,7.9,13.7,9.9,0,0.0,0.0,0
19571029,5,7.3,76.0,10.9,12.6,1007.4,4.0,9.5,10.1,14.4,9.4,1,0.0,0.0,0
19571030,5,7.0,72.0,10.5,12.7,1005.9,4.0,9.4,10.3,16.1,9.5,0,0.0,2.9,0
19571031,5,7.7,78.0,11.2,12.4,1004.3,3.4,6.9,8.8,13.7,12.0,1,2.1,0.0,0
19571101,5,5.7,72.0,8.8,9.6,998.0,4.4,8.9,7.7,13.4,13.8,1,0.3,4.1,0
19571102,5,4.7,72.0,7.6,7.9,1000.6,4.6,2.4,4.8,11.9,11.8,0,0.0,6.4,0
19571103,5,5.7,64.0,8.1,10.9,995.9,6.5,0.2,3.6,15.0,17.4,1,0.0,5.0,0
19571104,5,7.0,61.0,9.6,14.0,992.3,6.5,9.1,11.4,15.3,17.8,1,0.0,0.0,0
19571105,5,7.7,63.0,8.9,11.7,989.5,6.3,11.4,10.5,15.0,16.1,1,0.1,0.0,0
19571106,5,7.3,83.0,9.7,9.0,995.9,2.7,5.5,7.5,11.5,9.5,1,9.9,0.4,0
19571107,5,8.0,91.0,9.1,6.5,998.8,2.9,5.8,5.2,8.4,9.9,1,1.4,0.0,0
19571108,5,8.0,92.0,9.1,6.6,999.4,3.7,3.2,3.6,7.2,10.8,1,12.6,0.0,0
19571109,5,8.0,95.0,8.4,5.3,999.5,3.4,4.0,3.9,7.0,10.8,1,10.2,0.0,0
19571110,5,8.0,87.0,8.9,7.4,997.1,2.8,5.1,5.6,8.0,7.6,1,0.0,0.0,0
19571111,5,8.0,79.0,10.0,10.4,1005.1,2.6,7.2,7.3,12.4,5.5,0,0.0,0.0,0
19571112,5,5.3,75.0,8.4,7.9,1016.2,3.6,8.4,4.8,11.0,10.9,0,0.0,0.0,0
19571113,5,7.7,74.0,7.1,5.8,1017.5,3.7,1.7,3.4,7.5,10.4,0,0.0,0.3,0
19571114,5,8.0,68.0,5.5,3.8,1016.0,5.6,1.9,2.2,5.0,12.8,0,0.0,0.0,0
19571115,5,3.0,78.0,7.3,6.1,1016.6,5.7,2.0,3.0,9.8,12.0,0,0.0,4.3,0
19571116,5,7.3,81.0,8.8,8.2,1018.0,4.5,4.7,5.2,10.6,9.3,1,1.9,2.7,0
19571117,5,3.0,86.0,7.9,4.5,1018.6,1.5,5.9,1.4,9.9,6.0,0,0.0,4.0,0
19571118,5,6.0,94.0,7.5,4.0,1018.6,1.5,-2.5,-1.8,7.2,7.9,0,0.0,1.4,0
19571119,5,7.7,75.0,5.9,3.6,1019.1,4.3,-2.3,3.1,4.6,10.1,0,0.0,0.0,0
19571120,5,7.7,70.0,5.2,2.5,1023.1,3.2,2.0,0.9,3.5,8.6,0,0.0,0.0,0
19571121,5,7.7,69.0,4.8,1.7,1021.4,1.4,0.0,-1.0,3.3,5.8,0,0.0,0.4,0
19571122,5,8.0,87.0,5.5,0.3,1011.1,3.0,-0.4,-0.4,1.0,10.0,8,5.0,0.0,0
19571123,5,7.0,90.0,7.2,3.2,1018.4,1.8,0.2,0.3,7.4,9.0,1,0.1,0.0,0
19571124,5,7.7,91.0,7.7,4.6,1023.0,0.6,-0.7,0.5,6.1,2.0,1,0.0,0.1,0
19571125,5,8.0,88.0,7.2,4.0,1021.4,0.7,-1.8,-0.8,6.2,4.1,1,0.1,0.0,0
19571126,5,8.0,84.0,7.9,6.2,1020.7,1.8,3.7,4.1,7.3,6.9,0,0.0,0.0,0
19571127,5,8.0,85.0,8.8,7.6,1020.0,1.8,5.0,5.4,8.2,7.1,1,0.0,0.0,0
