count,description,fraction,in_wiki,value
1247849,A place for parking cars,0.1994,True,parking
560250,Institution designed for learning under the supervision of teachers.,0.0895,True,school
555553,All places of worship independently of the religion or denomination get the tag amenity=place_of_worship .,0.0888,True,place_of_worship
353020,Is for a generally formal place with sit-down facilities selling full meals served by waiters and often licensed (where allowed) to sell alcoholic drinks.,0.0564,True,restaurant
340140,A place for people to sit; allows room for several people.,0.0543,True,bench
204308,Used to mark filling stations,0.0326,True,fuel
153722,"To mark places where people, or sometimes animals are buried which is close to a amenity=place_of_worship .",0.0246,True,grave_yard
149810,Used to mark the location of a postbox.,0.0239,True,post_box
138964,Shows the location of a bank branch.,0.0222,True,bank
132933,Is for a place concentrating on very fast counter-only service and take-away food.,0.0212,True,fast_food
128717,,0.0206,True,cafe
115137,A place for looking after preschool children and (typically) giving early education.,0.0184,True,kindergarten
113400,Container or centre where you can take waste for recycling.,0.0181,True,recycling
110105,Used to mark a public building.,0.0176,True,public_building
109460,Used to mark a hospital. Image shows mapnik rendering,0.0175,True,hospital
104420,A shop where a pharmacist sells medications,0.0167,True,pharmacy
101545,A place where letters and parcels may be sent or collected.,0.0162,True,post_office
97067,A pub,0.0155,True,pub
85425,A place for parking bicycles.,0.0136,True,bicycle_parking
78107,Publicly accessible toilets,0.0125,True,toilets
77920,A Public telephone,0.0124,True,telephone
69076,A single small container for depositing garbage that is easily accesible for pedestrians.,0.011,True,waste_basket
65077,A device that provides the clients of a financial institution with access to financial transactions.,0.0104,True,atm
64282,For showing the location of a tap or other source of potable drinking water,0.0103,True,drinking_water
63492,Used to mark a fire station.,0.0101,True,fire_station
63407,Used to mark a police station.,0.0101,True,police
63295,Small place to protect against bad weather conditions,0.0101,True,shelter
54424,A location for 'party' drinking,0.0087,True,bar
52902,"A building where the administration of a village, town or city may be located, or it may just serve as a community meeting place.",0.0085,True,townhall
51916,A place built for swimming,0.0083,True,swimming_pool
47354,A single parking space on a parking lot,0.0076,True,parking_space
44374,Used to mark a library.,0.0071,True,library
42654,Hunting stands are open or enclosed platforms used by hunters to place themselves at an elevated height above the terrain.,0.0068,True,hunting_stand
41538,A fountain for cultural / decorational / recreational purposes.,0.0066,True,fountain
39389,"A machine to vend goods, tickets and so on",0.0063,True,vending_machine
37383,"An educational institution designed for instruction, examination, or both, of students in many branches of advanced learning.",0.006,True,university
32925,A Doctor's Office is a place you can go to get medical attention or a check up.,0.0053,True,doctors
29658,A facility that provides social services,0.0047,True,social_facility
25050,"A ""bus stop"" would be a place on a particular bus route where the bus regularly stops to pick up / drop off passengers.",0.004,True,bus_station
24499,A College campus or buildings,0.0039,True,college
24394,A place where you can wash your car.,0.0039,True,car_wash
19799,A place where trade is regulated.,0.0032,True,marketplace
18634,A dentist practice / surgery.,0.003,True,dentist
16990,Place where live theatrical performances are held.,0.0027,True,theatre
16671,A place mostly used for local events and festivities.,0.0027,True,community_centre
16500,"A place where taxis wait for passengers. Often found at airports, hotels, railway/bus/subway stations, large shopping centers...",0.0026,True,taxi
16081,"A place where canal boaters, caravaners etc. can dispose of rubbish (trash/waste).",0.0026,True,waste_disposal
14794,Used to mark a cinema.,0.0024,True,cinema
13917,"A fire hydrant is an active fire protection measure, and a source of water provided in most urban, suburban and rural areas with municipal water service to enable firefighters to tap into the municipal water supply to assist in extinguishing a fire.",0.0022,True,fire_hydrant
11192,A place where you can pick up and drop off rented bikes.,0.0018,True,bicycle_rental
10854,A place where a veterinary surgeon / veterinarian (vet) practices.,0.0017,True,veterinary
