OBJECTID,NR_STIMMBEZIRK800,WLK_NAME,WLK_ADRESSE,ROLLSTUHLGERECHT,WLK_BEMERKUNG,ABSTIMMBEZIRK,WLK_STADTTEIL,POSTZUSTELLBEZIRK,AD_NUMMER,KOORX,KOORY,STIMMBEZIRK_STADTTEIL,KOMMUNALWAHLBEZIRK,LANDTAGSWAHLKREIS,BUNDESTAGSWAHLKREIS
1,10408,GGS Antwerpener Str.,Antwerpener Str. 19,0,,10408,Neustadt/Nord,50672,00288001900,772125.1101,6610677.243,Neustadt/Nord,04,18,93
2,30229,Theodor-Heuss-Realschule,Euskirchener Str. 50,0,,30229,Sülz,50935,00913005000,769856.0579,6606765.2904,Sülz,17,14,94
3,10234,Berufskolleg 3,Richard-Wagner-Str. 47,1,,10234,Neustadt/Süd,50674,02649004700,771863.3748,6609812.5853,Neustadt/Süd,03,13,94
4,20601,Anne-Frank-Schule,Adlerstr. 13,1,,20601,Rondorf,50997,04007001300,775241.78,6599530.5914,Rondorf,15,13,94
5,20201,Martin-Luther-Haus,Mehlemer Str. 27,0,,20201,Marienburg,50968,02190002700,776019.512,6604056.5624,Marienburg,12,13,94
6,10314,Industrie- u. Handelskammer,Unter Sachsenhausen 10-26,1,,10314,Altstadt/Nord,50667,03153001000,773825.564,6611156.3574,Altstadt/Nord,04,18,93
7,80305,GHS Nürnberger Straße,Nürnberger Str. 10,1,,80305,Höhenberg,51103,02383001000,781901.5325,6610513.7481,Vingst,43,18,93
8,80708,KGS Olpener Str.,Olpener Str. 930,1,,80708,Brück,51109,02414093000,787954.0165,6611566.1002,Brück,41,17,93
9,90519,Realschule Dellbrücker Mauspfad,Dellbrücker Mauspfad 200,1,,90519,Dellbrück,51069,00699020000,786771.763,6616046.8546,Dellbrück,39,19,101
10,50303,GGS Garthestr.,Garthestr. 20,0,,50303,Riehl,50735,01071002000,776493.7252,6615177.0764,Riehl,33,16,95
11,30228,Theodor-Heuss-Realschule,Euskirchener Str. 50,0,,30228,Sülz,50935,00913005000,769856.0579,6606765.2904,Sülz,17,14,94
12,90305,GGS Alte Wipperfürther Straße,Alte Wipperfürther Str. 49,1,,90305,Buchheim,51065,00081004900,781051.0303,6613510.0296,Buchheim,35,19,101
13,20514,Alfred-Müller-Armack-Berufskolleg,Brüggener Str. 1,1,,20514,Zollstock,50969,00562000100,772359.1235,6604527.5842,Zollstock,13,13,94
14,50706,Joseph-DuMont-Berufskolleg,Escher Str. 217,1,,50706,Bilderstöckchen,50739,00898021700,771566.0543,6615212.7345,Bilderstöckchen,31,15,95
15,80703,GGS Diesterwegstr.,Diesterwegstr. 69,1,,80703,Brück,51109,00731006900,787705.1875,6612022.0665,Brück,41,17,93
16,71405,GGS Schmittgasse,Schmittgasse 66,0,,71405,Zündorf,51143,05452006600,784380.9141,6597583.2273,Zündorf,11,17,93
17,90107,Realschule Lassallestr.,Lassallestr. 59,1,,90107,Mülheim,51065,01957005900,780092.2711,6613961.1581,Mülheim,36,19,101
18,90501,Grundschule Urnenstr.,Urnenstr. 7,0,,90501,Dellbrück,51069,03162000700,786523.4159,6617446.2977,Dellbrück,39,19,101
19,40115,KGS Everhardstr.,Everhardstr. 60,1,,40115,Ehrenfeld,50823,00915006000,771327.4324,6612301.4216,Ehrenfeld,22,15,95
20,40117,Geschwister-Scholl-Schule,Gravenreuthstr. 10,0,,40117,Ehrenfeld,50823,01194001000,770485.2211,6612934.12,Ehrenfeld,22,15,95
21,80104,GGS Westerwaldstr.,Westerwaldstr. 90,1,,80104,Humboldt/Gremberg,51105,03302009000,778810.7264,6608714.4962,Humboldt/Gremberg,43,18,93
22,80107,GGS Lohmarer Str.,Lohmarer Str. 11,1,,80107,Humboldt/Gremberg,51105,02045001100,779870.2714,6608698.8721,Humboldt/Gremberg,43,18,93
23,90106,Johann-Bendel-Realschule,Danzierstr. 146a,1,,90106,Mülheim,51063,00678014601,779356.1558,6614046.0736,Mülheim,36,19,101
24,10416,Bürgerzentrum Alte Feuerwache e.V.,Melchiorstr. 3,1,,10416,Neustadt/Nord,50670,02202000300,774200.6377,6612870.3497,Neustadt/Nord,05,18,93
25,90603,Rosenmaarschule,Am Rosenmaar 3,1,,90603,Höhenhaus,51061,00183000300,783466.7197,6620062.2585,Höhenhaus,38,19,101
26,10108,GGS Zwirnerstr.,Zwirnerstr. 15,1,,10108,Altstadt/Süd,50678,03437001500,775010.345,6608049.0103,Altstadt/Süd,01,13,94
27,10403,GGS Antwerpener Str.,Antwerpener Str. 19,0,,10403,Neustadt/Nord,50672,00288001900,772125.1101,6610677.243,Neustadt/Nord,04,18,93
28,50609,Gesamtschule Paul-Humburg-Straße,Paul-Humburg-Str. 13,1,,50609,Longerich,50737,02479001300,770456.5953,6620090.3684,Longerich,30,16,95
29,71103,GGS Adolph-Kolping-Straße,Adolph-Kolping-Str. 41,1,,71103,Wahn,51147,04009004100,789269.3207,6596450.1494,Wahn,10,17,93
30,20803,Caritas-Altenzentrum St. Maternus,Brückenstr. 21,1,,20803,Rodenkirchen,50996,04351002100,778138.9126,6602588.7217,Rodenkirchen,12,13,94
31,20107,Maria-Sybilla-Merian-Schule,Cäsarstr. 50,1,,20107,Bayenthal,50968,00613005000,775545.8174,6605044.2776,Bayenthal,12,13,94
32,50409,GGS Nesselrodestr.,Nesselrodestr. 15,1,,50409,Niehl,50735,02318001500,775223.8518,6617303.6446,Niehl,34,16,95
33,90103,Johann-Bendel-Realschule,Danzierstr. 146a,1,,90103,Mülheim,51063,00678014601,779356.1558,6614046.0736,Mülheim,36,19,101
34,80102,GHS Hachenburger Straße,Hachenburger Str. 11,1,,80102,Humboldt/Gremberg,51105,01258001100,778633.2439,6609322.3172,Humboldt/Gremberg,42,18,93
35,20516,Ev. Kirchengemeinde,Bornheimer Str. 1a,1,,20516,Zollstock,50969,00512000101,772870.6668,6604977.3269,Zollstock,13,13,94
36,40201,Seniorenzentrum,Peter-Bauer-Str. 2,1,,40201,Neuehrenfeld,50823,02498000200,771419.5751,6612531.411,Neuehrenfeld,22,15,95
37,30109,GGS Stenzelbergstr.,Stenzelbergstr. 3,1,,30109,Klettenberg,50939,02984000300,771487.9362,6605504.9089,Klettenberg,16,14,94
38,20810,Gymnasium Rodenkirchen,Sürther Str. 55,1,,20810,Rodenkirchen,50996,05561005500,779060.1929,6601464.8875,Rodenkirchen,14,13,94
39,10222,GGS Pfälzer Str.,Pfälzer Str. 30,1,,10222,Neustadt/Süd,50677,02514003000,772844.732,6608243.8278,Neustadt/Süd,02,13,94
40,70101,Janusz-Korczak-Schule,Am Altenberger Kreuz 14,0,,70101,Poll,51105,00089001400,778056.82,6606958.395,Poll,07,17,93
41,50204,GGS Nibelungenstr.,Nibelungenstr. 50a,0,,50204,Mauenheim,50739,02345005001,772918.2608,6616790.6769,Mauenheim,31,16,95
42,80704,Matthias-Claudius-Heim,Olpener Str. 830,1,,80704,Brück,51109,02414083000,787089.6415,6611716.4197,Brück,41,17,93
43,90707,GGS Leuchterstr.,Leuchterstr. 25,1,,90707,Dünnwald,51069,01998002500,783498.0211,6620753.0406,Dünnwald,38,19,101
44,50504,Florianschule,Neusser Str. 605,0,,50504,Weidenpesch,50737,02341060500,773326.0988,6618225.7559,Weidenpesch,34,16,95
45,80604,KGS Fußfallstr.,Fußfallstr. 55,1,,80604,Merheim,51109,01064005500,784350.0793,6612257.0192,Merheim,44,17,93
46,50411,GGS Nesselrodestr.,Nesselrodestr. 15,1,,50411,Niehl,50735,02318001500,775223.8518,6617303.6446,Niehl,34,16,95
47,30208,KGS Berrenrather Str.,Berrenrather Str. 179,0,,30208,Sülz,50937,00444017900,771217.9933,6607107.4846,Sülz,16,14,94
48,20905,Albert-Schweitzer-Schule,Zum Hedelsberg 13,1,,20905,Weiß,50999,05743001300,782189.5434,6599081.0057,Weiß,14,13,94
49,30405,Clarenbach-Stift,Peter-von-Fliesteden-Str. 1,1,,30405,Braunsfeld,50933,02511000100,767501.9767,6610327.6851,Braunsfeld,19,14,94
50,40602,KOGS Wilhelm-Schreiber-Str.,Wilhelm-Schreiber-Str. 56,1,,40602,Ossendorf,50827,03347005600,768197.3379,6616214.4815,Ossendorf,24,15,95
51,40110,Berufskolleg Ehrenfeld,Weinsbergstr. 72,1,,40110,Ehrenfeld,50823,03282007200,770690.4794,6610866.6621,Ehrenfeld,22,15,95
52,40216,Eichendorff-Realschule,Dechenstr. 1,1,,40216,Neuehrenfeld,50825,00686000100,769889.9454,6614020.0353,Neuehrenfeld,23,15,95
53,10309,Fachhochschule Thürmchenswall,Thürmchenswall 48,1,,10309,Altstadt/Nord,50668,03075004800,774853.7947,6612260.7645,Altstadt/Nord,04,18,93
54,30101,KGS Lohrbergstr.,Lohrbergstr. 46,1,,30101,Klettenberg,50939,02049004600,770676.905,6605455.3522,Klettenberg,16,14,94
