PERIMETER,TYP,HECTARES,ZWECK,RECNUM,LABEL1,Langname,subtype,TYPspezial,SHAPE_Leng,SHAPE_Area
0.0,GBFL,0.50629940428,,0.0,,Gemeinbedarfsfläche,11,,291.472295598,5062.9940428
0.0,GBFL,0.55799965991,,0.0,,Gemeinbedarfsfläche,11,,329.857739664,5579.99659911
0.0,GBFL,0.70372196485,,0.0,,Gemeinbedarfsfläche,11,,362.06524464,7037.21964853
0.0,GBFL,0.72229995044,,0.0,,Gemeinbedarfsfläche,11,,352.344576336,7222.99950437
0.0,GBFL,0.78355338642,,0.0,,Gemeinbedarfsfläche,11,,374.616500325,7835.53386421
0.0,GBFL,0.81327070343,,0.0,,Gemeinbedarfsfläche,11,,399.438054011,8132.70703429
0.0,GBFL,0.84046074262,,0.0,,Gemeinbedarfsfläche,11,,372.211862732,8404.60742619
0.0,GBFL,0.85502943015,,0.0,,Gemeinbedarfsfläche,11,,419.741592354,8550.29430146
0.0,GBFL,0.93579266101,,13.0,,Gemeinbedarfsfläche,11,,423.636635683,9357.92661005
0.0,GBFL,1.10849663435,,0.0,,Gemeinbedarfsfläche,11,,474.487380097,11084.9663435
0.0,GBFL,1.32610069694,,0.0,,Gemeinbedarfsfläche,11,,460.172131395,13261.0069694
0.0,GBFL,1.40952598135,,0.0,,Gemeinbedarfsfläche,11,,566.999946529,14095.2598135
0.0,GBFL,1.88492930164,,0.0,,Gemeinbedarfsfläche,11,,599.325394366,18627.7874913
0.0,GBFL,2.35798399633,,0.0,,Gemeinbedarfsfläche,11,,618.305061397,23579.8399633
0.0,GBFL,3.49642495319,,0.0,,Gemeinbedarfsfläche,11,,758.467007842,34964.2495319
0.0,GBFL,5.40830327395,,0.0,,Gemeinbedarfsfläche,11,,1117.91166583,54083.0327395
0.0,GBFL,20.7505393554,,0.0,,Gemeinbedarfsfläche,11,,2360.30916508,207505.393554
0.0,GE,1.14397711921,,13.0,GE,Gewerbefläche,3,,431.149876924,11439.7711921
0.0,GE,4.02507561158,,0.0,GE,Gewerbefläche,3,,1072.49666221,40250.7561158
0.0,GE,4.31816704831,,0.0,GE,Gewerbefläche,3,,915.597579203,43181.6704831
0.0,GE,23.3255969105,,0.0,GE,Gewerbefläche,3,,4228.48366209,233255.969105
0.0,GI,16.7771816358,,0.0,GI,Industriefläche,4,,3420.09714806,167771.816358
0.0,Grün,0.35906573524,,0.0,,Grünfläche mit tw. landwirtschftl. Nutzung,5,,281.668294238,3590.65735242
0.0,Grün,0.36682470025,,0.0,,Grünfläche mit tw. landwirtschftl. Nutzung,5,,249.312733453,3668.24700246
0.0,Grün,0.42201928666,,0.0,,Grünfläche mit tw. landwirtschftl. Nutzung,5,,266.334787384,4220.19286657
0.0,Grün,0.46216705306,,0.0,,Grünfläche mit tw. landwirtschftl. Nutzung,5,,652.111308444,4621.67053058
0.0,Grün,0.52299709459,,0.0,,Grünfläche mit tw. landwirtschftl. Nutzung,5,,313.619741101,5229.9709459
0.0,Grün,0.52748450248,,0.0,,Grünfläche mit tw. landwirtschftl. Nutzung,5,,403.269363839,5274.84502481
0.0,Grün,0.53496487379,,0.0,,Grünfläche mit tw. landwirtschftl. Nutzung,5,,294.215012537,5349.64873787
0.0,Grün,0.54168784009,,0.0,,Grünfläche mit tw. landwirtschftl. Nutzung,5,,298.752528306,5416.87840086
0.0,Grün,0.55013107595,,0.0,,Grünfläche mit tw. landwirtschftl. Nutzung,5,,741.136787978,5501.31075948
0.0,Grün,0.86045218542,,0.0,,Grünfläche mit tw. landwirtschftl. Nutzung,5,,611.304675236,8604.52185416
0.0,Grün,0.8765263524,,0.0,,Grünfläche mit tw. landwirtschftl. Nutzung,5,,491.158346487,8765.26352399
