,Bodenfläche insgesamt,Gebäude- und Freifläche,Gebäude- und Freifläche,Gebäude- und Freifläche,Betriebsfläche (BF),Betriebsfläche (BF),Erholungsfläche,Erholungsfläche,Verkehrsfläche,Verkehrsfläche,Verkehrsfläche,Verkehrsfläche,Landwirtschaftsfläche,Landwirtschaftsfläche,Landwirtschaftsfläche,Waldfläche,Wasserfläche,Flächen anderer Nutzung,Flächen anderer Nutzung,Flächen anderer Nutzung,Siedlungs- und Verkehrsfläche
,Insgesamt,Insgesamt,Gebäude- und Freifläche Wohnen,Gebäude- und Freifläche Gewerbe und Industrie,Insgesamt,Betriebsfläche Abbauland,Insgesamt,Grünanlage,Insgesamt,Straße,Weg,Platz,Insgesamt,Moor,Heide,Insgesamt,Insgesamt,Insgesamt,Friedhof,Unland,Insgesamt
31.12.1994,4051344,1299611,544790,271899,66173,39952,400205,339408,626140,378687,54997,30654,874152,,16430,543924,198054,43085,1986,12492,2354163
31.12.1995,4051354,1299140,538707,255182,66564,39797,401150,340415,628265,380919,55420,30757,868272,,16430,547767,197035,43161,1840,12451,2357162
31.12.1996,4051439,1306596,540882,241172,67461,39794,355470,295138,628507,382035,55446,31155,861598,,15519,547296,197779,86732,46989,11984,2365229
31.12.1997,4051505,1308514,543592,242364,68300,39890,360377,297544,629446,383796,55438,30788,849002,,15519,549542,198077,88247,47836,12250,2374583
31.12.1998,4051463,1303471,546366,245850,68369,37259,367726,304744,631637,385102,54821,30569,840295,,15620,553786,201029,85150,49370,10922,2383314
31.12.1999,4051529,1306940,549968,246799,69395,38446,369580,305619,631170,386235,54338,29343,836240,,15614,553501,199951,84752,49818,10655,2388457
31.12.2000,4051508,1310091,552247,248884,72057,40763,374059,310182,632859,387706,54284,29608,823999,,15514,556105,200726,81612,46942,9894,2395245
31.12.2001,4051498,1313129,554741,249554,75245,41909,380610,316024,634048,388504,54341,29664,808860,,15514,558395,200691,80520,46964,8633,2408087
31.12.2002,4051504,1317235,559778,254678,74233,41910,393495,325752,636631,389389,54538,29477,791575,,14789,556858,200443,81034,47079,8846,2426763
31.12.2003,4051452,1320020,563443,255410,71767,41170,397183,330009,634894,389155,54019,28979,785741,,14789,558569,201770,81508,47271,9575,2429965
31.12.2004,4051506,1313717,569149,255850,72221,37226,415527,340703,637044,389228,53734,28794,766167,,14789,567617,204226,74987,47376,8802,2448659
31.12.2005,4051497,1318079,572159,251032,70462,35193,419101,344554,642119,389412,54123,29468,749410,,14789,576253,207327,68746,47398,8481,2461966
31.12.2006,4051594,1327326,576614,253806,66807,32802,415362,342946,636564,388807,55006,29320,741612,,14302,585834,209527,68562,47212,8431,2460469
31.12.2007,4051628,1330249,580704,253082,46772,14828,418788,345302,638481,384635,54424,29178,733050,,14526,606451,208357,69480,47350,8801,2466812
31.12.2008,4051598,1329355,585802,248189,48179,15426,418257,345507,641008,367712,54707,29393,727425,,14526,618239,203494,65641,47429,5526,2468802
31.12.2009,4051655,1319811,588266,248041,49229,15385,424579,351400,641317,360074,54786,29480,723722,,14526,624643,203990,64364,47649,3928,2467200
31.12.2010,4051667,1321672,591397,246676,44164,13012,423391,349751,646044,340079,54935,30901,713265,0,14386,635762,201328,66041,48926,3525,2471185
31.12.2011,4051727,1312247,593882,248908,43282,12716,418923,346961,646302,331837,55612,30248,709960,0,14809,653979,201359,65675,49245,2353,2457283
31.12.2012,4051641,1313410,597254,251719,39603,11350,428547,349350,644954,320723,56236,29016,693638,0,14660,665407,200876,65206,49239,1720,2464403
