id,tab_id,tabelle,jahr,raum_id,raum,zei_id,zeile,zahl
010.005.2005.000.010,005,Einwohner in Köln,2005,000,Stadt Köln,10,Einwohner,1023101.0
010.005.2005.001.010,005,Einwohner in Köln,2005,001,Innenstadt,10,Einwohner,129496.0
010.005.2005.002.010,005,Einwohner in Köln,2005,002,Rodenkirchen,10,Einwohner,100490.0
010.005.2005.003.010,005,Einwohner in Köln,2005,003,Lindenthal,10,Einwohner,139803.0
010.005.2005.004.010,005,Einwohner in Köln,2005,004,Ehrenfeld,10,Einwohner,102939.0
010.005.2005.005.010,005,Einwohner in Köln,2005,005,Nippes,10,Einwohner,109235.0
010.005.2005.006.010,005,Einwohner in Köln,2005,006,Chorweiler,10,Einwohner,82865.0
010.005.2005.007.010,005,Einwohner in Köln,2005,007,Porz,10,Einwohner,106647.0
010.005.2005.008.010,005,Einwohner in Köln,2005,008,Kalk,10,Einwohner,107194.0
010.005.2005.009.010,005,Einwohner in Köln,2005,009,Mülheim,10,Einwohner,144432.0
010.005.2005.101.010,005,Einwohner in Köln,2005,101,Altstadt/Süd,10,Einwohner,27732.0
010.005.2005.102.010,005,Einwohner in Köln,2005,102,Neustadt/Süd,10,Einwohner,37977.0
010.005.2005.103.010,005,Einwohner in Köln,2005,103,Altstadt/Nord,10,Einwohner,18514.0
010.005.2005.104.010,005,Einwohner in Köln,2005,104,Neustadt/Nord,10,Einwohner,29139.0
010.005.2005.105.010,005,Einwohner in Köln,2005,105,Deutz,10,Einwohner,16134.0
010.005.2005.201.010,005,Einwohner in Köln,2005,201,Bayenthal,10,Einwohner,8161.0
010.005.2005.202.010,005,Einwohner in Köln,2005,202,Marienburg,10,Einwohner,5751.0
010.005.2005.203.010,005,Einwohner in Köln,2005,203,Raderberg,10,Einwohner,5537.0
010.005.2005.204.010,005,Einwohner in Köln,2005,204,Raderthal,10,Einwohner,4460.0
010.005.2005.205.010,005,Einwohner in Köln,2005,205,Zollstock,10,Einwohner,20639.0
010.005.2005.206.010,005,Einwohner in Köln,2005,206,Rondorf,10,Einwohner,9658.0
010.005.2005.207.010,005,Einwohner in Köln,2005,207,Hahnwald,10,Einwohner,2114.0
010.005.2005.208.010,005,Einwohner in Köln,2005,208,Rodenkirchen,10,Einwohner,16194.0
010.005.2005.209.010,005,Einwohner in Köln,2005,209,Weiß,10,Einwohner,5810.0
010.005.2005.210.010,005,Einwohner in Köln,2005,210,Sürth,10,Einwohner,9752.0
010.005.2005.211.010,005,Einwohner in Köln,2005,211,Godorf,10,Einwohner,2431.0
010.005.2005.212.010,005,Einwohner in Köln,2005,212,Immendorf,10,Einwohner,2066.0
010.005.2005.213.010,005,Einwohner in Köln,2005,213,Meschenich,10,Einwohner,7917.0
010.005.2005.301.010,005,Einwohner in Köln,2005,301,Klettenberg,10,Einwohner,10328.0
010.005.2005.302.010,005,Einwohner in Köln,2005,302,Sülz,10,Einwohner,36401.0
010.005.2005.303.010,005,Einwohner in Köln,2005,303,Lindenthal,10,Einwohner,30231.0
010.005.2005.304.010,005,Einwohner in Köln,2005,304,Braunsfeld,10,Einwohner,10508.0
010.005.2005.305.010,005,Einwohner in Köln,2005,305,Müngersdorf,10,Einwohner,8551.0
010.005.2005.306.010,005,Einwohner in Köln,2005,306,Junkersdorf,10,Einwohner,12235.0
010.005.2005.307.010,005,Einwohner in Köln,2005,307,Weiden,10,Einwohner,16511.0
010.005.2005.308.010,005,Einwohner in Köln,2005,308,Lövenich,10,Einwohner,8158.0
010.005.2005.309.010,005,Einwohner in Köln,2005,309,Widdersdorf,10,Einwohner,6880.0
010.005.2005.401.010,005,Einwohner in Köln,2005,401,Ehrenfeld,10,Einwohner,35134.0
010.005.2005.402.010,005,Einwohner in Köln,2005,402,Neuehrenfeld,10,Einwohner,22860.0
010.005.2005.403.010,005,Einwohner in Köln,2005,403,Bickendorf,10,Einwohner,16239.0
010.005.2005.404.010,005,Einwohner in Köln,2005,404,Vogelsang,10,Einwohner,8053.0
010.005.2005.405.010,005,Einwohner in Köln,2005,405,Bocklemünd/Mengenich,10,Einwohner,10869.0
010.005.2005.406.010,005,Einwohner in Köln,2005,406,Ossendorf,10,Einwohner,9784.0
010.005.2005.501.010,005,Einwohner in Köln,2005,501,Nippes,10,Einwohner,32075.0
010.005.2005.502.010,005,Einwohner in Köln,2005,502,Mauenheim,10,Einwohner,5340.0
010.005.2005.503.010,005,Einwohner in Köln,2005,503,Riehl,10,Einwohner,11712.0
010.005.2005.504.010,005,Einwohner in Köln,2005,504,Niehl,10,Einwohner,18030.0
010.005.2005.505.010,005,Einwohner in Köln,2005,505,Weidenpesch,10,Einwohner,13522.0
010.005.2005.506.010,005,Einwohner in Köln,2005,506,Longerich,10,Einwohner,13815.0
010.005.2005.507.010,005,Einwohner in Köln,2005,507,Bilderstöckchen,10,Einwohner,14741.0
010.005.2005.601.010,005,Einwohner in Köln,2005,601,Merkenich,10,Einwohner,5638.0
010.005.2005.602.010,005,Einwohner in Köln,2005,602,Fühlingen,10,Einwohner,2077.0
010.005.2005.603.010,005,Einwohner in Köln,2005,603,Seeberg,10,Einwohner,11569.0
010.005.2005.604.010,005,Einwohner in Köln,2005,604,Heimersdorf,10,Einwohner,6123.0
