strassenschluessel,strassenname,stadtteilschluessel,stadtteilname,plz,hausnr_ungerade_von,hausnr_ungerade_bis,hausnr_gerade_von,hausnr_gerade_bis
00001,Aachener Glacis,104,Neustadt/Nord,50674,0001,0001a,,
00002,Aachener Str.,102,Neustadt/Süd,50674,0001,0071,0002,0134
00002,Aachener Str.,303,Lindenthal,50931,0075,0327,0186,0250
00002,Aachener Str.,303,Lindenthal,50933,0329,0413,,
00002,Aachener Str.,304,Braunsfeld,50933,0415,0689,0300,0698a
00002,Aachener Str.,305,Müngersdorf,50933,0701,0999,0704,0972
00002,Aachener Str.,306,Junkersdorf,50858,1001,1065,1002,1068a
00002,Aachener Str.,307,Weiden,50858,1087,1215,1100,1208
00002,Aachener Str.,307,Weiden,50859,1253,1413,1210,1420
00003,Aarestr.,908,Stammheim,51061,,,,
00004,Abendrothstr.,603,Seeberg,50769,0005,0013,0002,0024
00005,Abshofstr.,806,Merheim,51109,0001,0075,0004,0084
00006,Abt-Herwegen-Str.,303,Lindenthal,50935,0005,0017,0004,0012
00007,Achtergäßchen,101,Altstadt/Süd,50678,,,0002,0002
00008,Achterstr.,101,Altstadt/Süd,50678,0001,0083a,0002,0068
00009,Ackerstr.,903,Buchheim,51065,,,0006,0148
00010,Adalbertstr.,804,Höhenberg,51103,0001,0017,0002,0026
00011,Adamsstr.,901,Mülheim,51063,0001,0083,0012,0080
00012,Adam-Stegerwald-Str.,901,Mülheim,51063,0001,0031,0016,0036
00013,Adam-Wrede-Str.,501,Nippes,50733,,,0002,0012
00014,Adlerweg,404,Vogelsang,50829,0001,0019,0002,0030
00015,Adolf-Fischer-Str.,103,Altstadt/Nord,50670,0003,0003,0002,0016
00016,Adolf-Kober-Str.,908,Stammheim,51061,0001,0021,0002,0062
00017,Adolphstr.,105,Deutz,50679,0001,0035,0002,0046
00018,Aduchtstr.,104,Neustadt/Nord,50668,0001,0011,0002,0012
00019,Aegidienberger Str.,302,Sülz,50939,0001,0027,0002,0032
00020,Ägidiusstr.,302,Sülz,50937,0001,0073,0002,0074
00021,Äußere Kanalstr.,401,Ehrenfeld,50827,0001,0087,0002,0144
00021,Äußere Kanalstr.,402,Neuehrenfeld,50827,0191,0261,0276,0370
00021,Äußere Kanalstr.,507,Bilderstöckchen,50739,,,,
00022,Aggerstr.,801,Humboldt/Gremberg,51105,0005,0025,0002,0028
00023,Agilolfstr.,102,Neustadt/Süd,50678,0001,0005,0002,0006
00024,Agrippastr.,101,Altstadt/Süd,50676,0001,0093,0006,0098
00025,Agrippinaufer,102,Neustadt/Süd,50678,,,0002,0010
00026,Agrippinawerft,102,Neustadt/Süd,50678,,,0004,0030
00027,Ahornweg,403,Bickendorf,50827,0001,0029,0004,0010
00028,Ahrweg,906,Höhenhaus,51061,0001,0019,0002,0012
00029,Ahrweilerstr.,202,Marienburg,50968,0001,0003,0002,0012
00030,Akazienweg,403,Bickendorf,50827,0001,0161,0002,0082
00030,Akazienweg,404,Vogelsang,50829,0165,0201,,
00031,Akeleiweg,603,Seeberg,50769,0001,0003,0002,0002
00032,Alarichstr.,105,Deutz,50679,0001,0089,0004,0056
00033,Alban-Berg-Weg,405,Bocklemünd/Mengenich,50829,0001,0019,,
00034,Alberichhof,502,Mauenheim,50739,0001,0005,0002,0006
00035,Albermannstr.,802,Kalk,51103,0001,0051,0002,0060
00036,Albert-Schweitzer-Str.,204,Raderthal,50968,0001,0005,0002,0008
00037,Albertus-Magnus-Platz,303,Lindenthal,50931,,,0000,
00038,Albertusstr.,103,Altstadt/Nord,50667,0001,0055,0004,0052
00039,Albrecht-Dürer-Platz,104,Neustadt/Nord,50672,0015,0015,,
00040,Albusweg,907,Dünnwald,51069,0001,0023,,
00041,Alemannenstr.,105,Deutz,50679,0001,0023,0002,0026
00042,Alexander-Petöfi-Platz,506,Longerich,50739,,,0002,0016
00043,Alexander-von-Wacker-Platz,601,Merkenich,50769,0001,0005,0002,0014
00044,Alexianerstr.,101,Altstadt/Süd,50676,0001,0043,0002,0048
00045,Alfred-Döblin-Str.,405,Bocklemünd/Mengenich,50829,0001,0011,,
00046,Alfred-Schütte-Allee,105,Deutz,50679,0001,0001,0002,0024
00046,Alfred-Schütte-Allee,701,Poll,51105,0051,0165,0028,0180
00047,Alfred-Werner-Str.,909,Flittard,51061,0001,0023,0002,0004
00048,Alfterstr.,205,Zollstock,50969,0001,0023,0002,0022
00049,Allensteiner Str.,504,Niehl,50735,0005,0005,0008,0008
00050,Allerheiligenstr.,103,Altstadt/Nord,50668,0001,0027,0002,0018
00051,Allerseelenstr.,701,Poll,51105,0001,0023,0002,0042a
00052,Alpenerplatz,401,Ehrenfeld,50825,0001,0007,0002,0006
00053,Alpenerstr.,401,Ehrenfeld,50825,0001,0037,0002,0034
00054,Alpenroder Weg,605,Lindweiler,50767,0001,0027,0002,0036
00055,Alpenrosenweg,603,Seeberg,50769,0001,0007,0002,0014
00056,Alradstr.,909,Flittard,51061,0001,0021,0004,0044
00057,Alsdorfer Str.,304,Braunsfeld,50933,0001,0023,0002,0006
00058,Alsenstr.,105,Deutz,50679,0001,0027,0002,0020
00059,Alstädter Str.,205,Zollstock,50969,0001,0023,0002,0026
00060,Altbaumburgweg,507,Bilderstöckchen,50739,0011,0011,0002,0058
00061,Altdahnweg,507,Bilderstöckchen,50739,0001,0013,0002,0012
00062,Alteburger Platz,102,Neustadt/Süd,50678,0001,0001,0002,0002
00063,Alteburger Str.,101,Altstadt/Süd,50678,0001,0013,0002,0014
00063,Alteburger Str.,102,Neustadt/Süd,50678,0015,0129,0016,0082
00063,Alteburger Str.,201,Bayenthal,50968,0139,0379,0138,0338
00064,Alteburger Wall,102,Neustadt/Süd,50678,0001,0031,0002,0018
00065,Alte Mauer am Bach,101,Altstadt/Süd,50676,0035,0035,0036,0064
00066,Altenauer Weg,906,Höhenhaus,51061,0001,0005,0002,0004
00067,Altenberger Str.,103,Altstadt/Nord,50668,0001,0041,0012,0022
00068,Alte Neusser Landstr.,612,Worringen,50769,0137,0299,0170,0310
00069,Altengrabengäßchen,103,Altstadt/Nord,50668,0001,0019,,
00070,Altenhofer Weg,604,Heimersdorf,50767,0001,0029,0002,0044
00071,Altenhofstr.,406,Ossendorf,50827,0001,0009,0004,0004
00073,Alter Deutzer Postweg,704,Gremberghoven,51149,0095,0101,0100,0102
00073,Alter Deutzer Postweg,805,Ostheim,51107,0001,0077,0002,0022
00073,Alter Deutzer Postweg,808,Rath/Heumar,51107,0121,0221,,
00074,Alter Markt,103,Altstadt/Nord,50667,0001,0079,0002,0062
00075,Alter Mühlenweg,105,Deutz,50679,0011,0069,0002,0064
00076,Alte Römerstr.,601,Merkenich,50769,0069,0173,0052,0134
00078,Alter Stammheimer Weg,503,Riehl,50735,0001,0001,,
00079,Alte Str.,612,Worringen,50769,0001,0201,0002a,0166
00080,Alte Wallgasse,103,Altstadt/Nord,50672,0005,0031,0002,0050
00081,Alte Wipperfürther Str.,903,Buchheim,51065,0003,0069,0002,0082
00082,Altleiningenweg,507,Bilderstöckchen,50739,,,0002,0040
00083,Altonaer Platz,506,Longerich,50737,,,0002,0016
00084,Altonaer Str.,506,Longerich,50737,0001,0065,0002,0032
00085,Altstr.,901,Mülheim,51063,0005,0009,0002,0010
00086,Alvenslebenstr.,104,Neustadt/Nord,50668,0001,0015,0002,0012
00087,Alzeyer Str.,507,Bilderstöckchen,50739,0001,0033,0002,0036
00088,Amalienstr.,303,Lindenthal,50931,0001,0007,0002,0006
00089,Am Altenberger Kreuz,701,Poll,51105,0001,0017,0002,0022
00090,Am Alten Brauhaus,601,Merkenich,50769,0001,0009,0006,0006
00091,Am Alten Posthof,103,Altstadt/Nord,50667,0001,0005,0002,0008
00092,Am Alten Turm,808,Rath/Heumar,51107,0001,0013,0002,0004
00093,Am Alten Ufer,103,Altstadt/Nord,50668,0035,0057,0006,0012
00094,Amandusstr.,601,Merkenich,50769,0001,0077,0002,0062
00095,Am Balsamhof,506,Longerich,50739,0001,0005,0002,0020
00096,Am Bayenturm,101,Altstadt/Süd,50678,0005,0009,0002,0002
00097,Am Bergerhof,612,Worringen,50769,0001,0009,0002,0028
00098,Amberweg,604,Heimersdorf,50767,0001,0009,0002,0018
00099,Am Bilderstöckchen,507,Bilderstöckchen,50739,0001,0097,0040,0070
00100,Am Blutberg,602,Fühlingen,50769,,,,
00100,Am Blutberg,610,Blumenberg,50765,,,,
00101,Am Bollwerk,103,Altstadt/Nord,50667,0001,0025,,
00102,Amboßstr.,505,Weidenpesch,50735,0001,0015,0004,0022
00103,Am Botanischen Garten,503,Riehl,50735,0001,0073,0006,0076
00104,Am Bramhoff,904,Holweide,51067,0001,0015,0002,0014
00105,Am Brunnenbogen,403,Bickendorf,50827,0001,0015,0002,0016
00106,Am Burgacker,808,Rath/Heumar,51107,0001,0041,0002,0040
00107,Am Domhof,103,Altstadt/Nord,50667,0001,0001,,
00108,Am Donewald,907,Dünnwald,51069,0001,0011,0002,0026
00109,Am Duffesbach,102,Neustadt/Süd,50677,0001,0043,0002,0044
00110,Am Eichelberg,604,Heimersdorf,50767,0001,0023,0002,0078
00111,Am Emberg,906,Höhenhaus,51061,0001,0039,0002,0034
00112,Am Faulbach,901,Mülheim,51063,,,,
00113,Am Feldrain,909,Flittard,51061,0003,0015,0002,0024
00114,Am Feldschlößchen,601,Merkenich,50769,,,0020,0032
00115,Am Flachsrosterweg,906,Höhenhaus,51061,0001,0035,0002,0072
00116,Am Fliederbusch,403,Bickendorf,50827,0001,0031,0002,0040
00117,Am Flutgraben,904,Holweide,51067,0001,0017,0002,0064
00118,Am Frankenturm,103,Altstadt/Nord,50667,0001,0005,,
00119,Am Gibbelsberg,305,Müngersdorf,50933,0001,0005,0004,0014
00120,Am Gieselbach,808,Rath/Heumar,51107,0001,0031,0002,0028
00121,Am Gleueler Bach,303,Lindenthal,50935,0001,0025,0002,0026
00122,Am Gräfenhof,807,Brück,51109,0007,0019,0018,0060
00123,Am Grauen Stein,701,Poll,51105,0027,0033,0024,0026
00123,Am Grauen Stein,801,Humboldt/Gremberg,51105,0003,0017,0004,0020
00124,Am Haselbusch,403,Bickendorf,50827,0001,0011,0002,0016
00125,Am Heiligenpfad,608,Volkhoven/Weiler,50765,,,,
00126,Am Hetzepetsch,603,Seeberg,50769,0007,0029,0002,0018
00127,Am Hirschfuß,909,Flittard,51061,0001a,0001a,0002,0004
00128,Am Hirschsprung,807,Brück,51109,0001,0017,0002,0046
00129,Am Höfenweg,601,Merkenich,50769,0001,0071,0006,0092
00130,Am Hof,103,Altstadt/Nord,50667,0001,0025,0002,0052
00131,Am Husholz,203,Raderberg,50968,0001,0015,0002,0012
00132,Am Jägerhof,801,Humboldt/Gremberg,51105,,,0002,0018
00133,Am Jungholz,907,Dünnwald,51069,,,0004,0006
00134,Am Kaulberg,803,Vingst,51107,0001,0007,0002,0014
00135,Am Kiefernwald,906,Höhenhaus,51061,0001,0045,0002,0052
00136,Am Kielshof,701,Poll,51105,0001,0057,0002,0032
00137,Am Klausenberg,807,Brück,51109,0001,0075,0004,0084
00138,Am Kleeacker,701,Poll,51105,0001,0007,0002,0008
00139,Am Klosterhof,907,Dünnwald,51069,0001,0209,0002,0018
00141,Am Königsweg,601,Merkenich,50769,0031,0031,0002,0020
00142,Am Kornfeld,701,Poll,51105,0001,0003,0002,0004
00143,Am Krausen Baum,904,Holweide,51067,0001,0023,0002a,0020
00144,Am Krieler Dom,302,Sülz,50935,0001,0035,0002,0040
00145,Am Kümpchenshof,103,Altstadt/Nord,50670,0001,0013,,
00145,Am Kümpchenshof,104,Neustadt/Nord,50670,0015,0021,,
00146,Am Kunstfeld,907,Dünnwald,51069,0001,0053a,,
00147,Am Langen Stein,403,Bickendorf,50827,0001,0011,0002,0016
00148,Am Leinacker,905,Dellbrück,51069,0003,0013,0004,0018
00149,Am Leystapel,101,Altstadt/Süd,50676,,,,
00149,Am Leystapel,103,Altstadt/Nord,50676,,,,
00150,Am Lingchen,612,Worringen,50769,0001,0013,0002,0010a
00151,Am Malzbüchel,101,Altstadt/Süd,50667,0001,0003,0002,0008
00152,Am Marienstift,904,Holweide,51067,0001,0039,0002,0064
00154,Am Mönchshof,303,Lindenthal,50935,0001,0009a,0002,0004
00155,Am Molenkopf,504,Niehl,50735,0001,0015,,
00156,Am Morsdorfer Hof,304,Braunsfeld,50933,0001,0039,0006,0028
00157,Am Mühlen Falder,504,Niehl,50735,0001,0023,0004,0024
00158,Am Mutzbach,907,Dünnwald,51069,0001,0019,0002,0024
00159,Am Neuenhof,302,Sülz,50937,0001,0013,,
00160,Am Niehler Hafen,504,Niehl,50735,,,0010,0010
00161,Am Nußberger Pfad,406,Ossendorf,50827,0001,0045,0002,0036
00162,Am Oberhof,908,Stammheim,51061,0001,0031,0008,0028
00163,Am Ölhafen,504,Niehl,50735,,,0004,0004
00164,Amorbacher Str.,805,Ostheim,51107,0001,0029,0002,0008
00165,Am Pantaleonsberg,101,Altstadt/Süd,50676,0001,0009,0002,0016
00166,Am Petershof,305,Müngersdorf,50933,0001,0009,0002,0012
00167,Wilhelm-Griesinger-Str.,805,Ostheim,51109,,,0008,0008
00167,Wilhelm-Griesinger-Str.,806,Merheim,51109,0009,0023,,
00168,Am Pfropfbusch,906,Höhenhaus,51061,0001,0035,,
00169,Am Plankengarten,908,Stammheim,51061,0003,0021,0004,0028
00170,Am Platzhof,303,Lindenthal,50935,0001,0005,0002,0006
00171,Am Portzenacker,907,Dünnwald,51069,0001,0043,0002,0034
00172,Am Puffelskooche,907,Dünnwald,51069,0001,0029,0002,0004
00173,Am Pulverturm,901,Mülheim,51063,,,,
00174,Am Rehwechsel,807,Brück,51109,0003,0007,,
00175,Am Reinholdsberg,907,Dünnwald,51069,0001,0013,0002,0006
00176,Am Rheinacker,908,Stammheim,51061,0001,0053,0002,0024
00177,Am Rinkenpfuhl,101,Altstadt/Süd,50676,0009,0057,0010,0046
00178,Am Rodderberg,801,Humboldt/Gremberg,51105,,,0002,0008
00179,Am Römerturm,103,Altstadt/Nord,50667,0001,0027,0002,0010
00180,Am Rolshover Hof,701,Poll,51105,0003,0025,0004,0026
00181,Am Rosengarten,403,Bickendorf,50827,0001,0097,0002,0078
00182,Am Rosenhof,403,Bickendorf,50827,0001,0011,0002,0010
00183,Am Rosenmaar,906,Höhenhaus,51061,0001,0003,0002,0022
00184,Am Rursbruch,806,Merheim,51109,0001,0011,0002,0020
00185,Am Salzmagazin,103,Altstadt/Nord,50668,0003,0011,0002,0062
00186,Am Schauenberg,808,Rath/Heumar,51107,0003,0007,0002,0010
00187,Am Schildchen,807,Brück,51109,0001,0043,0008,0042
00188,Am Schloßgarten,303,Lindenthal,50935,0001,0007,0002,0008
00189,Am Schneckenberg,903,Buchheim,51067,0001,0019,0002,0016
00190,Am Schnellert,105,Deutz,50679,0001,0009,0008,0008
00191,Amselstr.,907,Dünnwald,51069,0001,0099,0002,0100
00192,Am Serviesberg,305,Müngersdorf,50933,0001,0017,0002,0018
00193,Am Springborn,901,Mülheim,51063,0001,0009,0002,0032
00193,Am Springborn,906,Höhenhaus,51061,0015,0017,0036,0066
00194,Am Stachelshäuschen,808,Rath/Heumar,51107,0001,0009,0002,0010
00195,Am Stammheimer Häuschen,908,Stammheim,51061,,,0002,0020
00196,Am Steinbergs Weiher,903,Buchheim,51067,0009,0051,0006,0014
00197,Amsterdamer Str.,104,Neustadt/Nord,50668,0001,0001,,
00197,Amsterdamer Str.,503,Riehl,50735,0059,0149,0034,0132
00197,Amsterdamer Str.,504,Niehl,50735,0165,0303,0172,0242
00198,Am Südpark,202,Marienburg,50968,0001,0063,0002,0008
00199,Am Tekelkamp,612,Worringen,50769,0001,0025,,
00200,Am Tetzerkamp,505,Weidenpesch,50735,0001,0009,0002,0016
00201,Am Trutzenberg,101,Altstadt/Süd,50676,0003,0033,0036,0050
00202,Amtsstr.,803,Vingst,51107,0005,0009,0002,0022
00203,Am Vorgebirgstor,205,Zollstock,50969,0001,0043,0002,0018
00204,Am Waldwinkel,905,Dellbrück,51069,0001,0021,0002,0030
00205,Am Weidenbach,101,Altstadt/Süd,50676,0021,0045,0002,0030
00206,Am Weizenacker,701,Poll,51105,0007,0025,0002,0016
00207,Am Weyertor,101,Altstadt/Süd,50674,,,,
00209,Am Wildpark,907,Dünnwald,51069,0001,0009,,
