LSA_Nr_,Standort,X,Y
00200,Militärringstr. - B51 / Schillingsrotter Weg,6.974862,50.89387
00201,Zum Forstbotanischen Garten-B9 / Friedrich-Ebert-Str. - L92,6.982441,50.888789
00202,Bonner Landstr. - L186 / BAB555,6.973405,50.867091
00203,Godorfer Hauptstr. / Kiesgrubenweg / Bonner Landstr. - L186,6.973881,50.864518
00204,Godorfer Hauptstr. - L186 / Otto-Hahn-Str.,6.974715,50.858165
00205,Brühler Landstr. - B51 / Kapellenstr. / Karlscheurener Str. - L92,6.935417,50.877401
00206,Brühler Landstr. - B51 / Am Kölnberg,6.928293,50.863578
00207,Brühler Landstr. - B51 / Alte Fischenicher Str.,6.927394,50.861904
00208,Brühler Landstr. - B51 / Militärringstr. - L34 / Brühler Str.,6.948357,50.894017
00209,Militärringstr. - L34 / Oberer Komarweg,6.927575,50.895869
00210,Militärringstr. - B51 / Bonner Str.,6.967328,50.892468
00232,Industriestr. - B9 / Bunsenstr.,6.97914,50.849147
00233,Industriestr. - B9 / Kerkrader Str. - L150,6.976905,50.84548
00234,Industriestr. - B9 / Degussa,6.976648,50.84171
00235,Kerkrader Str. L150 / Am Domenhof,6.973147,50.846048
00236,Kerkrader Str.L150-Ost / BAB A555,6.969647,50.847183
00237,Kerkrader Str.L150-West / BAB A555,6.966279,50.847794
00241,Godorfer Hauptstr.-L186 / Ikea,6.974367,50.860785
00250,Industriestr. / Zum forstbotanischem Garten / Schillingsrotter Str.,6.989422,50.883879
00267,Kiesgrubenweg-L150 / Unter den Birken,6.988778,50.86709
00268,Kiesgrubenweg-L150 / Emil-Hoffmann-Str. / Wattigniestr.,6.990671,50.86728
00298,Militärringstr. - B51 / Leyboldstr.,6.980749,50.898001
00299,Militärringstr. - B51 / Zum Forstbotanischem Garten,6.97623,50.894793
00310,Militärringstr. - L34 / Unterer Komarweg,6.921123,50.899708
00311,Militärringstr. - L34 / Berrenrather Str.,6.912229,50.906512
00312,Militärringstr.-L34 / Gleueler Str.,6.895708,50.914703
00325,Luxemburger Str. - B265 / BAB A4 - Ost,6.91047,50.899423
00326,Luxemburger Str. - B265 / BAB A4 - West,6.90847,50.897429
00328,Dürener Str. - B264 / BAB A1 - Ost / Max-Planck-Str. West,6.847436,50.918415
00329,Dürener Str. - B264 / Autobahnmeisterei,6.845906,50.918084
00330,Dürener Str. - B264 / BAB A1 - West,6.841759,50.917248
00339,Dürener Str. / Kaserne Haelen,6.873765,50.923766
00340,Dürener Str. - B264 / Stüttgenweg,6.875937,50.924184
00345,Militärringstr. - L33 / Widdersdorfer Str.,6.876099,50.946377
00415,Militärringstr. / Ollenhauerring,6.871648,50.976317
00416,Militärringstr. / Buschweg,6.873934,50.983113
00417,Militärringstr. - L34 / Johannesstr. - L93,6.884874,50.989657
00430,Venloer Str. - B59 / BAB A1 Ost,6.853029,50.977329
00431,Venloer Str. - B59 / BAB A1 West,6.849301,50.978557
00432,Venloer Str. - B59n / Fa. Gugel,6.848711,50.978759
00433,Venloer Str. - B59n / Gewerbegebiet,6.847632,50.979133
00434,Venloer Str. - B59n / Planstr.,6.846204,50.979688
00435,Venloer Str. - B59n / B59alt,6.839704,50.982448
00443,Militärringstr. - L34 / Goldammerweg,6.868561,50.966489
00444,Venloer Str. - B59 / Nattermannallee,6.858908,50.975667
00462,Militärringstr. - L34 / Vogelsanger Str.,6.868379,50.958767
00520,Militärringstr. - L34 / Volkhovener Weg,6.90228,50.998539
00521,Militärringstr. - L34 / Mercatorstr. / Longericher Str.,6.912165,50.999937
00540,Militärringstr. - L34 / Heimersdorfer Str.,6.905792,50.999681
00543,Militärringstr. - L34 / Herforder Str.,6.927593,50.998495
00563,Militärringstr. - L34 / Kaserne Lüttich,6.920772,50.999403
00619,Sinnersdorfer Str. - L183 / AS Worringen,6.837187,51.039509
00624,Am Baggerfeld - L93 / Chorbuschstr. - L93 / Weilerstr. - K7,6.85789,51.013105
00650,Am Baggerfeld - L93 / Escher Str. / Bad,6.868993,51.006933
00665,Neusser Landstr. - B9 / Bayer Dormagen - Süd,6.85586,51.072891
00666,Neusser Landstr. - B9 / Bayer Dormagen - Nord,6.849658,51.080541
00667,Parallelweg / Bayer Dormagen - Tor 5 / S-Bahn Hst.,6.839742,51.074013
00671,Escher Str. - L93 / Donatusstr.,6.870484,51.004561
00676,Neusser Landstr. - B9 / Stallagsbergweg  / Asternweg,6.917721,51.019365
00677,Neusser Landstr. - B9 / Chrysanthemenweg,6.918662,51.018279
00712,Frankfurter Str. / Schubertstr.,7.079824,50.888846
00713,Frankfurter Str. - B8 / Alte Kölner Str. - L84,7.08104,50.88574
00714,Maarhäuser Weg - L99 / Hansestr.,7.07071,50.909614
00715,Steinstr. - L99 / Humboldtstr. / Frankenstr.,7.060702,50.903467
00716,Steinstr. - L99 / Theodor-Heuss-Str. / Hohenstaufenstr.,7.058544,50.897356
00717,Theodor-Heuss-Str. - L358 / Hansestr.,7.079385,50.904131
00718,Theodor-Heuss-Str. - L358 / Rudolf-Diesel-Str.,7.076597,50.901613
00719,Grengeler Mauspfad - L489 / Alte Kölner Str. - L84,7.10423,50.885794
00720,Grengeler Mauspfad - L489 / Alte Kölner Str. - L84 Nord / Flughafen,7.104753,50.884318
00721,Grengeler Mauspfad - L489 / Alte Kölner Str. - L84 Süd / Flughafen,7.105203,50.883005
00722,Heidestr. - L489 / BAB A59,7.096817,50.858765
00723,Bensberger Str. - L489 / Rösrather Str. - L284,7.107931,50.917276
00727,Siegburger Str. - L82 / Am Weizenacker / Poller Damm,7.000504,50.911784
00728,Siegburger Str. - L82 / BAB A4 - Nord,7.001949,50.910789
00729,Siegburger Str. - L82 / BAB A4 - Süd,7.004216,50.909419
00730,Kölner Str. - L82 / Porzer Ringstr.,7.011677,50.90704
00732,Kölner Str. - L82 / Kaserne-Mudra,7.018389,50.905312
00748,Frankfurter Str. - B8 / Friedensstr. / Friedrich-Hirsch-Str.,7.083094,50.87587
00824,Lützerathstr. - L358 / Rather Mauspfad - L73,7.092977,50.929662
00880,Olpener Str. - B55 / BAB A4 Refrath,7.097996,50.948231
00931,Dellbrücker Mauspfad - L73 / Friedhof - Ost,7.072607,50.964542
00970,Dünnwalder Mauspfad - L73 / Kalkweg / Am Wildpark,7.047444,50.992896
00981,Düsseldorfer Str. - B8 / Carl Duisberg Bad / Otto - Bayer Str.,6.993149,51.011183
00982,Düsseldorfer Str. - B8 / Pförtner Flittard O. / Bayer - Nord,6.994079,51.007707
00983,Düsseldorfer Str. - B8 / Buschweg / Bayer - Süd,6.995001,51.004547
00984,Düsseldorfer Str. - B8 / Roggendorfstr. / Grüner Kuhweg,6.996854,50.998392
00985,Düsseldorfer Str. - B8 / Stammheimer Ring - L101 / Dünnwalder Kommunalweg,6.999456,50.989463
00986,Düsseldorfer Str. - B8 / Höhenhauser Ring,6.999649,50.988213
00987,Düsseldorfer Str. - B8 / Ricarda-Huch-Str. / Moses-Heß-Str.,6.999553,50.986098
02418,Militärringstr. / Alte Escher Str.,6.891887,50.991967
02518,Militärringstr. - L34 / BAB A57 - Ost,6.896423,50.994742
02539,Militärringstr. - L34 / Lindweilerweg - K10,6.89831,50.996061
05306,Lise-Meitner-Ring / Ottostr.,6.840229,50.952801
05313,Militärringstr. - L34 / Friedrich-Schmidt-Str.,6.886276,50.934099
05341,Dürener Str. / Salzburger Weg,6.870038,50.922991
10157,Im Hasental / Alter Mühlenweg,6.977488,50.929503
10386,Eifelplatz / Warnblinkanlage,6.944272,50.92396
10399,Annostr. / Dreikönigenstr. / Schule,6.961415,50.924491
11100,Troisdorfer Str. / Helenenwallstr.,6.972766,50.932415
11101,Troisdorfer Str. - B55 / Severinsbrücke / Deutzer Ring,6.973594,50.932579
11102,Gotenring / Severinsbrücke / Deutzer Ring,6.974531,50.931951
11103,Gotenring / Gymnasium / Suevenstr.,6.976681,50.93309
11104,Gotenring / Alarichstr.,6.977485,50.934281
11106,Gotenring / Deutzer Freiheit / Deutz-Kalker Str.,6.977932,50.937039
11107,Deutz-Kalker Str. / BAB - Östlicher Zubringer / L124,6.981522,50.93733
11108,Opladener Str. / Ottoplatz / Neuhöfferstr.,6.975037,50.939821
11109,Justinianstr. / Constantinstr.,6.978285,50.938881
11110,Deutz-Mülheimer Str. / Barmer Str.,6.98054,50.941537
11111,Deutz-Mülheimer Str. / Messe-Haupteingang,6.981624,50.942921
11112,Deutz-Mülheimer Str. / Messekreisel - Süd / Wermelkircher Str.,6.982874,50.944146
11113,Deutz-Mülheimer Str. / Messekreisel - Nord / Sporthallenweg,6.983451,50.945014
11114,Deutz-Mülheimer Str. / Messekreisel - Ost / Pfälzischer Ring,6.983909,50.94438
11164,Siegburger Str. / Troisdorfer Str.,6.971224,50.932096
11165,Siegburger Str. / Teutonenstr.,6.97261,50.930368
11167,Siegburger Str. / Kaltenborn Weg,6.977805,50.925755
11168,Siegburger Str. / Poller Kirchweg,6.98053,50.923362
11170,Siegburger Str. / Arminiusstr. / Von-Gablenz-Str.,6.970796,50.935394
11171,Siegburger Str. / Deutzer Brücke / Deutzer Freiheit,6.971178,50.936735
11173,Hermann-Pünder Str. / Mindener Str.,6.972478,50.939639
11174,Ottoplatz / Auenweg,6.973517,50.939878
11176,Auenweg / Messe-Vorplatz,6.973279,50.941786
11182,Siegburger Str. - L82 / Im Hasental  / Alfred -Schütte- Allee,6.974945,50.928479
11183,Siegburger Str. - L82 / Am Schnellert,6.983673,50.921492
11190,Deutz-Kalker Str. / Gummersbacher Str.,6.983197,50.937344
11191,Deutz-Mülheimer Str. / Opladener Str. / Justinianstr.,6.978835,50.939526
11192,Deutz-Kalker Str. / Reitweg,6.986675,50.936326
11193,Deutz-Kalker Str. / Betzdorfer Str.,6.989144,50.936674
11195,Opladener Str. - L124 / Neue Ein/Ausfahrt,6.981799,50.939051
12169,Zülpicher Str. / Fu. HS Dasselstrasse / Bhf. Süd,6.935455,50.928096
12205,Konrad-Adenauer-Ufer  / Elsa-Brändstöm-Str.,6.970897,50.954175
12206,Konrad-Adenauer-Ufer  / Worringer Str.,6.969308,50.952904
12207,Konrad-Adenauer-Ufer  / Wörthstr.,6.967947,50.951764
12208,Konrad-Adenauer-Ufer  / Theodor-Heuss-Ring,6.966216,50.949936
12209,Konrad-Adenauer-Ufer  / Thürmchenswall,6.965223,50.948758
12210,Konrad-Adenauer-Ufer  / Dagobertstr.,6.964133,50.947669
12211,Konrad-Adenauer-Ufer  / Machabäerstr.,6.963289,50.945367
12212,Konrad-Adenauer-Ufer  / Goldgasse,6.96258,50.94305
12213,Am Alten Ufer / Goldgasse,6.96179,50.943221
12214,Konrad-Adenauer-Ufer / Trankgasse,6.962337,50.941923
12223,Riehler Str. / Elsa-Brändström-Str.,6.969027,50.955851
12224,Riehler Str. / Riehler Platz,6.966675,50.954948
12225,Riehler Str. / Reichenspergerplatz,6.963684,50.95381
12226,Riehler Str. / Schillingstr. / Sedanstr.,6.960678,50.952118
12227,Riehler Str. / Theodor-Heuss-Ring / Ebertplatz - Nord,6.959051,50.950949
12228,Turiner Str. / Theodor-Heuss-Ring / Ebertplatz - Süd,6.958735,50.950124
12229,Turiner Str. / Thürmchenswall,6.958404,50.949326
12230,Turiner Str. / Machabäerstr.,6.957581,50.946636
12231,Turiner Str. / Maximinenstr. / Ursulastr.,6.957059,50.945788
12232,Tunisstr. / Victoriastr. / Ursulastr.,6.953425,50.944838
12234,Tunisstr. / Breite Str. / Minoritenstr.,6.953342,50.939021
12235,Tunisstr. / Glockengasse / Brückenstr.,6.953109,50.93836
12236,Tunisstr. / Streitzeuggasse,6.952744,50.937363
12242,Neusser Str. / Krefelder Wall / Neusser Platz,6.95665,50.955282
12243,Neusser Str. / Weißenburgstr.,6.95725,50.954091
12244,Neusser Str. / Balthasarstr.,6.957184,50.952959
12245,Neusser Str. / Ebertplatz - Nord,6.957029,50.950858
12246,Eigelstein / Ebertplatz - Süd,6.956846,50.950197
12247,Turiner Str. / Unter Krahnenbäumen,6.957856,50.947524
12249,Turiner Str. / Dagobertstr.,6.958131,50.948456
12255,Victoriastr. / Eintrachtstr. / Kardinal-Frings-Str.,6.95197,50.945104
12256,Victoriastr. / Klingelpütz,6.950433,50.945237
12261,Magnusstr.  / Friesenwall,6.941129,50.940326
12262,Magnusstr. / Alte Wallgasse / Römergasse,6.942833,50.939999
12267,Am Domhof / Trankgasse,6.959628,50.941573
12269,Trankgasse / Komödienstr. / Marzellenstr.,6.956062,50.941742
12272,Tunisstr. / Unter Sachsenhausen,6.952759,50.942499
12273,Unter Sachsenhausen  / Börsenplatz / Kattenbug,6.950908,50.94257
12274,Christophstr. / Mohrenstr. / Klingelpütz,6.947485,50.943233
12277,Hülchrather Str. / Weißenburgstr.,6.961289,50.953967
12281,Tunisstr. / Komödienstr.,6.952828,50.941415
12283,An der Burgmauer / Neven-DuMont-Str.,6.950347,50.941169
12284,Zeughausstr. / Mohrenstr. / Auf dem Berlich,6.947822,50.941143
12285,St.- Apern-Str. / Magnusstr.,6.946085,50.940923
12286,Magnusstr. / Albertusstr.,6.944242,50.94014
12301,Am Leystapel / Heumarkt / Marksmansgasse,6.96312,50.93503
12302,Am Leystapel / Filzengraben,6.963093,50.933799
12303,Am Leystapel / Große Witschgasse / Schokoladenmuseum,6.962967,50.932497
12304,Holzmarkt / Kleine Witschgasse / Severinsbrücke,6.962627,50.931186
12305,Holzmarkt / Mechtildisstr. / Rosenstr.,6.962763,50.928518
12306,Bayenstr. / Dreikönigenstr.,6.965307,50.925201
12307,Am Bayenturm / Ubierring - Nord / Wender TG,6.966849,50.922883
12308,Agrippinaufer / Ubierring-Süd / Maternusstr.,6.967299,50.921928
12309,Agrippinaufer / Gustav-Heinemann-Ufer / Südbrücke,6.97028,50.916348
12315,Im Sionstal / Mechtildisstraße,6.960593,50.928412
12321,Nord-Süd-Fahrt / Agrippastr. / Neuköllner Str.,6.953389,50.933311
12322,Neuköllner Str. / Großer Griechenmarkt,6.953682,50.932662
12323,Neuköllner Str. / Blaubach / Tel-Aviv-Straße,6.954133,50.931761
12324,Ulrichgasse / Ankerstr.,6.955564,50.92737
12325,Ulrichgasse / Paulstr.,6.954725,50.926643
12326,Ulrichgasse / Kartäusergasse / Vor den Siebenburgen,6.95383,50.925842
12327,Ulrichgasse / Kartäuserwall,6.952847,50.92452
12328,Ulrichgasse / Ulrepforte / Sachsenring-Nord-Süd,6.952458,50.923954
12330,Vorgebirgstr. / Lothringer Str.,6.952076,50.922853
12332,Vorgebirgstr. / Volksgartenstr.,6.951055,50.921037
12333,Vorgebirgstr. / Bonner Wall,6.949814,50.918961
12341,Hohenstaufenring / Zülpicher Str. / Jahnstr.,6.940719,50.931105
12342,Barbarossaplatz-Nord / Hohenstaufenring / Roonstr.,6.941614,50.92926
12343,Barbarossaplatz-Süd / Salierring / Pfälzer Str.,6.942597,50.928384
12344,Salierring / Am Weidenbach / Am Duffesbach,6.94509,50.926985
12345,Salierring / Eifelstr. / Waisenhausgasse,6.946687,50.926195
12346,Karolingerring / Brunostr.,6.95654,50.922163
12347,Ubierring / Alteburger Str.,6.9618,50.921465
12348,Ubierring / Mainzer Str. / An der Bottmühle,6.963397,50.921851
12351,Mühlenbach / Filzengraben / An der Malzmühle,6.959447,50.933586
12352,Blaubach / Waidmarkt / Polizeipräsidium,6.956203,50.932786
12353,Rothgerberbach / Perlengraben,6.951451,50.930713
12354,Rothgerberbach / Neue Weyerstr. / Am Weidenbach,6.94726,50.930204
12355,Neue Weyerstr. / Pantaleonswall,6.943106,50.929711
12363,Heumarkt / Pipinstr. / Malzmühle,6.960443,50.935278
12387,Zülpicher  Str. / Zülpicher  Platz / Roonstr.,6.939309,50.930271
12388,Zülpicher Str.. / Moselstr. / Kyffhäuserstr.,6.936267,50.928549
12393,Poststr. / Großer Griechenmarkt,6.950031,50.931801
12394,Bonner Str. / Bonner Wall / Alteburger Wall,6.960985,50.916377
12398,Agrippinaufer / Oberländer Wall,6.969099,50.918408
12401,Innere Kanalstr. / Krefelder Str. / Merheimer Str.,6.949909,50.955598
12402,Krefelder Str. / Krefelder Wall / Aquinostr.,6.951364,50.952916
12404,Krefelder Str. / Maybachstr. / Lübecker Str.,6.952716,50.950119
12405,Innere Kanalstr. / Escher Str.,6.947982,50.954825
12407,Kaiser-Wilhelm-Ring / Goebenstr.,6.941191,50.943925
12408,Hansaring - B9 / Kaiser-Wilhelm-Ring / Hermann-Becker-Str.,6.943312,50.945351
12409,Hansaring - B9 / Von-Werth-Str.,6.945091,50.946135
12410,Hansaring - B9 / Lübecker Str.,6.954772,50.949823
12411,Hansaring - B9 / Krefelder Str.,6.953051,50.949253
